时间,汽车整车制造工业生产者出厂价格指数(上年同月=100),汽车用发动机制造工业生产者出厂价格指数(上年同月=100),改装汽车制造工业生产者出厂价格指数(上年同月=100),低速汽车制造工业生产者出厂价格指数(上年同月=100),电车制造工业生产者出厂价格指数(上年同月=100),汽车车身、挂车制造工业生产者出厂价格指数(上年同月=100),汽车零部件及配件制造工业生产者出厂价格指数(上年同月=100)
2025年6月,97.3,98.7,98.3,97.3,114.8,98.6,98.1
2025年5月,95.5,98.2,98.2,99.7,114.8,98.6,98.2
2025年4月,94.9,98.1,97.9,101.9,119.1,98.7,98.3
2025年3月,95.0,98.4,97.8,102.6,122.3,98.3,98.1
2025年2月,95.4,97.7,97.9,102.8,122.3,98.4,98.3
2025年1月,95.3,98.2,98.2,102.9,122.6,98.6,98.4
2024年9月,97.0,93.4,98.9,101.7,102.7,99.0,98.5
2024年8月,97.2,93.6,98.9,102.3,102.7,98.2,98.6
2024年7月,97.4,95.4,99.6,103.5,107.5,99.1,98.5
2024年6月,97.0,95.7,99.6,103.3,100.5,99.4,98.3
2024年12月,94.1,97.3,98.8,102.4,107.3,98.7,98.2
2024年11月,95.4,96.7,98.8,102.6,107.3,98.4,98.4
2024年10月,95.3,96.7,99.3,102.1,107.3,98.9,98.4
