时间,软件业务收入_累计值,软件业务收入_累计增长,软件产品收入_累计值,软件产品收入_累计增长,信息技术服务收入_累计值,信息技术服务收入_累计增长,嵌入式系统软件收入_累计值,嵌入式系统软件收入_累计增长,软件业务出口_累计值,软件业务出口_累计增长,信息安全收入_累计值,信息安全收入_累计增长
2025年5月,55788.474991,11.21,12477.730568,9.84,38095.583466,12.01,4427.719928,8.85,227.148817,3.3,787.441029,8.39
2025年4月,42582.483373,10.77,9933.104822,9.55,28414.662037,11.5,3634.057483,8.93,172.626277,3.46,600.659031,8.44
2025年3月,31479.264115,10.57,7536.001521,9.43,20820.322117,11.04,2642.243393,10.5,131.029269,2.44,480.697084,8.64
2025年2月,18965.326796,9.88,4253.080748,8.27,12584.546583,10.26,1735.077593,11.9,80.298282,-0.3,392.621872,6.78
2024年9月,98280.806287,10.82,22212.836241,8.0,66163.664195,11.94,8402.710642,10.53,410.254356,4.21,1501.595209,6.74
2024年8月,85491.9,11.2,19114.9,8.2,57790.1,12.5,7313.9,9.7,362.5,3.8,1273.1,7.0
2024年7月,73428.81233,11.21,16523.915676,8.93,49500.6623,12.24,6316.619956,10.04,307.680556,2.01,1087.614398,7.48
2024年6月,62349.720393,11.51,13969.086336,9.02,42224.467089,12.6,5247.382885,10.16,254.609971,0.6,908.784083,8.24
2024年12月,137275.632994,9.99,30417.004835,6.61,92189.870458,11.04,12378.650052,11.82,569.51638,3.49,2290.107649,5.07
2024年11月,122902.707758,10.67,27492.783951,7.66,82674.242264,11.83,10748.36439,10.72,510.076972,4.79,1987.317153,5.93
2024年10月,110623.165301,11.02,25132.602721,8.04,74137.023632,12.21,9615.701905,10.79,463.431268,5.17,1737.837043,6.6
