时间,社会消费品零售总额_当期值,社会消费品零售总额_累计值,社会消费品零售总额_同比增长,社会消费品零售总额_累计增长,限上单位消费品零售额_当期值,限上单位消费品零售额_累计值,限上单位消费品零售额_同比增长,限上单位消费品零售额_累计增长
2025年6月,42287.4,245458.4,4.8,5.0,18327.3,99219.7,5.0,6.1
2025年5月,41325.8,203171.0,6.4,5.0,16715.8,80749.1,8.0,6.3
2025年4月,37174.1,161845.2,5.1,4.7,14991.6,64082.2,6.3,5.9
2025年3月,40940.5,124671.1,5.9,4.6,17239.0,49216.5,8.5,5.7
2025年2月,,83730.6,,4.0,,31952.5,,4.3
2024年9月,41112.3,353564.0,3.2,3.3,16901.2,137676.5,2.6,2.3
2024年8月,38725.8,312451.7,2.1,3.4,14925.5,120304.4,-0.6,2.3
2024年7月,37757.4,273725.9,2.7,3.5,14282.8,105321.1,-0.1,2.7
2024年6月,40731.6,235969.0,2.0,3.7,16994.0,91056.9,-0.6,3.1
2024年12月,45171.5,487894.8,3.7,3.5,19453.4,192552.5,4.0,2.7
2024年11月,43763.0,442723.3,3.0,3.5,17748.1,173397.6,1.3,2.6
2024年10月,45396.4,398960.3,4.8,3.5,16985.5,155131.4,6.2,2.7
