时间,大中型工业企业单位数_本月末,大中型工业企业亏损企业数_本月末,大中型工业企业亏损企业数_上年同期,大中型工业企业亏损企业数_增减,大中型工业企业流动资产合计_本月末,大中型工业企业流动资产合计_上年同期,大中型工业企业流动资产合计_增减,大中型工业企业应收账款_本月末,大中型工业企业应收账款_上年同期,大中型工业企业应收账款_增减,大中型工业企业存货_本月末,大中型工业企业存货_上年同期,大中型工业企业存货_增减,大中型工业企业产成品存货_本月末,大中型工业企业产成品存货_上年同期,大中型工业企业产成品存货_增减,大中型工业企业资产总计_本月末,大中型工业企业资产总计_上年同期,大中型工业企业资产总计_增减,大中型工业企业负债合计_本月末,大中型工业企业负债合计_上年同期,大中型工业企业负债合计_增减,大中型工业企业所有者权益合计_本月末,大中型工业企业所有者权益合计_上年同期,大中型工业企业所有者权益合计_增减,大中型工业企业营业收入_累计值,大中型工业企业营业收入_上年同期累计值,大中型工业企业营业收入_累计增长,大中型工业企业营业成本_累计值,大中型工业企业营业成本_上年同期累计值,大中型工业企业营业成本_累计增长,大中型工业企业销售费用_累计值,大中型工业企业销售费用_上年同期累计值,大中型工业企业销售费用_累计增长,大中型工业企业管理费用_累计值,大中型工业企业管理费用_上年同期累计值,大中型工业企业管理费用_累计增长,大中型工业企业财务费用_累计值,大中型工业企业财务费用_上年同期累计值,大中型工业企业财务费用_累计增长,大中型工业企业投资收益_累计值,大中型工业企业投资收益_上年同期累计值,大中型工业企业投资收益_累计增长,大中型工业企业营业利润_累计值,大中型工业企业营业利润_上年同期累计值,大中型工业企业营业利润_累计增长,大中型工业企业利润总额_累计值,大中型工业企业利润总额_上年同期累计值,大中型工业企业利润总额_累计增长,大中型工业企业亏损企业亏损总额_累计值,大中型工业企业亏损企业亏损总额_上年同期累计值,大中型工业企业亏损企业亏损总额_累计增长,大中型工业企业平均用工人数_累计值,大中型工业企业平均用工人数_上年同期累计值,大中型工业企业平均用工人数_累计增长
2025年5月,45721.0,13422.0,13266.0,1.2,589792.8,565463.7,4.3,151506.1,139287.5,8.8,103663.9,102734.9,0.9,37263.8,36989.4,0.7,1202174.7,1150654.2,4.5,672281.8,642224.5,4.7,529892.9,508429.7,4.2,342500.8,340290.1,0.6,290002.6,287544.2,0.9,7401.9,7768.4,-4.7,9245.9,9295.0,-0.5,2026.5,2092.8,-3.2,2563.2,2976.7,-13.9,19501.8,20079.3,-2.9,19651.4,20211.5,-2.8,4602.1,4937.3,-6.8,3957.1,4014.9,-1.4
2025年4月,45701.0,13777.0,13892.0,-0.8,588132.0,562646.3,4.5,148251.0,135382.9,9.5,103459.6,102054.5,1.4,37219.1,36894.5,0.9,1197198.5,1144776.4,4.6,669310.2,637934.4,4.9,527888.3,506842.0,4.2,272705.7,269586.1,1.2,230503.9,227527.2,1.3,5891.2,6206.4,-5.1,7429.1,7440.8,-0.2,1491.2,1672.7,-10.9,1648.0,1980.6,-16.8,15353.8,15416.6,-0.4,15516.1,15544.1,-0.2,3705.9,4067.1,-8.9,3961.6,4010.6,-1.2
2025年3月,45689.0,15026.0,15195.0,-1.1,583476.7,558468.3,4.5,147125.2,134049.0,9.8,102047.8,100414.4,1.6,36991.3,36655.6,0.9,1190732.5,1138994.9,4.5,665200.9,633461.7,5.0,525531.6,505533.2,4.0,203212.0,200075.7,1.6,171183.5,168278.7,1.7,4412.0,4644.6,-5.0,5616.0,5630.8,-0.3,1263.3,1273.6,-0.8,1084.9,1457.0,-25.5,11291.4,11438.7,-1.3,11390.9,11512.0,-1.1,2907.6,3215.9,-9.6,3952.8,3991.6,-1.0
2025年2月,45656.0,15892.0,15682.0,1.3,571939.1,553565.3,3.3,143718.6,131670.1,9.2,101866.0,100212.2,1.7,36439.9,36089.2,1.0,1177695.2,1132127.6,4.0,655534.7,628649.2,4.3,522160.5,503478.4,3.7,127543.6,125816.1,1.4,107089.4,105565.1,1.4,2796.5,2920.2,-4.2,3609.2,3637.1,-0.8,916.9,864.2,6.1,562.0,679.7,-17.3,6596.3,6654.3,-0.9,6668.7,6730.4,-0.9,2408.2,2505.9,-3.9,3925.3,3966.4,-1.0
2024年9月,45854.0,11958.0,11824.0,1.1,574976.4,561435.1,2.4,149827.0,139952.5,7.1,101531.2,100347.9,1.2,36623.3,35693.2,2.6,1165093.1,1118780.9,4.1,652845.5,628161.1,3.9,512247.6,490619.8,4.4,635007.5,629525.2,0.9,537352.7,530388.1,1.3,14353.9,14581.9,-1.6,17155.1,17037.8,0.7,4165.9,3758.3,10.8,6410.2,6027.0,6.4,38077.2,40235.1,-5.4,38245.1,40515.9,-5.6,8207.9,7345.0,11.7,4022.9,4124.4,-2.5
2024年8月,45795.0,12120.0,12234.0,-0.9,572395.4,557999.2,2.6,148479.3,137330.8,8.1,103058.4,101197.4,1.8,37535.9,36229.8,3.6,1159207.4,1111252.5,4.3,648688.2,624674.0,3.8,510519.2,486578.5,4.9,558894.6,551463.8,1.3,472927.4,465264.0,1.6,12624.1,12792.8,-1.3,15058.4,14923.5,0.9,3453.2,3353.4,3.0,5784.9,4939.2,17.1,33896.7,34114.7,-0.6,34105.1,34410.1,-0.9,7259.3,6900.6,5.2,4018.4,4119.4,-2.5
2024年7月,45786.0,12204.0,12676.0,-3.7,568068.4,549899.9,3.3,145518.6,135521.7,7.4,102800.5,100525.6,2.3,37197.7,35931.4,3.5,1154213.1,1101066.1,4.8,645624.8,618854.6,4.3,508588.3,482211.5,5.5,487862.0,479522.7,1.7,412284.5,404617.4,1.9,11095.0,11191.5,-0.9,13190.7,13036.8,1.2,2913.9,2980.4,-2.2,5146.3,4293.1,19.9,30106.7,29324.1,2.7,30322.0,29610.3,2.4,6282.7,6320.7,-0.6,4018.3,4115.3,-2.4
2024年6月,45763.0,12426.0,12908.0,-3.7,566553.1,544865.7,4.0,142932.8,132772.6,7.7,101254.8,99438.2,1.8,36623.5,35603.6,2.9,1150949.0,1094007.0,5.2,642923.7,614334.3,4.7,508025.3,479672.7,5.9,417777.3,410061.5,1.9,352551.3,345849.0,1.9,9545.5,9611.1,-0.7,11317.2,11132.1,1.7,2483.1,2324.5,6.8,4450.0,3848.7,15.6,26136.8,25480.7,2.6,26295.3,25723.1,2.2,5453.8,5555.6,-1.8,4018.0,4109.9,-2.2
2024年12月,46024.0,10091.0,9640.0,4.7,574095.7,554828.1,3.5,147794.1,136248.7,8.5,100579.6,99025.2,1.6,36246.5,35650.9,1.7,1178599.9,1132552.2,4.1,658455.8,631166.6,4.3,520144.1,501385.6,3.7,871470.1,865449.0,0.7,737139.8,728202.3,1.2,19583.6,20218.6,-3.1,24328.3,24280.9,0.2,4775.1,4985.7,-4.2,9699.8,9219.4,5.2,52555.8,54990.1,-4.4,52519.7,55055.0,-4.6,11122.1,9799.7,13.5,4056.2,4159.7,-2.5
2024年11月,46025.0,11340.0,10827.0,4.7,587710.0,570467.1,3.0,156440.0,143734.2,8.8,103216.2,102148.9,1.0,37065.7,36454.5,1.7,1185600.8,1135989.1,4.4,666661.1,638606.0,4.4,518939.7,497383.1,4.3,784630.6,780706.1,0.5,664446.9,657524.5,1.1,17521.9,17964.0,-2.5,21090.2,21023.2,0.3,4537.6,4723.6,-3.9,7753.9,7476.5,3.7,47484.9,50639.8,-6.2,47664.0,50857.3,-6.3,9718.4,8516.6,14.1,4040.6,4143.0,-2.5
