时间,工业企业资产总计_本月末,工业企业资产总计_上年同期,工业企业资产总计_增减,采矿业资产总计_本月末,采矿业资产总计_上年同期,采矿业资产总计_增减,煤炭开采和洗选业资产总计_本月末,煤炭开采和洗选业资产总计_上年同期,煤炭开采和洗选业资产总计_增减,石油和天然气开采业资产总计_本月末,石油和天然气开采业资产总计_上年同期,石油和天然气开采业资产总计_增减,黑色金属矿采选业资产总计_本月末,黑色金属矿采选业资产总计_上年同期,黑色金属矿采选业资产总计_增减,有色金属矿采选业资产总计_本月末,有色金属矿采选业资产总计_上年同期,有色金属矿采选业资产总计_增减,非金属矿采选业资产总计_本月末,非金属矿采选业资产总计_上年同期,非金属矿采选业资产总计_增减,开采专业及辅助性活动资产总计_本月末,开采专业及辅助性活动资产总计_上年同期,开采专业及辅助性活动资产总计_增减,其他采矿业资产总计_本月末,其他采矿业资产总计_上年同期,其他采矿业资产总计_增减,制造业资产总计_本月末,制造业资产总计_上年同期,制造业资产总计_增减,农副食品加工业资产总计_本月末,农副食品加工业资产总计_上年同期,农副食品加工业资产总计_增减,食品制造业资产总计_本月末,食品制造业资产总计_上年同期,食品制造业资产总计_增减,酒、饮料和精制茶制造业资产总计_本月末,酒、饮料和精制茶制造业资产总计_上年同期,酒、饮料和精制茶制造业资产总计_增减,烟草制品业资产总计_本月末,烟草制品业资产总计_上年同期,烟草制品业资产总计_增减,纺织业资产总计_本月末,纺织业资产总计_上年同期,纺织业资产总计_增减,纺织服装、服饰业资产总计_本月末,纺织服装、服饰业资产总计_上年同期,纺织服装、服饰业资产总计_增减,皮革、毛皮、羽毛及其制品和制鞋业资产总计_本月末,皮革、毛皮、羽毛及其制品和制鞋业资产总计_上年同期,皮革、毛皮、羽毛及其制品和制鞋业资产总计_增减,木材加工和木、竹、藤、棕、草制品业资产总计_本月末,木材加工和木、竹、藤、棕、草制品业资产总计_上年同期,木材加工和木、竹、藤、棕、草制品业资产总计_增减,家具制造业资产总计_本月末,家具制造业资产总计_上年同期,家具制造业资产总计_增减,造纸和纸制品业资产总计_本月末,造纸和纸制品业资产总计_上年同期,造纸和纸制品业资产总计_增减,印刷和记录媒介复制业资产总计_本月末,印刷和记录媒介复制业资产总计_上年同期,印刷和记录媒介复制业资产总计_增减,文教、工美、体育和娱乐用品制造业资产总计_本月末,文教、工美、体育和娱乐用品制造业资产总计_上年同期,文教、工美、体育和娱乐用品制造业资产总计_增减,石油、煤炭及其他燃料加工业资产总计_本月末,石油、煤炭及其他燃料加工业资产总计_上年同期,石油、煤炭及其他燃料加工业资产总计_增减,化学原料和化学制品制造业资产总计_本月末,化学原料和化学制品制造业资产总计_上年同期,化学原料和化学制品制造业资产总计_增减,医药制造业资产总计_本月末,医药制造业资产总计_上年同期,医药制造业资产总计_增减,化学纤维制造业资产总计_本月末,化学纤维制造业资产总计_上年同期,化学纤维制造业资产总计_增减,橡胶和塑料制品业资产总计_本月末,橡胶和塑料制品业资产总计_上年同期,橡胶和塑料制品业资产总计_增减,非金属矿物制品业资产总计_本月末,非金属矿物制品业资产总计_上年同期,非金属矿物制品业资产总计_增减,黑色金属冶炼和压延加工业资产总计_本月末,黑色金属冶炼和压延加工业资产总计_上年同期,黑色金属冶炼和压延加工业资产总计_增减,有色金属冶炼和压延加工业资产总计_本月末,有色金属冶炼和压延加工业资产总计_上年同期,有色金属冶炼和压延加工业资产总计_增减,金属制品业资产总计_本月末,金属制品业资产总计_上年同期,金属制品业资产总计_增减,通用设备制造业资产总计_本月末,通用设备制造业资产总计_上年同期,通用设备制造业资产总计_增减,专用设备制造业资产总计_本月末,专用设备制造业资产总计_上年同期,专用设备制造业资产总计_增减,汽车制造业资产总计_本月末,汽车制造业资产总计_上年同期,汽车制造业资产总计_增减,铁路、船舶、航空航天和其他运输设备制造业资产总计_本月末,铁路、船舶、航空航天和其他运输设备制造业资产总计_上年同期,铁路、船舶、航空航天和其他运输设备制造业资产总计_增减,电气机械和器材制造业资产总计_本月末,电气机械和器材制造业资产总计_上年同期,电气机械和器材制造业资产总计_增减,计算机、通信和其他电子设备制造业资产总计_本月末,计算机、通信和其他电子设备制造业资产总计_上年同期,计算机、通信和其他电子设备制造业资产总计_增减,仪器仪表制造业资产总计_本月末,仪器仪表制造业资产总计_上年同期,仪器仪表制造业资产总计_增减,其他制造业资产总计_本月末,其他制造业资产总计_上年同期,其他制造业资产总计_增减,废弃资源综合利用业资产总计_本月末,废弃资源综合利用业资产总计_上年同期,废弃资源综合利用业资产总计_增减,金属制品、机械和设备修理业资产总计_本月末,金属制品、机械和设备修理业资产总计_上年同期,金属制品、机械和设备修理业资产总计_增减,电力、热力、燃气及水生产和供应业资产总计_本月末,电力、热力、燃气及水生产和供应业资产总计_上年同期,电力、热力、燃气及水生产和供应业资产总计_增减,电力、热力生产和供应业资产总计_本月末,电力、热力生产和供应业资产总计_上年同期,电力、热力生产和供应业资产总计_增减,燃气生产和供应业资产总计_本月末,燃气生产和供应业资产总计_上年同期,燃气生产和供应业资产总计_增减,水的生产和供应业资产总计_本月末,水的生产和供应业资产总计_上年同期,水的生产和供应业资产总计_增减
2025年5月,1823580.7,1735159.1,5.1,144323.2,139551.9,3.4,78993.7,77214.6,2.3,28130.9,26975.3,4.3,12894.2,12789.9,0.8,8567.7,7868.0,8.9,12222.4,11441.9,6.8,3499.4,3245.5,7.8,15.0,16.8,-10.7,1355616.9,1289653.8,5.1,36283.7,35031.1,3.6,23924.6,23135.5,3.4,24718.7,23483.9,5.3,12177.8,11920.3,2.2,23713.3,23098.3,2.7,10285.6,10030.7,2.5,6189.1,6026.8,2.7,6264.0,6201.3,1.0,7199.3,7183.5,0.2,17684.9,17325.1,2.1,7495.3,7417.4,1.1,9749.1,9410.3,3.6,42066.3,42180.2,-0.3,118097.7,112196.9,5.3,52751.5,51243.2,2.9,12741.1,12359.9,3.1,33367.1,31403.2,6.3,83515.2,84056.6,-0.6,77862.1,76975.6,1.2,54964.4,52481.8,4.7,43726.3,41491.2,5.4,68332.9,64387.6,6.1,65496.9,61724.6,6.1,116905.0,109160.4,7.1,24537.4,21702.2,13.1,136260.4,125373.1,8.7,207969.8,193465.3,7.5,16985.3,15925.0,6.7,2140.1,2055.6,4.1,7478.5,6923.4,8.0,4733.5,4283.5,10.5,323640.6,305953.4,5.8,266796.4,252336.6,5.7,20325.0,19825.5,2.5,36519.1,33791.3,8.1
2025年4月,1813494.3,1723001.5,5.3,143881.1,138399.2,4.0,78812.6,76620.2,2.9,27983.2,26695.8,4.8,12855.2,12705.0,1.2,8598.7,7781.4,10.5,12161.0,11354.4,7.1,3458.9,3228.2,7.1,11.4,14.2,-19.7,1347730.1,1280734.5,5.2,36043.0,34866.1,3.4,23888.7,23142.1,3.2,24602.1,23392.7,5.2,12190.0,11898.3,2.5,23637.0,22852.6,3.4,10203.0,9950.1,2.5,6128.4,5947.9,3.0,6245.5,6139.8,1.7,7158.6,7139.3,0.3,17693.6,17370.6,1.9,7486.4,7362.3,1.7,9764.2,9410.3,3.8,41916.3,41947.0,-0.1,117425.2,111792.1,5.0,52525.8,51273.4,2.4,12659.9,12324.4,2.7,33038.2,31059.8,6.4,83246.0,83557.8,-0.4,78697.7,76191.6,3.3,54454.9,51397.4,5.9,43476.0,40988.6,6.1,67808.3,63858.6,6.2,65246.3,61581.5,6.0,115944.3,109134.6,6.2,24317.7,21468.6,13.3,134739.6,124146.8,8.5,206040.1,191604.2,7.5,16912.0,15839.4,6.8,2129.2,2001.9,6.4,7404.6,6836.3,8.3,4707.6,4258.5,10.5,321883.2,303867.8,5.9,265109.3,250551.9,5.8,20466.1,19761.9,3.6,36307.8,33553.9,8.2
2025年3月,1803735.9,1712491.4,5.3,143031.0,137963.7,3.7,78294.3,76432.4,2.4,27831.3,26856.5,3.6,12786.0,12730.2,0.4,8554.9,7500.7,14.1,12095.3,11193.1,8.1,3410.6,3188.9,7.0,58.5,62.0,-5.6,1339138.2,1271375.8,5.3,36033.1,34838.8,3.4,23616.3,22995.8,2.7,24536.8,23170.7,5.9,12209.4,11988.4,1.8,23565.6,22650.0,4.0,10228.1,9902.4,3.3,6066.6,5889.8,3.0,6201.5,6066.4,2.2,7193.0,7130.4,0.9,17684.7,17258.6,2.5,7491.7,7361.5,1.8,9716.2,9446.0,2.9,41639.6,42000.9,-0.9,117027.5,110955.2,5.5,52692.0,51172.1,3.0,12598.2,12239.4,2.9,32921.5,30811.2,6.8,83386.4,83429.5,-0.1,78691.7,75653.6,4.0,53796.2,50756.9,6.0,42983.8,40467.3,6.2,67682.5,63859.9,6.0,64530.6,60623.8,6.4,114769.6,108073.8,6.2,23727.4,20946.5,13.3,133918.4,123276.5,8.6,202952.3,189527.1,7.1,16827.3,15790.0,6.6,2123.6,1987.9,6.8,7434.5,6706.3,10.9,4892.2,4399.2,11.2,321566.8,303151.9,6.1,265163.4,250055.6,6.0,20244.8,19677.4,2.9,36158.6,33418.9,8.2
2025年2月,1782302.4,1698084.3,5.0,141160.3,137594.2,2.6,77109.1,76306.1,1.1,27424.1,26651.3,2.9,12780.2,12852.4,-0.6,8401.7,7423.2,13.2,11927.0,11105.8,7.4,3460.2,3193.6,8.3,58.0,61.8,-6.1,1321655.2,1259859.8,4.9,35455.1,34291.4,3.4,23666.5,23194.6,2.0,24042.7,22757.5,5.6,11961.4,11642.6,2.7,23277.6,22352.0,4.1,10192.0,9803.1,4.0,6052.4,5825.7,3.9,6136.6,5984.1,2.5,7101.0,7082.7,0.3,17543.3,17038.7,3.0,7401.8,7299.5,1.4,9594.8,9189.2,4.4,41572.5,41742.9,-0.4,115759.5,109738.6,5.5,52185.9,50562.3,3.2,12383.1,11938.9,3.7,32514.1,30439.3,6.8,82667.1,82503.5,0.2,78027.3,75359.3,3.5,52786.6,50015.0,5.5,42457.3,39864.9,6.5,66724.9,63929.4,4.4,63483.4,59810.3,6.1,112721.7,106258.0,6.1,23159.6,20631.6,12.3,131244.1,121576.3,8.0,200744.2,190569.3,5.3,16685.9,15613.5,6.9,2118.2,1964.7,7.8,7172.4,6507.8,10.2,4822.2,4373.2,10.3,319486.9,300630.4,6.3,263295.5,248038.9,6.2,20287.8,19466.1,4.2,35903.6,33125.3,8.4
2024年9月,1750185.5,1671754.9,4.7,141962.6,137701.8,3.1,78566.7,78107.0,0.6,27195.4,25677.0,5.9,12832.0,12401.5,3.5,8156.9,7520.8,8.5,11124.8,10134.8,9.8,4072.5,3845.2,5.9,14.4,15.6,-7.7,1307218.3,1250337.1,4.5,35370.5,34853.4,1.5,22674.9,22315.8,1.6,23960.6,22820.9,5.0,11965.1,12074.3,-0.9,23719.8,22756.9,4.2,10710.0,10398.6,3.0,6166.2,5965.8,3.4,6292.5,5973.4,5.3,7256.1,7033.8,3.2,17401.3,16847.2,3.3,7503.7,7305.9,2.7,9681.1,9484.7,2.1,41287.4,41881.5,-1.4,111671.0,106874.9,4.5,51210.0,49316.0,3.8,12336.6,11892.1,3.7,31824.4,30488.8,4.4,84069.6,83114.0,1.1,76802.4,75411.9,1.8,54277.7,50509.6,7.5,42516.1,40391.9,5.3,64908.0,61830.4,5.0,63323.0,60176.0,5.2,113018.7,107520.0,5.1,22585.0,20621.9,9.5,128202.5,120068.0,6.8,196796.1,184438.8,6.7,16142.4,15279.9,5.6,2045.6,1982.0,3.2,6873.8,6423.7,7.0,4626.3,4284.8,8.0,301004.7,283716.1,6.1,248504.9,233720.0,6.3,19392.3,18936.1,2.4,33107.5,31060.0,6.6
2024年8月,1737131.2,1656933.7,4.8,141001.4,136423.7,3.4,78175.1,77064.4,1.4,26940.5,25685.2,4.9,12759.5,12378.5,3.1,8038.8,7465.8,7.7,10953.5,9984.8,9.7,4120.0,3828.8,7.6,14.1,16.3,-13.5,1296601.0,1238198.1,4.7,35502.2,34913.8,1.7,22700.4,22360.6,1.5,23842.4,22192.8,7.4,11909.7,12029.0,-1.0,23488.1,22582.0,4.0,10623.9,10318.5,3.0,6123.2,5959.3,2.8,6232.9,5932.6,5.1,7246.5,7024.1,3.2,17300.7,16865.2,2.6,7473.3,7251.6,3.1,9532.4,9309.1,2.4,41211.0,41345.5,-0.3,111181.0,105768.6,5.1,50743.9,48761.7,4.1,12364.6,11775.9,5.0,31622.0,30180.1,4.8,83581.2,82322.6,1.5,76910.0,74811.0,2.8,53697.8,50114.1,7.2,42509.2,40010.4,6.2,64445.6,61247.0,5.2,62879.7,59729.1,5.3,111229.0,106148.9,4.8,22332.0,20323.8,9.9,126663.6,118184.5,7.2,193930.4,183127.1,5.9,15968.7,15100.9,5.7,2031.8,1925.9,5.5,6771.2,6315.0,7.2,4552.9,4267.6,6.7,299528.8,282311.9,6.1,247430.3,232791.3,6.3,19236.4,18817.9,2.2,32862.2,30702.8,7.0
2024年7月,1727606.4,1640286.9,5.3,140139.3,135742.6,3.2,77933.4,77017.4,1.2,26680.8,25285.4,5.5,12742.6,12302.0,3.6,7942.1,7407.5,7.2,10728.7,9945.9,7.9,4098.2,3768.3,8.8,13.6,16.2,-16.0,1289221.5,1223663.2,5.4,35167.9,34577.4,1.7,22436.3,21917.2,2.4,23997.7,22252.4,7.8,12058.1,12007.5,0.4,23326.2,22327.0,4.5,10492.9,10152.2,3.4,6063.5,5866.9,3.4,6192.3,5877.2,5.4,7178.0,6939.2,3.4,17297.2,16747.7,3.3,7443.9,7168.6,3.8,9415.1,9178.7,2.6,41323.2,41088.5,0.6,110760.9,104718.2,5.8,50681.9,48680.0,4.1,12323.9,11637.7,5.9,31404.8,29842.6,5.2,83541.2,81468.4,2.5,77305.4,73923.9,4.6,53515.7,49539.0,8.0,42121.8,39581.1,6.4,64149.4,60634.3,5.8,62537.5,59024.3,6.0,110072.6,104997.1,4.8,21975.1,19978.2,10.0,125791.4,116480.3,8.0,191493.1,179760.0,6.5,15848.2,14894.2,6.4,2021.7,1910.9,5.8,6768.1,6226.4,8.7,4516.6,4266.1,5.9,298245.6,280881.0,6.2,246522.3,231721.2,6.4,19066.1,18677.6,2.1,32657.2,30482.2,7.1
2024年6月,1720462.0,1628363.5,5.7,140528.8,135591.3,3.6,78023.7,77264.3,1.0,27003.0,25083.2,7.7,12785.1,12319.9,3.8,7792.9,7337.7,6.2,10738.8,9858.0,8.9,4171.5,3712.3,12.4,13.8,15.9,-13.2,1283394.4,1214533.7,5.7,35163.5,34246.4,2.7,22318.0,21293.0,4.8,23903.0,22216.9,7.6,11834.5,11884.6,-0.4,23193.0,22250.0,4.2,10376.3,10051.2,3.2,6026.3,5839.8,3.2,6160.7,5828.3,5.7,7168.3,6889.7,4.0,17343.6,16765.6,3.4,7418.8,7116.5,4.2,9418.7,9014.3,4.5,41498.8,41088.8,1.0,110133.3,103899.3,6.0,50906.0,48720.0,4.5,12264.4,11525.5,6.4,31366.2,29720.7,5.5,83484.2,80841.3,3.3,77047.8,73517.9,4.8,53029.5,49302.4,7.6,41949.6,39382.1,6.5,64019.9,60351.3,6.1,62322.5,58730.3,6.1,109388.7,104237.2,4.9,21667.2,19675.4,10.1,125312.1,115331.1,8.7,189678.5,177717.1,6.7,15756.2,14773.5,6.7,2016.8,1905.7,5.8,6769.1,6215.5,8.9,4458.7,4202.4,6.1,296538.7,278238.6,6.6,244914.8,229338.2,6.8,19057.7,18619.0,2.4,32566.2,30281.4,7.5
2024年12月,1785378.5,1707793.1,4.5,141598.5,138208.9,2.5,78127.3,77074.2,1.4,26973.2,26080.9,3.4,12805.5,12831.4,-0.2,8275.7,7662.9,8.0,11510.2,10825.8,6.3,3892.5,3717.5,4.7,14.1,16.2,-13.0,1332253.2,1274978.0,4.5,36366.5,35746.7,1.7,23248.7,22303.1,4.2,24617.6,23239.4,5.9,10935.7,10808.5,1.2,24075.6,23287.8,3.4,10950.5,10624.7,3.1,6271.7,6173.9,1.6,6646.3,6567.5,1.2,7475.7,7257.7,3.0,17501.2,17068.0,2.5,7657.7,7531.7,1.7,9809.6,9615.5,2.0,40944.8,41613.8,-1.6,115808.9,109611.5,5.7,51746.1,50232.3,3.0,12312.4,11917.2,3.3,32665.2,31335.7,4.2,86050.7,85817.8,0.3,77276.6,75464.2,2.4,52622.7,50433.0,4.3,43180.1,41139.7,5.0,67019.1,63979.7,4.8,64641.4,61298.1,5.5,115077.5,109932.9,4.7,23098.3,20740.7,11.4,131461.7,124304.8,5.8,202056.6,188142.4,7.4,16639.7,15762.4,5.6,2128.3,2027.8,5.0,7283.1,6657.3,9.4,4683.3,4342.2,7.9,311526.7,294606.1,5.7,257391.6,242750.3,6.0,19773.7,19554.7,1.1,34361.4,32301.1,6.4
2024年11月,1788685.4,1707711.9,4.7,142972.1,139638.4,2.4,78794.7,78544.1,0.3,27229.7,26365.3,3.3,12977.2,12561.5,3.3,8272.7,7645.6,8.2,11491.6,10550.6,8.9,4191.5,3955.2,6.0,14.6,16.1,-9.3,1336916.1,1278987.2,4.5,36086.6,35879.9,0.6,23182.4,22824.7,1.6,24512.5,23083.9,6.2,11511.6,11783.9,-2.3,23964.2,23233.7,3.1,10977.0,10632.1,3.2,6301.7,6166.2,2.2,6508.3,6377.6,2.0,7506.1,7215.7,4.0,17584.4,17151.1,2.5,7611.4,7477.3,1.8,9841.6,9699.4,1.5,41398.8,42313.9,-2.2,115489.7,110064.6,4.9,51609.2,50140.4,2.9,12380.0,11985.4,3.3,32463.9,31157.2,4.2,86101.1,85470.9,0.7,77758.5,76144.7,2.1,54405.7,51001.3,6.7,43182.6,41084.8,5.1,66699.3,63958.5,4.3,64394.2,61073.4,5.4,116791.7,110048.5,6.1,23211.7,21101.5,10.0,131642.3,123699.8,6.4,203404.2,189606.6,7.3,16455.2,15651.8,5.1,2112.2,2052.3,2.9,7085.6,6527.9,8.5,4742.2,4378.1,8.3,308797.2,289086.4,6.8,254949.4,237519.1,7.3,19889.6,19541.9,1.8,33958.2,32025.3,6.0
