时间,通用仪器仪表制造工业生产者出厂价格指数(上年同月=100),专用仪器仪表制造工业生产者出厂价格指数(上年同月=100),钟表与计时仪器制造工业生产者出厂价格指数(上年同月=100),光学仪器制造工业生产者出厂价格指数(上年同月=100),衡器制造工业生产者出厂价格指数(上年同月=100),其他仪器仪表制造业工业生产者出厂价格指数(上年同月=100)
2025年6月,99.1,99.5,100.1,100.9,100.2,99.8
2025年5月,98.7,99.4,100.4,100.2,100.5,99.3
2025年4月,98.6,99.2,100.3,100.2,100.5,99.6
2025年3月,98.7,98.6,101.0,100.9,100.2,99.9
2025年2月,98.3,98.6,100.8,101.0,99.3,99.7
2025年1月,98.7,98.4,100.6,100.5,99.5,100.3
2024年12月,98.8,96.9,99.5,99.6,99.6,100.1
2024年11月,98.4,96.3,99.2,98.9,98.4,100.1
2024年10月,98.6,96.2,98.6,98.1,98.6,100.5
2024年9月,99.0,97.0,98.8,98.6,100.0,100.3
2024年8月,98.7,98.2,99.7,99.2,96.1,100.6
2024年7月,100.7,98.3,98.8,98.9,96.3,100.5
2024年6月,100.0,98.7,99.4,99.5,94.9,100.7
