时间,移动通信手持机（手机）产量_当期值,移动通信手持机（手机）产量_累计值,移动通信手持机（手机）产量_同比增长,移动通信手持机（手机）产量_累计增长
2025年6月,13410.5529,70741.3327,2.6,-4.5
2025年5月,11368.3,56997.9,-7.2,-6.5
2025年4月,10915.6,45350.7,-11.9,-6.8
2025年3月,13679.3336,34429.6972,0.4,-5.6
2025年2月,,21681.4,,-6.1
2024年9月,17043.9467,118446.7763,9.1,9.8
2024年8月,13647.9244,101515.9063,7.9,8.8
2024年7月,12830.388,87823.94,6.5,9.0
2024年6月,13291.405,75177.3658,7.6,9.7
2024年12月,16616.7525,166952.9462,-1.0,7.8
2024年11月,16506.9905,150394.719,4.4,8.9
2024年10月,15435.3833,133942.5322,7.2,9.5
