时间,国有控股工业企业单位数_本月末,国有控股工业企业亏损企业数_本月末,国有控股工业企业亏损企业数_上年同期,国有控股工业企业亏损企业数_增减,国有控股工业企业流动资产合计_本月末,国有控股工业企业流动资产合计_上年同期,国有控股工业企业流动资产合计_增减,国有控股工业企业应收账款_本月末,国有控股工业企业应收账款_上年同期,国有控股工业企业应收账款_增减,国有控股工业企业存货_本月末,国有控股工业企业存货_上年同期,国有控股工业企业存货_增减,国有控股工业企业产成品存货_本月末,国有控股工业企业产成品存货_上年同期,国有控股工业企业产成品存货_增减,国有控股工业企业资产总计_本月末,国有控股工业企业资产总计_上年同期,国有控股工业企业资产总计_增减,国有控股工业企业负债合计_本月末,国有控股工业企业负债合计_上年同期,国有控股工业企业负债合计_增减,国有控股工业企业所有者权益合计_本月末,国有控股工业企业所有者权益合计_上年同期,国有控股工业企业所有者权益合计_增减,国有控股工业企业营业收入_累计值,国有控股工业企业营业收入_上年同期累计值,国有控股工业企业营业收入_累计增长,国有控股工业企业营业成本_累计值,国有控股工业企业营业成本_上年同期累计值,国有控股工业企业营业成本_累计增长,国有控股工业企业销售费用_累计值,国有控股工业企业销售费用_上年同期累计值,国有控股工业企业销售费用_累计增长,国有控股工业企业管理费用_累计值,国有控股工业企业管理费用_上年同期累计值,国有控股工业企业管理费用_累计增长,国有控股工业企业财务费用_累计值,国有控股工业企业财务费用_上年同期累计值,国有控股工业企业财务费用_累计增长,国有控股工业企业投资收益_累计值,国有控股工业企业投资收益_上年同期累计值,国有控股工业企业投资收益_累计增长,国有控股工业企业营业利润_累计值,国有控股工业企业营业利润_上年同期累计值,国有控股工业企业营业利润_累计增长,国有控股工业企业利润总额_累计值,国有控股工业企业利润总额_上年同期累计值,国有控股工业企业利润总额_累计增长,国有控股工业企业亏损企业亏损总额_累计值,国有控股工业企业亏损企业亏损总额_上年同期累计值,国有控股工业企业亏损企业亏损总额_累计增长,国有控股工业企业平均用工人数_累计值,国有控股工业企业平均用工人数_上年同期累计值,国有控股工业企业平均用工人数_累计增长
2025年5月,28523.0,9622.0,9508.0,1.2,238969.8,233130.6,2.5,56407.5,53456.8,5.5,38858.4,38354.1,1.3,10457.9,10464.4,-0.1,667443.9,639093.0,4.4,382776.5,366619.1,4.4,284667.4,272473.9,4.5,147663.3,149128.1,-1.0,123630.6,124156.8,-0.4,1457.9,1590.4,-8.3,3662.9,3717.7,-1.5,1791.0,1886.8,-5.1,1147.7,1261.5,-9.0,8687.9,9452.5,-8.1,8709.5,9410.2,-7.4,2451.8,2530.3,-3.1,1178.7,1200.3,-1.8
2025年4月,28474.0,9933.0,9929.0,0.0,237312.1,230714.1,2.9,55342.7,52606.0,5.2,38528.4,37933.3,1.6,10467.9,10520.4,-0.5,663599.9,635594.7,4.4,379863.7,364058.2,4.3,283736.2,271536.5,4.5,118836.9,119447.0,-0.5,99097.9,99185.8,-0.1,1174.8,1288.0,-8.8,2940.5,2972.6,-1.1,1436.4,1516.0,-5.3,720.0,793.2,-9.2,6984.3,7361.9,-5.1,7022.8,7348.0,-4.4,1979.4,2063.1,-4.1,1179.5,1202.7,-1.9
2025年3月,28388.0,10110.0,10274.0,-1.6,236057.9,229016.9,3.1,55505.9,52600.3,5.5,37952.7,37137.1,2.2,10502.2,10362.8,1.3,661321.0,632374.3,4.6,378719.9,361502.2,4.8,282601.1,270872.1,4.3,90016.3,90210.4,-0.2,74441.4,74462.5,0.0,884.9,968.6,-8.6,2215.5,2226.1,-0.5,1089.6,1140.2,-4.4,473.6,549.1,-13.7,5570.5,5706.2,-2.4,5599.5,5681.0,-1.4,1508.9,1625.7,-7.2,1180.4,1203.1,-1.9
2025年2月,28329.0,11103.0,11253.0,-1.3,231823.2,225713.2,2.7,53644.4,50574.3,6.1,38124.0,37216.3,2.4,10520.4,10400.7,1.2,655758.7,627940.4,4.4,374957.1,359163.5,4.4,280801.6,268776.9,4.5,57885.2,57897.1,0.0,47405.4,47474.0,-0.1,574.6,621.2,-7.5,1445.5,1457.9,-0.9,724.4,756.4,-4.2,306.4,266.0,15.2,3465.7,3405.8,1.8,3487.7,3416.9,2.1,1166.7,1277.0,-8.6,1180.9,1201.3,-1.7
2024年12月,28174.0,6908.0,6685.0,3.3,229598.8,223357.7,2.8,51290.3,49196.4,4.3,37635.0,36578.6,2.9,9971.8,10046.9,-0.7,646533.3,621111.0,4.1,370746.2,356695.3,3.9,275787.1,264415.7,4.3,370658.2,370292.3,0.1,312316.6,309644.9,0.9,3981.1,4398.7,-9.5,10050.9,10164.7,-1.1,4402.9,4512.5,-2.4,4910.2,4731.9,3.8,21626.5,22571.7,-4.2,21397.3,22437.4,-4.6,6246.8,5804.8,7.6,1203.1,1239.0,-2.9
2024年11月,28174.0,8101.0,7765.0,4.3,237315.0,232428.5,2.1,57282.5,53891.6,6.3,38666.8,37823.4,2.2,10277.6,10461.9,-1.8,649226.0,621709.7,4.4,374113.9,360007.8,3.9,275112.1,261701.9,5.1,334321.5,333236.8,0.3,280925.7,277707.7,1.2,3563.1,3870.4,-7.9,8534.7,8506.1,0.3,4084.2,4216.1,-3.1,3720.2,3854.8,-3.5,20436.8,22261.9,-8.2,20387.7,22268.4,-8.4,5151.7,4693.5,9.8,1201.0,1238.4,-3.0
2024年10月,27927.0,8372.0,8158.0,2.6,233339.5,230114.2,1.4,56410.1,54138.4,4.2,38300.8,37337.2,2.6,10353.1,10328.2,0.2,641800.4,616436.7,4.1,368318.1,357364.3,3.1,273482.3,259072.4,5.6,302431.5,300860.8,0.5,253669.3,250323.6,1.3,3222.1,3481.3,-7.4,7690.4,7616.7,1.0,3761.1,3858.1,-2.5,3175.0,3273.9,-3.0,18583.8,20143.3,-7.7,18530.9,20187.9,-8.2,4675.9,4321.7,8.2,1196.8,1235.8,-3.2
2024年9月,27718.0,8470.0,8388.0,1.0,231772.8,226823.2,2.2,56027.2,53607.4,4.5,37328.7,36113.2,3.4,10165.5,10054.9,1.1,636286.4,610253.6,4.3,364987.7,351988.2,3.7,271298.7,258265.4,5.0,271874.1,269436.1,0.9,227580.7,223843.9,1.7,2903.3,3124.3,-7.1,6851.0,6808.0,0.6,3403.2,3489.9,-2.5,2971.1,3098.9,-4.1,17289.9,18380.3,-5.9,17235.9,18425.1,-6.5,4154.5,3886.8,6.9,1193.4,1231.6,-3.1
2024年8月,27547.0,8558.0,8581.0,-0.3,231460.4,226127.5,2.4,56808.1,54008.7,5.2,37767.9,36362.0,3.9,10402.6,10097.0,3.0,633413.2,606920.1,4.4,363327.0,351042.8,3.5,270086.2,255877.3,5.6,240306.6,236999.3,1.4,200959.4,197040.4,2.0,2557.0,2720.4,-6.0,6016.5,5947.7,1.2,2999.0,3112.3,-3.6,2644.5,2345.3,12.8,15529.0,15660.6,-0.8,15490.6,15700.8,-1.3,3652.8,3634.8,0.5,1192.4,1230.5,-3.1
2024年7月,27499.0,8616.0,8765.0,-1.7,230021.9,224135.5,2.6,55920.2,53542.3,4.4,37850.9,36377.4,4.1,10337.7,10067.4,2.7,631252.2,604054.0,4.5,361843.1,349648.2,3.5,269409.1,254405.8,5.9,210141.1,206448.4,1.8,175316.7,171408.7,2.3,2266.1,2379.5,-4.8,5265.2,5207.4,1.1,2611.5,2721.2,-4.0,2447.9,2116.0,15.7,13942.3,13745.4,1.4,13917.3,13782.9,1.0,3178.4,3312.1,-4.0,1194.1,1230.2,-2.9
2024年6月,27447.0,8597.0,8723.0,-1.4,229795.0,222476.9,3.3,54263.7,51634.6,5.1,37511.9,36202.6,3.6,10048.6,9979.9,0.7,629589.9,600911.0,4.8,360234.7,347910.1,3.5,269355.2,253000.9,6.5,179803.0,176382.2,1.9,149639.5,146143.3,2.4,1960.1,2049.5,-4.4,4487.4,4427.3,1.4,2237.8,2314.7,-3.3,2060.1,1835.9,12.2,12136.2,12011.7,1.0,12083.9,12051.4,0.3,2745.7,2894.9,-5.2,1194.7,1231.2,-3.0
