时间,粮食类城市居民消费价格指数(上月=100),畜肉类城市居民消费价格指数(上月=100),蛋类城市居民消费价格指数(上月=100),水产品类城市居民消费价格指数(上月=100),鲜菜类城市居民消费价格指数(上月=100),鲜果类城市居民消费价格指数(上月=100)
2025年6月,100.0,99.5,97.1,100.6,100.9,96.8
2025年5月,99.8,99.8,99.2,100.9,94.3,103.4
2025年4月,99.9,100.0,99.1,101.3,98.0,102.1
2025年3月,99.9,98.0,97.5,99.9,94.9,98.4
2025年2月,100.0,99.0,94.7,101.2,96.2,101.8
2025年1月,99.8,100.3,99.3,102.8,106.0,103.3
2024年9月,99.7,100.4,102.0,99.5,104.2,102.0
2024年8月,99.9,103.3,102.7,100.2,118.0,103.9
2024年7月,99.7,100.6,103.5,100.4,109.4,99.8
2024年6月,99.9,104.2,101.3,99.8,93.0,96.3
2024年12月,100.1,99.0,100.1,100.3,97.7,98.9
2024年11月,99.8,98.3,99.3,98.7,87.0,96.9
2024年10月,100.0,98.1,98.1,97.9,96.8,98.9
