时间,通用设备修理工业生产者出厂价格指数(上年同月=100),专用设备修理工业生产者出厂价格指数(上年同月=100),铁路、船舶、航空航天等运输设备修理工业生产者出厂价格指数(上年同月=100),电气设备修理工业生产者出厂价格指数(上年同月=100),其他机械和设备修理业工业生产者出厂价格指数(上年同月=100)
2025年6月,90.2,98.6,103.2,100.0,99.7
2025年5月,94.7,98.6,103.3,100.0,99.7
2025年4月,95.6,99.7,103.6,100.0,99.7
2025年3月,96.0,99.7,102.6,100.0,99.7
2025年2月,91.5,99.6,102.7,100.0,99.7
2025年1月,89.0,99.4,103.3,100.0,100.0
2024年9月,96.5,99.9,101.8,100.0,99.5
2024年8月,96.3,99.8,101.2,105.3,99.6
2024年7月,96.3,100.2,101.1,105.3,98.3
2024年6月,99.6,100.5,101.4,105.3,99.8
2024年12月,87.9,99.1,103.3,100.0,99.4
2024年11月,87.8,98.9,102.0,100.0,99.4
2024年10月,87.8,99.5,102.0,100.0,99.8
