时间,本年实际到位资金合计_累计值,本年实际到位资金合计_累计增长,房地产投资上年资金结余_累计值,房地产投资上年资金结余_累计增长,房地产投资本年资金来源小计_累计值,房地产投资本年资金来源小计_累计增长,房地产投资国内贷款_累计值,房地产投资国内贷款_累计增长,房地产投资利用外资_累计值,房地产投资利用外资_累计增长,房地产投资自筹资金_累计值,房地产投资自筹资金_累计增长,房地产投资各项应付款_累计值,房地产投资各项应付款_累计增长,房地产投资工程款_累计值,房地产投资工程款_累计增长,房地产投资其他到位资金_累计值,房地产投资其他到位资金_累计增长
2025年5月,84235.81,-8.3,44003.4,-10.8,40232.41,-5.3,6678.89,-1.7,15.86,49.0,13742.66,-7.2,18232.33,-8.9,10617.66,-4.1,2219.73,2.7
2025年4月,75278.69,-8.3,42683.05,-11.3,32595.64,-4.1,5618.86,0.8,15.82,82.0,10952.95,-6.8,16595.67,-7.1,9590.06,-2.9,1807.48,3.2
2025年3月,66324.0391,-8.7,41594.6741,-11.4,24729.365,-3.7,4441.3166,-2.3,1.2282,-83.2,8168.2098,-5.8,15363.7746,-2.4,8478.9525,-3.8,1409.7729,0.9
2025年2月,55368.5981,-7.6,39791.3165,-9.1,15577.2816,-3.6,2953.9989,-6.1,0.5021,-90.6,5232.9386,-2.1,13442.5854,1.9,7679.6132,1.9,867.8267,4.0
2024年12月,163502.4106,-15.7,55841.137,-13.1,107661.2736,-17.0,15217.1082,-6.1,31.6274,-26.7,37745.8484,-11.6,35868.3153,-15.2,19314.7238,-16.6,5434.7664,-0.9
2024年11月,151768.0308,-15.7,55192.7606,-11.4,96575.2702,-18.0,13476.2231,-6.2,30.0908,-29.2,34676.1964,-11.0,33053.4402,-13.3,18050.2198,-13.6,4857.356,-0.5
2024年10月,141694.1683,-16.3,54459.4544,-11.2,87234.7139,-19.2,12400.1772,-6.4,30.0469,-19.1,31482.9103,-10.5,31359.1539,-12.3,17182.2918,-13.0,4441.6044,-0.6
2024年9月,132668.883,-16.6,53770.9777,-11.1,78897.9053,-20.0,11466.369,-6.2,29.1742,-19.9,28680.0151,-9.1,29466.0721,-12.2,16202.6427,-12.9,4050.2915,-2.8
2024年8月,123231.2793,-16.2,53298.7946,-10.4,69932.4847,-20.2,10229.0155,-5.1,19.8724,-42.4,25149.9266,-8.4,27195.0017,-11.5,14999.9842,-12.7,3536.0099,-4.6
2024年7月,113966.7643,-17.0,52066.0048,-11.3,61900.7595,-21.3,9216.287,-6.3,16.7377,-45.0,22056.9481,-8.7,25266.0551,-11.8,13892.4763,-12.8,3169.2946,-4.8
2024年6月,104005.9049,-17.9,50467.7105,-12.3,53538.1944,-22.6,8207.3441,-6.6,13.4288,-51.7,18862.1596,-9.1,23040.5784,-11.2,12517.6436,-14.8,2706.7098,-6.9
