时间,商业营业用房施工面积_累计值,商业营业用房施工面积_累计增长,商业营业用房新开工施工面积_累计值,商业营业用房新开工施工面积_累计增长,商业营业用房竣工面积_累计值,商业营业用房竣工面积_累计增长
2025年5月,54694.06,-9.0,1433.7,-25.2,1331.5,-19.3
2025年4月,54420.38,-9.6,1117.9,-22.2,1120.06,-18.4
2025年3月,53981.5629,-8.9,892.9786,-14.2,943.1584,-14.3
2025年2月,53577.9926,-8.6,411.8964,-31.4,637.5691,-13.9
2024年12月,63194.6058,-12.6,4980.3214,-23.3,4893.8123,-31.6
2024年11月,62552.7056,-13.1,4516.5621,-23.3,3272.0299,-27.9
2024年10月,62209.8268,-12.9,4057.944,-24.4,2923.5739,-24.7
2024年9月,61908.1917,-12.6,3716.1891,-24.3,2617.8897,-24.5
2024年8月,61733.7292,-12.1,3288.1672,-24.4,2408.4218,-24.4
2024年7月,61283.9063,-12.1,2882.6102,-25.0,2245.7656,-20.0
2024年6月,60689.5263,-12.3,2381.4122,-29.3,2006.7024,-18.9
