时间,商业营业用房销售额_累计值,商业营业用房销售额_累计增长,商业营业用房现房销售额_累计值,商业营业用房现房销售额_累计增长,商业营业用房期房销售额_累计值,商业营业用房期房销售额_累计增长
2025年6月,2524.24,-10.4,1252.51,-3.2,1271.74,-16.6
2025年5月,1903.44,-13.9,958.48,-4.0,944.96,-22.0
2025年4月,1520.52,-13.3,767.58,-5.0,752.93,-20.4
2025年3月,1160.0378,-16.0,590.1226,-6.1,569.9152,-24.2
2025年2月,550.7637,-19.8,273.4525,-13.6,277.3112,-25.1
2024年9月,4200.0493,-12.2,1982.6171,9.8,2217.4322,-25.6
2024年8月,3528.3552,-13.1,1641.2358,4.8,1887.1194,-24.3
2024年7月,3181.2491,-12.0,1469.4977,5.2,1711.7514,-22.8
2024年6月,2832.9776,-9.7,1304.6752,6.1,1528.3024,-19.9
2024年12月,5728.1513,-13.6,2701.3154,3.6,3026.8359,-24.7
2024年11月,4995.861,-13.4,2376.7851,6.7,2619.0759,-26.1
2024年10月,4542.9044,-13.7,2149.8913,7.2,2393.0131,-26.5
