时间,工业企业财务费用_累计值,工业企业财务费用_上年同期累计值,工业企业财务费用_累计增长,采矿业财务费用_累计值,采矿业财务费用_上年同期累计值,采矿业财务费用_累计增长,煤炭开采和洗选业财务费用_累计值,煤炭开采和洗选业财务费用_上年同期累计值,煤炭开采和洗选业财务费用_累计增长,石油和天然气开采业财务费用_累计值,石油和天然气开采业财务费用_上年同期累计值,石油和天然气开采业财务费用_累计增长,黑色金属矿采选业财务费用_累计值,黑色金属矿采选业财务费用_上年同期累计值,黑色金属矿采选业财务费用_累计增长,有色金属矿采选业财务费用_累计值,有色金属矿采选业财务费用_上年同期累计值,有色金属矿采选业财务费用_累计增长,非金属矿采选业财务费用_累计值,非金属矿采选业财务费用_上年同期累计值,非金属矿采选业财务费用_累计增长,开采专业及辅助性活动财务费用_累计值,开采专业及辅助性活动财务费用_上年同期累计值,开采专业及辅助性活动财务费用_累计增长,其他采矿业财务费用_累计值,其他采矿业财务费用_上年同期累计值,其他采矿业财务费用_累计增长,制造业财务费用_累计值,制造业财务费用_上年同期累计值,制造业财务费用_累计增长,农副食品加工业财务费用_累计值,农副食品加工业财务费用_上年同期累计值,农副食品加工业财务费用_累计增长,食品制造业财务费用_累计值,食品制造业财务费用_上年同期累计值,食品制造业财务费用_累计增长,酒、饮料和精制茶制造业财务费用_累计值,酒、饮料和精制茶制造业财务费用_上年同期累计值,酒、饮料和精制茶制造业财务费用_累计增长,烟草制品业财务费用_累计值,烟草制品业财务费用_上年同期累计值,烟草制品业财务费用_累计增长,纺织业财务费用_累计值,纺织业财务费用_上年同期累计值,纺织业财务费用_累计增长,纺织服装、服饰业财务费用_累计值,纺织服装、服饰业财务费用_上年同期累计值,纺织服装、服饰业财务费用_累计增长,皮革、毛皮、羽毛及其制品和制鞋业财务费用_累计值,皮革、毛皮、羽毛及其制品和制鞋业财务费用_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业财务费用_累计增长,木材加工和木、竹、藤、棕、草制品业财务费用_累计值,木材加工和木、竹、藤、棕、草制品业财务费用_上年同期累计值,木材加工和木、竹、藤、棕、草制品业财务费用_累计增长,家具制造业财务费用_累计值,家具制造业财务费用_上年同期累计值,家具制造业财务费用_累计增长,造纸和纸制品业财务费用_累计值,造纸和纸制品业财务费用_上年同期累计值,造纸和纸制品业财务费用_累计增长,印刷和记录媒介复制业财务费用_累计值,印刷和记录媒介复制业财务费用_上年同期累计值,印刷和记录媒介复制业财务费用_累计增长,文教、工美、体育和娱乐用品制造业财务费用_累计值,文教、工美、体育和娱乐用品制造业财务费用_上年同期累计值,文教、工美、体育和娱乐用品制造业财务费用_累计增长,石油、煤炭及其他燃料加工业财务费用_累计值,石油、煤炭及其他燃料加工业财务费用_上年同期累计值,石油、煤炭及其他燃料加工业财务费用_累计增长,化学原料和化学制品制造业财务费用_累计值,化学原料和化学制品制造业财务费用_上年同期累计值,化学原料和化学制品制造业财务费用_累计增长,医药制造业财务费用_累计值,医药制造业财务费用_上年同期累计值,医药制造业财务费用_累计增长,化学纤维制造业财务费用_累计值,化学纤维制造业财务费用_上年同期累计值,化学纤维制造业财务费用_累计增长,橡胶和塑料制品业财务费用_累计值,橡胶和塑料制品业财务费用_上年同期累计值,橡胶和塑料制品业财务费用_累计增长,非金属矿物制品业财务费用_累计值,非金属矿物制品业财务费用_上年同期累计值,非金属矿物制品业财务费用_累计增长,黑色金属冶炼和压延加工业财务费用_累计值,黑色金属冶炼和压延加工业财务费用_上年同期累计值,黑色金属冶炼和压延加工业财务费用_累计增长,有色金属冶炼和压延加工业财务费用_累计值,有色金属冶炼和压延加工业财务费用_上年同期累计值,有色金属冶炼和压延加工业财务费用_累计增长,金属制品业财务费用_累计值,金属制品业财务费用_上年同期累计值,金属制品业财务费用_累计增长,通用设备制造业财务费用_累计值,通用设备制造业财务费用_上年同期累计值,通用设备制造业财务费用_累计增长,专用设备制造业财务费用_累计值,专用设备制造业财务费用_上年同期累计值,专用设备制造业财务费用_累计增长,汽车制造业财务费用_累计值,汽车制造业财务费用_上年同期累计值,汽车制造业财务费用_累计增长,铁路、船舶、航空航天和其他运输设备制造业财务费用_累计值,铁路、船舶、航空航天和其他运输设备制造业财务费用_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业财务费用_累计增长,电气机械和器材制造业财务费用_累计值,电气机械和器材制造业财务费用_上年同期累计值,电气机械和器材制造业财务费用_累计增长,计算机、通信和其他电子设备制造业财务费用_累计值,计算机、通信和其他电子设备制造业财务费用_上年同期累计值,计算机、通信和其他电子设备制造业财务费用_累计增长,仪器仪表制造业财务费用_累计值,仪器仪表制造业财务费用_上年同期累计值,仪器仪表制造业财务费用_累计增长,其他制造业财务费用_累计值,其他制造业财务费用_上年同期累计值,其他制造业财务费用_累计增长,废弃资源综合利用业财务费用_累计值,废弃资源综合利用业财务费用_上年同期累计值,废弃资源综合利用业财务费用_累计增长,金属制品、机械和设备修理业财务费用_累计值,金属制品、机械和设备修理业财务费用_上年同期累计值,金属制品、机械和设备修理业财务费用_累计增长,电力、热力、燃气及水生产和供应业财务费用_累计值,电力、热力、燃气及水生产和供应业财务费用_上年同期累计值,电力、热力、燃气及水生产和供应业财务费用_累计增长,电力、热力生产和供应业财务费用_累计值,电力、热力生产和供应业财务费用_上年同期累计值,电力、热力生产和供应业财务费用_累计增长,燃气生产和供应业财务费用_累计值,燃气生产和供应业财务费用_上年同期累计值,燃气生产和供应业财务费用_累计增长,水的生产和供应业财务费用_累计值,水的生产和供应业财务费用_上年同期累计值,水的生产和供应业财务费用_累计增长
2025年5月,3921.0,4010.9,-2.2,382.6,418.9,-8.7,209.2,238.7,-12.4,68.4,64.3,6.4,43.5,55.4,-21.5,25.1,26.3,-4.6,33.1,32.8,0.9,3.3,1.3,153.8,0.0,0.0,0.0,2201.9,2186.0,0.7,109.0,120.3,-9.4,30.4,30.8,-1.3,13.1,11.4,14.9,-10.2,-22.7,-55.1,79.2,82.9,-4.5,17.8,16.8,6.0,10.4,11.4,-8.8,21.4,21.7,-1.4,13.8,14.5,-4.8,69.9,68.3,2.3,15.3,14.2,7.7,19.7,23.3,-15.5,162.4,176.4,-7.9,332.4,336.3,-1.2,38.8,25.6,51.6,51.8,52.8,-1.9,63.9,65.3,-2.1,213.0,214.4,-0.7,190.1,200.0,-5.0,187.8,201.6,-6.8,93.2,101.1,-7.8,68.1,72.4,-5.9,65.5,68.5,-4.4,54.7,4.1,1234.1,5.4,7.6,-28.9,49.6,113.1,-56.1,188.3,105.6,78.3,9.3,9.0,3.3,3.2,2.3,39.1,26.8,28.3,-5.3,8.0,8.6,-7.0,1336.4,1406.0,-5.0,1180.1,1258.6,-6.2,50.8,45.1,12.6,105.5,102.3,3.1
2025年4月,3002.7,3213.7,-6.6,312.0,340.7,-8.4,173.2,196.7,-11.9,54.4,50.7,7.3,34.5,44.9,-23.2,20.5,20.9,-1.9,27.0,26.6,1.5,2.3,0.8,187.5,0.0,0.0,0.0,1611.9,1745.3,-7.6,88.5,97.0,-8.8,23.0,23.2,-0.9,8.8,7.1,23.9,-9.3,-20.6,-54.9,62.5,67.1,-6.9,13.6,13.6,0.0,7.5,9.3,-19.4,17.3,17.5,-1.1,10.0,11.8,-15.3,57.1,53.8,6.1,11.9,11.6,2.6,13.9,18.5,-24.9,130.2,141.8,-8.2,263.0,269.0,-2.2,22.9,16.8,36.3,40.5,41.8,-3.1,45.4,52.8,-14.0,170.9,172.1,-0.7,157.0,162.9,-3.6,149.1,154.4,-3.4,68.5,82.4,-16.9,48.0,58.1,-17.4,45.3,55.0,-17.6,39.5,24.7,59.9,-0.5,6.2,-108.1,-5.2,101.4,-105.1,97.8,58.0,68.6,4.9,6.7,-26.9,2.0,1.7,17.6,21.8,22.6,-3.5,6.0,6.9,-13.0,1078.8,1127.7,-4.3,951.1,1008.4,-5.7,41.2,35.8,15.1,86.5,83.4,3.7
2025年3月,2429.5,2441.2,-0.5,238.8,256.6,-6.9,134.6,149.4,-9.9,39.8,36.2,9.9,26.3,35.4,-25.7,15.1,14.8,2.0,20.8,19.9,4.5,2.1,0.8,162.5,0.0,0.0,0.0,1372.2,1331.8,3.0,68.1,72.7,-6.3,19.9,18.5,7.6,7.3,3.0,143.3,-8.5,-12.1,-29.8,49.3,51.2,-3.7,11.6,10.9,6.4,6.6,7.3,-9.6,13.4,13.3,0.8,8.2,9.4,-12.8,41.6,40.5,2.7,9.5,8.8,8.0,12.6,14.4,-12.5,97.7,107.2,-8.9,206.4,203.3,1.5,19.9,15.7,26.8,31.0,31.5,-1.6,39.6,40.7,-2.7,133.8,132.8,0.8,120.9,126.6,-4.5,114.7,113.0,1.5,58.0,63.1,-8.1,44.2,44.8,-1.3,43.5,42.8,1.6,31.5,23.0,37.0,5.4,5.8,-6.9,44.5,79.9,-44.3,112.8,34.6,226.0,5.9,5.4,9.3,2.0,1.5,33.3,16.5,17.2,-4.1,4.3,5.0,-14.0,818.5,852.9,-4.0,721.6,760.3,-5.1,29.8,27.2,9.6,67.1,65.4,2.6
2025年2月,1641.8,1587.0,3.5,151.4,153.7,-1.5,81.8,84.0,-2.6,30.0,30.3,-1.0,16.5,19.7,-16.2,9.4,8.8,6.8,11.5,10.5,9.5,2.2,0.6,266.7,0.0,0.0,0.0,971.1,889.7,9.1,43.1,44.7,-3.6,15.3,13.7,11.7,6.0,4.0,50.0,-2.4,-2.8,-14.3,30.9,32.0,-3.4,5.6,7.1,-21.1,4.3,4.6,-6.5,8.2,8.2,0.0,6.6,6.1,8.2,26.8,25.9,3.5,6.3,5.9,6.8,8.7,9.5,-8.4,63.4,68.2,-7.0,135.6,131.4,3.2,17.0,14.3,18.9,20.6,20.1,2.5,28.4,25.9,9.7,84.5,83.2,1.6,76.3,83.1,-8.2,64.3,70.9,-9.3,39.0,38.5,1.3,34.0,31.4,8.3,34.3,28.5,20.4,30.3,18.8,61.2,7.3,6.0,21.7,54.9,58.9,-6.8,100.4,32.3,210.8,6.1,4.7,29.8,1.4,0.9,55.6,10.4,10.4,0.0,3.3,3.2,3.1,519.2,543.7,-4.5,464.3,489.4,-5.1,18.3,18.7,-2.1,36.5,35.6,2.5
2024年9月,7730.2,7283.0,6.1,755.7,800.5,-5.6,451.7,485.4,-6.9,100.5,100.8,-0.3,91.8,104.1,-11.8,47.3,45.5,4.0,61.4,61.1,0.5,2.8,3.4,-17.6,0.0,0.0,0.0,4452.4,3891.3,14.4,220.6,229.6,-3.9,56.5,46.9,20.5,11.8,15.4,-23.4,-40.7,-42.0,-3.1,159.2,158.8,0.3,35.5,33.7,5.3,22.4,24.8,-9.7,40.2,38.8,3.6,28.6,29.8,-4.0,126.8,116.4,8.9,28.5,27.5,3.6,44.6,47.1,-5.3,307.2,296.1,3.7,611.7,571.4,7.1,61.3,32.8,86.9,97.0,89.7,8.1,132.1,122.7,7.7,410.6,386.2,6.3,369.6,378.8,-2.4,333.6,307.4,8.5,202.8,200.1,1.3,152.0,127.6,19.1,154.3,115.7,33.4,125.9,96.9,29.9,26.5,31.2,-15.1,250.6,159.7,56.9,384.6,162.0,137.4,23.1,16.7,38.3,6.1,5.1,19.6,53.6,49.2,8.9,15.5,15.2,2.0,2522.1,2591.2,-2.7,2239.4,2310.6,-3.1,90.4,90.8,-0.4,192.3,189.8,1.3
2024年8月,6519.3,6452.5,1.0,659.5,707.5,-6.8,384.8,426.6,-9.8,96.1,94.3,1.9,83.0,90.2,-8.0,42.3,41.0,3.2,52.1,52.0,0.2,1.2,3.4,-64.7,0.0,0.0,0.0,3634.5,3452.9,5.3,192.8,198.9,-3.1,47.3,43.5,8.7,14.0,18.1,-22.7,-35.8,-33.0,8.5,135.0,141.1,-4.3,27.8,30.6,-9.2,18.0,22.3,-19.3,34.5,33.9,1.8,22.8,26.6,-14.3,111.0,105.3,5.4,23.2,24.7,-6.1,34.8,41.5,-16.1,274.4,257.6,6.5,536.9,520.5,3.2,44.5,31.0,43.5,85.7,78.2,9.6,103.0,108.0,-4.6,353.4,339.6,4.1,326.3,334.9,-2.6,298.6,273.6,9.1,166.8,175.2,-4.8,114.5,108.0,6.0,115.9,96.8,19.7,95.1,97.7,-2.7,15.0,28.9,-48.1,154.8,104.3,48.4,246.1,169.8,44.9,13.6,13.3,2.3,4.1,4.8,-14.6,47.3,43.5,8.7,13.0,13.6,-4.4,2225.3,2292.0,-2.9,1985.2,2049.3,-3.1,78.2,79.8,-2.0,161.9,162.9,-0.6
2024年7月,5582.3,5713.2,-2.3,585.7,624.3,-6.2,345.7,380.1,-9.1,82.5,78.4,5.2,73.7,79.9,-7.8,37.1,36.1,2.8,45.6,46.9,-2.8,1.1,3.0,-63.3,0.0,0.0,0.0,3047.5,3077.6,-1.0,171.0,173.4,-1.4,40.6,38.2,6.3,10.1,14.7,-31.3,-34.5,-30.2,14.2,115.6,125.1,-7.6,22.8,27.6,-17.4,15.2,20.1,-24.4,30.3,30.1,0.7,19.0,24.9,-23.7,96.4,92.7,4.0,19.6,21.3,-8.0,28.9,36.9,-21.7,239.1,219.2,9.1,463.8,457.2,1.4,31.2,30.8,1.3,73.9,67.0,10.3,85.7,99.1,-13.5,307.9,302.9,1.7,291.3,296.4,-1.7,263.6,240.9,9.4,141.9,158.4,-10.4,92.2,100.4,-8.2,95.0,89.5,6.1,66.8,78.6,-15.0,7.5,27.2,-72.4,132.2,100.4,31.7,155.0,169.0,-8.3,9.4,12.1,-22.3,2.8,4.5,-37.8,42.2,37.0,14.1,11.1,11.9,-6.7,1949.1,2011.2,-3.1,1738.4,1797.2,-3.3,68.4,69.2,-1.2,142.3,144.9,-1.8
2024年6月,4784.4,4654.0,2.8,512.9,546.4,-6.1,306.1,339.5,-9.8,69.0,64.6,6.8,64.9,69.3,-6.3,32.3,31.2,3.5,39.7,40.5,-2.0,0.9,1.3,-30.8,0.0,0.0,0.0,2598.7,2380.6,9.2,147.9,147.6,0.2,35.8,30.4,17.8,8.3,13.1,-36.6,-29.7,-27.3,8.8,99.8,104.3,-4.3,20.0,21.9,-8.7,13.7,16.6,-17.5,26.3,25.6,2.7,16.7,18.6,-10.2,82.0,80.1,2.4,16.8,17.3,-2.9,26.6,29.6,-10.1,204.4,189.7,7.7,399.0,383.2,4.1,22.2,15.3,45.1,63.5,55.9,13.6,73.8,77.5,-4.8,262.5,256.1,2.5,247.8,258.6,-4.2,231.4,199.1,16.2,121.8,130.8,-6.9,79.7,73.6,8.3,82.1,60.7,35.3,46.4,50.0,-7.2,7.3,17.0,-57.1,129.8,35.7,263.6,105.7,50.2,110.6,8.4,4.8,75.0,2.3,3.1,-25.8,36.8,32.0,15.0,9.7,9.8,-1.0,1672.8,1727.0,-3.1,1490.2,1540.5,-3.3,58.4,60.6,-3.6,124.3,125.9,-1.3
2024年12月,9549.8,9774.3,-2.3,1012.0,1032.0,-1.9,601.0,617.1,-2.6,133.2,132.1,0.8,117.7,133.8,-12.0,66.0,62.3,5.9,83.5,80.9,3.2,10.5,5.8,81.0,0.0,0.1,-100.0,5192.4,5305.9,-2.1,292.5,309.6,-5.5,72.8,66.0,10.3,16.5,19.1,-13.6,-72.8,-89.0,-18.2,197.3,208.1,-5.2,38.8,47.0,-17.4,25.5,32.1,-20.6,55.1,54.3,1.5,33.8,42.1,-19.7,158.8,159.3,-0.3,34.1,35.8,-4.7,50.7,62.4,-18.8,381.0,389.2,-2.1,768.7,762.7,0.8,68.4,50.4,35.7,125.2,120.3,4.1,155.8,170.3,-8.5,544.8,531.7,2.5,451.6,482.1,-6.3,436.5,389.6,12.0,248.8,268.1,-7.2,174.2,184.2,-5.4,172.3,171.3,0.6,110.5,116.9,-5.5,14.6,41.7,-65.0,260.2,233.5,11.4,260.3,323.4,-19.5,19.2,26.9,-28.6,6.2,8.7,-28.7,71.7,66.2,8.3,19.4,21.6,-10.2,3345.4,3436.4,-2.6,2964.1,3059.7,-3.1,117.5,119.0,-1.3,263.9,257.6,2.4
2024年11月,8845.9,9037.3,-2.1,914.8,948.8,-3.6,539.9,562.2,-4.0,130.1,129.9,0.2,106.8,124.0,-13.9,59.6,54.9,8.6,75.1,72.3,3.9,3.3,5.6,-41.1,0.0,0.1,-100.0,4873.0,4956.6,-1.7,264.2,278.2,-5.0,66.3,59.0,12.4,17.9,22.2,-19.4,-57.6,-72.2,-20.2,183.4,191.6,-4.3,40.7,41.8,-2.6,25.1,30.1,-16.6,48.9,48.2,1.5,30.5,37.9,-19.5,147.5,146.4,0.8,32.2,32.3,-0.3,49.7,59.6,-16.6,370.1,359.0,3.1,721.4,715.4,0.8,63.0,53.5,17.8,115.6,111.5,3.7,145.3,158.2,-8.2,489.7,476.2,2.8,422.3,454.3,-7.0,399.1,367.6,8.6,230.3,245.6,-6.2,160.6,168.6,-4.7,158.2,156.3,1.2,129.1,137.3,-6.0,17.3,43.6,-60.3,230.9,218.6,5.6,265.2,302.3,-12.3,18.4,25.7,-28.4,6.1,7.8,-21.8,64.8,59.9,8.2,16.9,20.0,-15.5,3058.0,3132.0,-2.4,2715.3,2789.4,-2.7,111.4,110.9,0.5,231.4,231.7,-0.1
