时间,自来水生产和供应工业生产者出厂价格指数(上年同月=100),污水处理及其再生利用工业生产者出厂价格指数(上年同月=100),海水淡化处理工业生产者出厂价格指数(上年同月=100),其他水的处理、利用与分配工业生产者出厂价格指数(上年同月=100)
2025年6月,101.2,100.7,100.0,99.5
2025年5月,100.9,100.4,100.0,99.5
2025年4月,101.1,101.2,100.0,99.5
2025年3月,101.1,101.2,100.0,99.5
2025年2月,100.9,101.3,100.0,99.5
2025年1月,101.0,100.5,100.0,100.3
2024年9月,100.7,101.2,100.4,100.6
2024年8月,100.9,100.8,100.4,100.6
2024年7月,100.9,100.6,100.4,100.6
2024年6月,101.0,100.8,100.4,100.6
2024年12月,100.4,100.7,100.1,100.6
2024年11月,100.4,100.7,100.4,100.6
2024年10月,100.4,101.6,100.4,100.6
