时间,谷物磨制工业生产者出厂价格指数(上年同月=100),饲料加工工业生产者出厂价格指数(上年同月=100),植物油加工工业生产者出厂价格指数(上年同月=100),制糖业工业生产者出厂价格指数(上年同月=100),屠宰及肉类加工工业生产者出厂价格指数(上年同月=100),水产品加工工业生产者出厂价格指数(上年同月=100),蔬菜、菌类、水果和坚果加工工业生产者出厂价格指数(上年同月=100),其他农副食品加工工业生产者出厂价格指数(上年同月=100)
2025年6月,97.0,96.2,97.5,93.9,92.0,102.8,99.2,95.5
2025年5月,96.4,96.0,98.4,93.6,96.6,102.7,99.3,95.2
2025年4月,95.6,94.8,99.3,93.5,97.0,100.1,99.0,94.6
2025年3月,95.3,94.6,100.4,93.3,97.5,99.2,98.8,93.9
2025年2月,95.5,91.6,98.4,92.6,96.6,99.9,99.6,93.7
2025年1月,96.2,89.2,95.4,92.3,99.6,100.4,100.4,93.7
2024年9月,98.8,88.3,89.6,93.4,99.5,98.8,99.2,96.2
2024年8月,100.5,90.3,90.7,96.5,98.8,98.5,98.7,97.2
2024年7月,100.9,92.3,93.5,97.9,100.4,98.4,99.5,98.0
2024年6月,101.3,92.5,96.2,99.2,99.7,98.4,99.1,98.6
2024年12月,97.2,88.8,94.6,91.8,100.1,99.9,99.8,94.1
2024年11月,97.8,88.3,93.0,91.7,100.0,98.8,99.5,94.2
2024年10月,97.8,87.6,91.4,92.6,99.4,98.6,100.0,95.2
