时间,跨区域人员流动量_当期值,跨区域人员流动量_累计值,跨区域人员流动量_同比增长,跨区域人员流动量_累计增长,公路人员流动量_当期值,公路人员流动量_累计值,公路人员流动量_同比增长,公路人员流动量_累计增长
2025年5月,590025.316551,2863686.774949,7.9657187438,4.6694823061,540447.668551,2636161.133249,7.6597918881,4.4938083613
2025年4月,535179.281771,2273661.416398,3.4114640969,3.8467261276,488751.366071,2095713.464698,3.1840535009,3.7073308378
2025年3月,509443.248773,1738829.346227,1.8004402636,3.982021386,468046.206273,1607309.398627,1.5727727162,3.8681774005
2024年12月,487080.988221,6459234.026673,4.9831966613,5.3916701488,450298.029621,5929001.774473,5.0537092735,4.8339569385
2024年11月,479490.766209,5972153.739652,4.2368550679,5.4251373283,441795.409709,5478703.744852,3.8362925399,4.8159362386
2024年10月,583579.232141,5492662.974043,6.8954765401,5.5301573838,537430.328741,5036908.335143,6.9213976799,4.9027448841
2024年9月,512242.0,4909109.0,-0.8,5.4,470346.0,4499504.0,-1.4,4.7
2024年8月,597558.9276,4396867.140847,3.5,6.1,539214.1379,4029157.333947,2.8,5.4
2024年7月,558295.0,3799308.0,2.0,6.6,505976.0,3489943.0,1.8,5.8
2024年6月,504519.0,3241011.0,2.9,7.4,460617.0,2983967.0,2.3,6.6
2025年2月,,1229385.995254,4.9136811082,,,1139263.192354,4.8415521156,
