时间,冶金工业生产者出厂价格指数(上年同月=100),电力工业生产者出厂价格指数(上年同月=100),煤炭及炼焦工业生产者出厂价格指数(上年同月=100),石油工业生产者出厂价格指数(上年同月=100),化学工业生产者出厂价格指数(上年同月=100),机械工业生产者出厂价格指数(上年同月=100),建筑材料工业生产者出厂价格指数(上年同月=100),森林工业生产者出厂价格指数(上年同月=100),食品工业生产者出厂价格指数(上年同月=100),纺织工业生产者出厂价格指数(上年同月=100),缝纫工业生产者出厂价格指数(上年同月=100),皮革工业生产者出厂价格指数(上年同月=100),造纸工业生产者出厂价格指数(上年同月=100),文教艺术用品工业生产者出厂价格指数(上年同月=100),其它工业生产者出厂价格指数(上年同月=100)
2025年6月,95.1,98.7,76.2,91.0,95.4,98.0,95.6,97.9,97.9,97.3,99.9,100.3,96.6,99.2,103.5
2025年5月,96.1,98.5,79.5,88.9,95.9,97.9,97.4,98.1,98.4,97.2,99.9,100.3,96.4,98.8,103.4
2025年4月,98.3,98.5,83.3,91.4,96.8,97.9,97.7,98.4,98.1,97.2,100.0,99.8,96.3,98.9,103.3
2025年3月,98.6,98.2,82.6,95.5,97.2,97.9,96.7,98.6,98.2,97.5,99.7,99.8,96.6,98.7,103.1
2025年2月,98.3,99.2,84.3,98.1,97.3,98.2,96.8,98.8,97.6,97.8,99.9,99.8,97.5,98.9,102.9
2025年1月,98.1,98.5,86.5,97.4,97.0,98.1,97.5,98.8,97.5,98.1,100.2,99.6,97.4,99.0,101.9
2024年9月,96.9,97.8,94.1,93.0,97.0,97.8,95.3,100.0,97.2,98.5,99.9,99.3,97.4,98.7,101.0
2024年8月,99.1,97.8,97.4,98.3,98.8,98.0,95.2,100.2,97.7,99.0,99.8,99.1,97.7,99.0,101.3
2024年7月,102.2,98.1,100.6,104.3,99.5,98.1,94.7,100.1,98.4,99.3,99.7,99.1,97.4,98.8,101.3
2024年6月,103.2,98.0,98.9,104.2,99.0,98.1,93.3,100.0,98.8,99.3,100.2,99.7,96.8,98.8,101.2
2024年12月,99.0,99.3,88.4,94.6,96.7,97.9,97.6,99.3,97.5,98.3,100.0,99.8,96.9,99.2,101.7
2024年11月,99.5,99.1,91.2,90.7,96.5,97.8,97.2,99.7,97.4,98.1,100.0,99.4,95.9,99.0,101.2
2024年10月,99.3,98.2,91.4,88.8,96.2,97.6,95.9,100.0,97.2,98.3,99.7,99.3,96.2,98.8,101.4
