时间,交通工具居民消费价格指数(上年同期=100),交通工具用燃料居民消费价格指数(上年同期=100),交通工具使用和维修居民消费价格指数(上年同期=100),通信工具居民消费价格指数(上年同期=100),通信服务居民消费价格指数(上年同期=100),邮递服务居民消费价格指数(上年同期=100)
2025年6月,96.3,93.0,100.1,100.8,100.0,99.9
2025年5月,96.1,93.8,100.1,101.0,100.0,99.9
2025年4月,95.9,95.5,100.0,101.1,100.0,100.0
2025年3月,95.8,97.5,99.8,101.1,100.0,100.1
2025年2月,95.8,99.1,99.6,100.9,100.0,100.2
2024年12月,94.9,99.3,100.5,98.3,99.8,99.6
2024年11月,94.9,99.6,100.5,98.1,99.8,99.6
2024年10月,94.8,100.4,100.5,97.8,99.8,99.6
2024年9月,94.8,101.7,100.5,97.8,99.8,99.6
2024年8月,94.9,102.9,100.5,97.8,99.8,99.6
2024年7月,94.9,103.8,100.5,97.8,99.7,99.6
2024年6月,95.0,103.6,100.5,97.8,99.7,99.7
