时间,皮革鞣制加工工业生产者出厂价格指数(上年同月=100),皮革制品制造工业生产者出厂价格指数(上年同月=100),毛皮鞣制及制品加工工业生产者出厂价格指数(上年同月=100),羽毛(绒)加工及制品制造工业生产者出厂价格指数(上年同月=100),制鞋业工业生产者出厂价格指数(上年同月=100)
2025年6月,99.1,99.2,102.6,95.8,101.0
2025年5月,98.9,99.2,103.1,100.7,100.8
2025年4月,98.3,99.2,104.2,104.5,100.3
2025年3月,99.1,99.3,101.4,107.9,100.3
2025年2月,99.2,99.4,101.3,110.4,100.3
2025年1月,99.2,99.3,98.0,111.2,100.2
2024年12月,99.5,99.4,98.1,116.0,100.5
2024年11月,99.3,99.2,96.8,119.2,100.1
2024年10月,99.2,99.2,98.2,119.9,99.9
2024年9月,100.0,98.5,99.0,118.5,100.1
2024年8月,98.9,98.5,98.5,117.2,99.9
2024年7月,99.1,98.7,99.8,117.3,99.6
2024年6月,99.2,99.2,100.1,116.4,100.1
