时间,工业生产者出厂价格指数(上月=100),煤炭开采和洗选业工业生产者出厂价格指数(上月=100),石油和天然气开采业工业生产者出厂价格指数(上月=100),黑色金属矿采选业工业生产者出厂价格指数(上月=100),有色金属矿采选业工业生产者出厂价格指数(上月=100),非金属矿采选业工业生产者出厂价格指数(上月=100),开采专业及辅助性活动工业生产者出厂价格指数(上月=100),农副食品加工业工业生产者出厂价格指数(上月=100),食品制造业工业生产者出厂价格指数(上月=100),酒、饮料及精制茶制造业工业生产者出厂价格指数(上月=100),烟草制品业工业生产者出厂价格指数(上月=100),纺织业工业生产者出厂价格指数(上月=100),纺织服装、服饰业工业生产者出厂价格指数(上月=100),皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数(上月=100),木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数(上月=100),家具制造业工业生产者出厂价格指数(上月=100),造纸和纸制品业工业生产者出厂价格指数(上月=100),印刷和记录媒介复制业工业生产者出厂价格指数(上月=100),文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数(上月=100),石油、煤炭及其他燃料加工业工业生产者出厂价格指数(上月=100),化学原料和化学制品制造业工业生产者出厂价格指数(上月=100),医药制造业工业生产者出厂价格指数(上月=100),化学纤维制造业工业生产者出厂价格指数(上月=100),橡胶和塑料制品业工业生产者出厂价格指数(上月=100),非金属矿物制品业工业生产者出厂价格指数(上月=100),黑色金属冶炼和压延加工业工业生产者出厂价格指数(上月=100),有色金属冶炼和压延加工业工业生产者出厂价格指数(上月=100),金属制品业工业生产者出厂价格指数(上月=100),通用设备制造业工业生产者出厂价格指数(上月=100),专用设备制造业工业生产者出厂价格指数(上月=100),汽车制造业工业生产者出厂价格指数(上月=100),铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数(上月=100),电气机械和器材制造业工业生产者出厂价格指数(上月=100),计算机、通信和其他电子设备制造业工业生产者出厂价格指数(上月=100),仪器仪表制造业工业生产者出厂价格指数(上月=100),其他制造业工业生产者出厂价格指数(上月=100),废弃资源综合利用业工业生产者出厂价格指数(上月=100),金属制品、机械和设备修理业工业生产者出厂价格指数(上月=100),电力、热力生产和供应业工业生产者出厂价格指数(上月=100),燃气生产和供应业工业生产者出厂价格指数(上月=100),水的生产和供应业工业生产者出厂价格指数(上月=100)
2025年6月,99.6,96.6,102.6,98.0,101.3,99.3,98.9,99.5,99.8,99.9,100.0,99.8,100.0,99.9,100.0,100.0,99.6,100.0,100.9,99.4,99.3,99.9,100.1,99.7,98.6,98.2,100.2,99.7,99.8,99.9,100.2,99.9,99.8,99.6,100.3,100.3,99.4,100.1,99.1,99.3,100.3
2025年5月,99.6,97.0,94.4,99.1,100.8,99.6,100.3,100.0,99.7,100.1,100.0,99.8,100.2,100.0,99.5,100.0,99.4,99.7,100.9,96.9,98.8,99.5,98.7,99.7,99.0,99.0,99.9,99.9,99.8,100.0,100.0,100.0,99.8,100.1,100.2,100.1,99.5,99.7,100.5,99.0,100.0
2025年4月,99.6,96.7,96.9,99.1,101.5,100.1,99.1,99.6,100.1,100.1,100.2,99.7,100.4,100.0,99.7,99.8,99.0,99.7,101.7,97.4,99.4,99.7,98.0,99.6,100.0,99.0,100.3,99.8,99.8,100.0,99.5,100.1,99.9,99.8,100.2,100.1,99.7,101.1,99.7,98.8,100.0
2025年3月,99.6,95.7,95.6,100.1,100.4,99.7,100.6,99.9,100.2,99.9,100.0,100.0,99.7,100.0,99.6,100.0,98.9,100.0,100.5,97.7,100.2,99.6,99.4,99.9,99.5,99.5,100.5,99.7,99.9,99.9,99.6,99.9,99.9,99.3,100.1,99.8,99.6,99.7,99.6,99.8,100.2
2025年2月,99.9,96.7,100.3,100.9,101.8,100.0,99.7,99.9,99.5,100.2,100.1,99.8,99.7,100.0,100.1,100.1,99.9,99.8,101.1,100.9,100.0,99.8,100.1,99.8,99.1,99.8,100.3,99.8,99.7,100.0,99.9,100.0,99.9,100.0,99.8,100.2,100.4,99.9,99.5,100.1,99.8
2025年1月,99.8,97.8,104.5,99.6,100.4,100.1,100.0,99.5,100.0,99.9,100.1,99.6,99.6,99.7,99.4,99.9,100.2,99.5,100.3,101.0,99.8,99.6,99.6,99.9,99.4,99.1,99.6,99.8,99.8,99.6,100.5,100.0,99.8,99.7,99.8,99.6,99.1,100.3,99.9,100.6,100.4
2024年9月,99.4,98.7,96.8,95.8,100.6,100.2,100.0,99.7,99.8,99.6,100.0,99.7,100.2,100.4,99.7,99.8,99.5,99.7,100.4,96.3,99.0,99.7,98.3,99.8,99.2,96.7,99.6,99.4,100.0,99.7,99.8,99.8,99.7,99.9,100.0,99.9,99.0,100.7,100.1,100.6,100.1
2024年8月,99.3,98.8,95.7,98.0,100.1,100.4,100.0,99.9,99.9,100.0,100.0,99.8,100.0,99.9,99.9,100.0,99.7,100.1,99.8,98.0,99.1,100.0,99.8,99.7,99.3,95.6,97.7,99.4,100.0,100.1,99.8,100.0,99.5,99.8,99.3,100.0,95.5,100.4,100.0,100.1,100.1
2024年7月,99.8,100.0,103.0,99.2,101.6,100.0,99.9,99.7,99.9,99.8,100.0,99.9,100.1,100.1,99.9,100.0,99.5,100.0,100.3,100.5,99.7,100.1,100.6,99.9,99.4,98.3,99.6,99.9,99.9,99.9,100.2,100.2,99.9,99.7,100.0,100.3,98.8,99.9,99.5,99.9,100.0
2024年6月,99.8,101.1,97.1,100.0,103.8,100.0,100.2,100.5,99.9,99.9,100.0,99.8,99.9,100.1,100.2,100.1,99.4,99.9,100.6,98.0,100.2,99.8,100.3,100.0,100.2,99.4,101.6,100.0,99.9,99.8,99.3,100.1,99.9,99.7,99.9,99.8,100.3,100.2,99.0,99.2,99.9
2024年12月,99.9,98.1,100.1,100.6,100.5,100.0,99.7,99.6,100.2,99.9,100.0,99.7,100.0,100.0,99.7,99.9,100.9,100.1,100.7,100.2,99.6,99.9,98.6,99.9,100.6,99.4,100.0,99.8,99.9,99.8,99.5,100.1,99.9,100.0,100.3,100.1,99.6,100.7,100.9,101.2,100.1
2024年11月,100.1,99.6,99.6,100.3,101.4,99.7,100.0,99.6,100.0,100.0,100.0,99.8,100.0,100.1,99.4,99.9,100.0,99.8,100.3,100.0,99.7,100.1,99.2,100.1,101.2,100.2,101.2,100.3,100.0,100.0,99.9,99.9,99.7,100.2,99.9,99.9,100.6,100.2,100.3,100.7,100.0
