时间,工业生产者出厂价格指数(上年同月=100),煤炭开采和洗选业工业生产者出厂价格指数(上年同月=100),石油和天然气开采业工业生产者出厂价格指数(上年同月=100),黑色金属矿采选业工业生产者出厂价格指数(上年同月=100),有色金属矿采选业工业生产者出厂价格指数(上年同月=100),非金属矿采选业工业生产者出厂价格指数(上年同月=100),开采专业及辅助性活动工业生产者出厂价格指数(上年同月=100),农副食品加工业工业生产者出厂价格指数(上年同月=100),食品制造业工业生产者出厂价格指数(上年同月=100),酒、饮料及精制茶制造业工业生产者出厂价格指数(上年同月=100),烟草制品业工业生产者出厂价格指数(上年同月=100),纺织业工业生产者出厂价格指数(上年同月=100),纺织服装、服饰业工业生产者出厂价格指数(上年同月=100),皮革、毛皮、羽毛及其制品和制鞋业工业生产者出厂价格指数(上年同月=100),木材加工和木、竹、藤、棕、草制品业工业生产者出厂价格指数(上年同月=100),家具制造业工业生产者出厂价格指数(上年同月=100),造纸和纸制品业工业生产者出厂价格指数(上年同月=100),印刷和记录媒介复制业工业生产者出厂价格指数(上年同月=100),文教、工美、体育和娱乐用品制造业工业生产者出厂价格指数(上年同月=100),石油、煤炭及其他燃料加工业工业生产者出厂价格指数(上年同月=100),化学原料和化学制品制造业工业生产者出厂价格指数(上年同月=100),医药制造业工业生产者出厂价格指数(上年同月=100),化学纤维制造业工业生产者出厂价格指数(上年同月=100),橡胶和塑料制品业工业生产者出厂价格指数(上年同月=100),非金属矿物制品业工业生产者出厂价格指数(上年同月=100),黑色金属冶炼和压延加工业工业生产者出厂价格指数(上年同月=100),有色金属冶炼和压延加工业工业生产者出厂价格指数(上年同月=100),金属制品业工业生产者出厂价格指数(上年同月=100),通用设备制造业工业生产者出厂价格指数(上年同月=100),专用设备制造业工业生产者出厂价格指数(上年同月=100),汽车制造业工业生产者出厂价格指数(上年同月=100),铁路、船舶、航空航天和其他运输设备制造业工业生产者出厂价格指数(上年同月=100),电气机械和器材制造业工业生产者出厂价格指数(上年同月=100),计算机、通信和其他电子设备制造业工业生产者出厂价格指数(上年同月=100),仪器仪表制造业工业生产者出厂价格指数(上年同月=100),其他制造业工业生产者出厂价格指数(上年同月=100),废弃资源综合利用业工业生产者出厂价格指数(上年同月=100),金属制品、机械和设备修理业工业生产者出厂价格指数(上年同月=100),电力、热力生产和供应业工业生产者出厂价格指数(上年同月=100),燃气生产和供应业工业生产者出厂价格指数(上年同月=100),水的生产和供应业工业生产者出厂价格指数(上年同月=100)
2025年6月,96.4,78.2,87.4,91.2,112.0,98.7,98.2,96.3,98.9,99.4,100.4,97.5,99.9,100.2,96.8,99.6,96.6,98.6,108.3,86.5,93.9,98.1,92.3,97.8,95.7,88.7,100.9,97.4,98.5,98.7,97.8,99.9,97.6,97.7,99.4,100.2,92.8,103.0,98.7,100.0,101.1
2025年5月,96.7,81.8,82.7,93.0,114.8,99.4,99.5,97.2,99.0,99.4,100.4,97.4,99.8,100.4,97.0,99.7,96.4,98.4,107.9,85.3,94.7,98.0,92.5,98.2,97.3,89.8,102.3,97.7,98.7,98.7,96.9,100.0,97.8,97.8,99.1,99.7,93.6,103.1,98.5,99.9,100.7
2025年4月,97.3,84.8,85.8,93.7,119.0,99.9,98.9,96.8,99.1,99.2,100.4,97.5,99.8,100.3,97.3,99.9,96.3,98.6,107.6,88.9,95.9,98.4,93.5,98.2,97.6,91.4,106.4,97.7,98.7,98.7,96.7,100.1,98.7,97.6,98.9,99.5,96.3,103.5,98.5,99.5,101.1
2025年3月,97.5,85.1,91.5,89.1,121.2,99.6,99.8,96.8,98.9,99.1,100.6,97.7,99.5,100.5,97.6,100.1,96.6,98.4,107.6,92.2,96.4,98.7,95.3,98.5,96.6,90.0,109.4,97.7,98.6,98.6,96.6,100.0,98.7,97.6,99.0,99.7,96.5,102.5,98.2,99.4,101.1
2025年2月,97.8,87.5,96.7,86.8,121.2,99.8,98.2,95.8,98.3,99.0,100.6,97.9,99.8,100.7,97.9,100.0,97.5,98.4,107.8,94.5,96.4,99.0,96.0,98.6,96.5,89.4,109.5,97.9,98.7,98.8,96.9,100.4,98.8,98.2,98.8,99.6,96.2,102.6,99.2,98.5,101.0
2025年1月,97.7,89.9,98.7,86.3,118.9,99.8,98.6,95.7,98.2,98.9,100.5,98.3,100.1,100.5,98.0,99.8,97.4,98.5,106.7,93.8,96.0,98.9,96.6,98.6,97.0,89.3,109.3,98.0,98.8,98.4,96.9,100.2,98.4,98.2,99.0,99.2,96.0,103.2,98.5,97.6,100.8
2024年12月,97.7,92.0,93.8,88.6,119.1,99.7,98.4,95.7,98.4,98.8,100.3,98.3,100.1,101.0,98.5,99.8,96.9,98.9,106.4,91.3,95.2,99.5,97.0,98.4,97.0,90.5,110.0,98.2,99.0,98.8,96.2,100.1,97.9,98.1,98.7,99.9,97.6,103.1,99.3,98.3,100.5
2024年11月,97.5,93.7,87.5,90.9,118.5,99.5,98.9,95.3,98.2,98.9,100.2,98.1,100.1,100.8,99.1,99.9,95.9,98.6,106.0,88.4,95.0,99.1,97.9,98.2,96.6,91.8,109.7,98.2,98.9,98.8,96.9,100.2,97.6,97.5,98.3,99.7,98.6,101.9,99.1,99.4,100.5
2024年10月,97.1301,94.4,85.4,92.3,116.3,100.1,98.8,95.0,98.2,99.1,100.2,98.2,99.9,100.8,99.5,100.1,96.2,98.6,105.8,86.1,94.4,98.9,97.5,98.1,95.3,92.5,108.3,97.8,99.0,98.8,96.9,100.2,97.3,97.1,98.3,99.9,97.3,101.8,98.2,100.1,100.7
2024年9月,97.2,97.4,89.9,93.5,115.9,101.2,98.8,95.1,98.4,98.8,100.2,98.5,100.0,100.8,99.6,100.1,97.4,98.3,104.6,90.6,95.9,98.8,98.0,98.3,94.9,88.9,105.9,97.9,99.0,99.0,97.7,100.5,96.9,97.2,98.7,100.4,95.0,101.7,97.8,100.4,100.8
