时间,棉纺织及印染精加工工业生产者出厂价格指数(上年同月=100),毛纺织及染整精加工工业生产者出厂价格指数(上年同月=100),麻纺织及染整精加工工业生产者出厂价格指数(上年同月=100),丝绢纺织及印染精加工工业生产者出厂价格指数(上年同月=100),化纤织造及印染精加工工业生产者出厂价格指数(上年同月=100),针织或钩针编织物及其制品制造工业生产者出厂价格指数(上年同月=100),家用纺织制成品制造工业生产者出厂价格指数(上年同月=100),产业用纺织制成品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,96.7,101.3,97.0,99.7,96.3,99.5,98.1,97.6
2025年5月,96.6,101.6,96.0,98.9,96.4,99.8,98.2,97.7
2025年4月,96.6,101.1,100.3,98.8,96.8,100.0,98.3,97.3
2025年3月,97.0,101.0,98.3,100.2,96.8,100.0,98.6,97.3
2025年2月,97.3,100.7,101.6,101.5,97.6,99.6,98.5,97.3
2025年1月,97.8,100.4,106.0,101.8,98.2,99.6,98.2,97.5
2024年9月,97.9,100.0,123.9,105.2,98.9,98.1,98.7,97.1
2024年8月,98.3,99.4,126.5,107.0,99.0,98.2,99.5,97.6
2024年7月,98.9,98.2,125.2,108.2,99.3,98.4,98.9,97.4
2024年6月,99.2,96.5,124.0,108.3,99.4,99.0,99.1,96.8
2024年12月,98.1,100.4,112.2,101.7,98.2,98.3,98.0,96.7
2024年11月,97.9,99.4,119.4,102.5,97.9,98.0,97.7,96.5
2024年10月,97.8,100.6,123.2,104.1,97.9,97.4,97.8,96.7
