时间,网上零售额_累计值,网上零售额_累计增长,实物商品网上零售额_累计值,实物商品网上零售额_累计增长,吃类实物商品网上零售额_累计增长,穿类实物商品网上零售额_累计增长,用类实物商品网上零售额_累计增长
2025年5月,60401.5,8.5,49878.0,6.3,14.5,1.2,6.1
2025年4月,47418.9,7.7,39265.4,5.8,14.6,0.5,5.5
2025年3月,36242.2,7.9,29948.2,5.7,14.0,-0.1,5.6
2025年2月,22762.6,7.3,18632.6,5.0,10.8,-0.6,5.4
2024年12月,155224.9,7.2,130815.7,6.5,16.0,1.5,6.3
2024年11月,140308.4,7.4,118058.8,6.8,16.2,2.8,6.3
2024年10月,123632.0,8.8,103330.4,8.3,17.7,4.7,7.7
2024年9月,108927.9,8.6,90721.1,7.9,17.8,4.1,7.2
2024年8月,96352.4,8.9,80142.6,8.1,19.1,5.0,7.0
2024年7月,83784.0,9.5,70093.0,8.7,19.7,6.3,7.5
2024年6月,70991.4,9.8,59595.9,8.8,17.8,7.0,7.8
