时间,工业企业投资收益_累计值,工业企业投资收益_上年同期累计值,工业企业投资收益_累计增长,采矿业投资收益_累计值,采矿业投资收益_上年同期累计值,采矿业投资收益_累计增长,煤炭开采和洗选业投资收益_累计值,煤炭开采和洗选业投资收益_上年同期累计值,煤炭开采和洗选业投资收益_累计增长,石油和天然气开采业投资收益_累计值,石油和天然气开采业投资收益_上年同期累计值,石油和天然气开采业投资收益_累计增长,黑色金属矿采选业投资收益_累计值,黑色金属矿采选业投资收益_上年同期累计值,黑色金属矿采选业投资收益_累计增长,有色金属矿采选业投资收益_累计值,有色金属矿采选业投资收益_上年同期累计值,有色金属矿采选业投资收益_累计增长,非金属矿采选业投资收益_累计值,非金属矿采选业投资收益_上年同期累计值,非金属矿采选业投资收益_累计增长,开采专业及辅助性活动投资收益_累计值,开采专业及辅助性活动投资收益_上年同期累计值,开采专业及辅助性活动投资收益_累计增长,其他采矿业投资收益_累计值,其他采矿业投资收益_上年同期累计值,其他采矿业投资收益_累计增长,制造业投资收益_累计值,制造业投资收益_上年同期累计值,制造业投资收益_累计增长,农副食品加工业投资收益_累计值,农副食品加工业投资收益_上年同期累计值,农副食品加工业投资收益_累计增长,食品制造业投资收益_累计值,食品制造业投资收益_上年同期累计值,食品制造业投资收益_累计增长,酒、饮料和精制茶制造业投资收益_累计值,酒、饮料和精制茶制造业投资收益_上年同期累计值,酒、饮料和精制茶制造业投资收益_累计增长,烟草制品业投资收益_累计值,烟草制品业投资收益_上年同期累计值,烟草制品业投资收益_累计增长,纺织业投资收益_累计值,纺织业投资收益_上年同期累计值,纺织业投资收益_累计增长,纺织服装、服饰业投资收益_累计值,纺织服装、服饰业投资收益_上年同期累计值,纺织服装、服饰业投资收益_累计增长,皮革、毛皮、羽毛及其制品和制鞋业投资收益_累计值,皮革、毛皮、羽毛及其制品和制鞋业投资收益_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业投资收益_累计增长,木材加工和木、竹、藤、棕、草制品业投资收益_累计值,木材加工和木、竹、藤、棕、草制品业投资收益_上年同期累计值,木材加工和木、竹、藤、棕、草制品业投资收益_累计增长,家具制造业投资收益_累计值,家具制造业投资收益_上年同期累计值,家具制造业投资收益_累计增长,造纸和纸制品业投资收益_累计值,造纸和纸制品业投资收益_上年同期累计值,造纸和纸制品业投资收益_累计增长,印刷和记录媒介复制业投资收益_累计值,印刷和记录媒介复制业投资收益_上年同期累计值,印刷和记录媒介复制业投资收益_累计增长,文教、工美、体育和娱乐用品制造业投资收益_累计值,文教、工美、体育和娱乐用品制造业投资收益_上年同期累计值,文教、工美、体育和娱乐用品制造业投资收益_累计增长,石油、煤炭及其他燃料加工业投资收益_累计值,石油、煤炭及其他燃料加工业投资收益_上年同期累计值,石油、煤炭及其他燃料加工业投资收益_累计增长,化学原料和化学制品制造业投资收益_累计值,化学原料和化学制品制造业投资收益_上年同期累计值,化学原料和化学制品制造业投资收益_累计增长,医药制造业投资收益_累计值,医药制造业投资收益_上年同期累计值,医药制造业投资收益_累计增长,化学纤维制造业投资收益_累计值,化学纤维制造业投资收益_上年同期累计值,化学纤维制造业投资收益_累计增长,橡胶和塑料制品业投资收益_累计值,橡胶和塑料制品业投资收益_上年同期累计值,橡胶和塑料制品业投资收益_累计增长,非金属矿物制品业投资收益_累计值,非金属矿物制品业投资收益_上年同期累计值,非金属矿物制品业投资收益_累计增长,黑色金属冶炼和压延加工业投资收益_累计值,黑色金属冶炼和压延加工业投资收益_上年同期累计值,黑色金属冶炼和压延加工业投资收益_累计增长,有色金属冶炼和压延加工业投资收益_累计值,有色金属冶炼和压延加工业投资收益_上年同期累计值,有色金属冶炼和压延加工业投资收益_累计增长,金属制品业投资收益_累计值,金属制品业投资收益_上年同期累计值,金属制品业投资收益_累计增长,通用设备制造业投资收益_累计值,通用设备制造业投资收益_上年同期累计值,通用设备制造业投资收益_累计增长,专用设备制造业投资收益_累计值,专用设备制造业投资收益_上年同期累计值,专用设备制造业投资收益_累计增长,汽车制造业投资收益_累计值,汽车制造业投资收益_上年同期累计值,汽车制造业投资收益_累计增长,铁路、船舶、航空航天和其他运输设备制造业投资收益_累计值,铁路、船舶、航空航天和其他运输设备制造业投资收益_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业投资收益_累计增长,电气机械和器材制造业投资收益_累计值,电气机械和器材制造业投资收益_上年同期累计值,电气机械和器材制造业投资收益_累计增长,计算机、通信和其他电子设备制造业投资收益_累计值,计算机、通信和其他电子设备制造业投资收益_上年同期累计值,计算机、通信和其他电子设备制造业投资收益_累计增长,仪器仪表制造业投资收益_累计值,仪器仪表制造业投资收益_上年同期累计值,仪器仪表制造业投资收益_累计增长,其他制造业投资收益_累计值,其他制造业投资收益_上年同期累计值,其他制造业投资收益_累计增长,废弃资源综合利用业投资收益_累计值,废弃资源综合利用业投资收益_上年同期累计值,废弃资源综合利用业投资收益_累计增长,金属制品、机械和设备修理业投资收益_累计值,金属制品、机械和设备修理业投资收益_上年同期累计值,金属制品、机械和设备修理业投资收益_累计增长,电力、热力、燃气及水生产和供应业投资收益_累计值,电力、热力、燃气及水生产和供应业投资收益_上年同期累计值,电力、热力、燃气及水生产和供应业投资收益_累计增长,电力、热力生产和供应业投资收益_累计值,电力、热力生产和供应业投资收益_上年同期累计值,电力、热力生产和供应业投资收益_累计增长,燃气生产和供应业投资收益_累计值,燃气生产和供应业投资收益_上年同期累计值,燃气生产和供应业投资收益_累计增长,水的生产和供应业投资收益_累计值,水的生产和供应业投资收益_上年同期累计值,水的生产和供应业投资收益_累计增长
2025年5月,2872.0,3289.0,-12.7,248.1,425.9,-41.7,205.2,324.5,-36.8,10.5,15.2,-30.9,15.8,56.1,-71.8,13.2,22.2,-40.5,0.6,6.4,-90.6,2.6,1.5,73.3,0.0,0.0,0.0,2192.7,2335.5,-6.1,29.4,32.6,-9.8,77.9,101.0,-22.9,65.8,44.0,49.5,27.2,5.2,423.1,15.6,12.4,25.8,8.9,11.0,-19.1,3.1,0.6,416.7,0.9,0.6,50.0,4.9,23.1,-78.8,11.2,14.9,-24.8,10.6,14.0,-24.3,-2.7,10.0,-127.0,13.1,33.3,-60.7,213.3,229.4,-7.0,149.4,132.9,12.4,7.3,14.7,-50.3,54.9,46.0,19.3,33.2,57.8,-42.6,73.5,143.8,-48.9,137.0,54.2,152.8,22.9,16.5,38.8,94.9,94.9,0.0,95.6,70.8,35.0,290.7,438.3,-33.7,51.4,24.7,108.1,279.1,345.0,-19.1,355.3,307.4,15.6,46.2,47.4,-2.5,5.2,1.8,188.9,8.3,-2.7,-407.4,8.5,9.9,-14.1,431.2,527.6,-18.3,378.7,465.3,-18.6,40.2,46.6,-13.7,12.2,15.7,-22.3
2025年4月,1852.7,2178.5,-15.0,158.0,324.8,-51.4,133.7,266.3,-49.8,3.7,10.3,-64.1,7.2,21.7,-66.8,10.0,19.6,-49.0,0.6,5.6,-89.3,2.8,1.3,115.4,0.0,0.0,0.0,1333.2,1409.5,-5.4,15.8,29.1,-45.7,64.0,78.8,-18.8,37.5,27.5,36.4,26.7,4.8,456.3,11.8,9.2,28.3,5.2,7.3,-28.8,2.3,0.3,666.7,0.8,-0.2,-500.0,2.7,22.0,-87.7,10.0,13.0,-23.1,8.8,10.4,-15.4,-5.3,4.0,-232.5,11.1,22.3,-50.2,128.9,157.2,-18.0,103.5,70.8,46.2,5.1,13.1,-61.1,27.5,20.2,36.1,24.9,36.3,-31.4,33.7,81.7,-58.8,76.3,15.4,395.5,11.2,7.4,51.4,64.8,75.5,-14.2,70.0,36.3,92.8,129.4,180.1,-28.2,41.4,17.3,139.3,171.4,240.5,-28.7,199.9,202.8,-1.4,39.4,17.8,121.3,0.4,0.9,-55.6,6.8,0.9,655.6,7.0,6.4,9.4,361.5,444.2,-18.6,326.0,405.8,-19.7,28.0,30.5,-8.2,7.5,7.9,-5.1
2025年3月,1217.3,1609.9,-24.4,88.0,230.2,-61.8,69.1,203.0,-66.0,2.2,3.0,-26.7,4.7,16.6,-71.7,9.1,0.9,911.1,0.3,5.5,-94.5,2.6,1.2,116.7,0.0,0.0,0.0,875.9,1035.1,-15.4,4.2,26.1,-83.9,59.0,68.4,-13.7,18.4,10.6,73.6,10.9,2.8,289.3,8.9,6.2,43.5,4.5,5.2,-13.5,1.8,-0.1,-1900.0,0.5,-0.4,-225.0,1.7,18.8,-91.0,8.2,12.2,-32.8,3.2,8.8,-63.6,-3.8,-0.3,1166.7,6.3,14.1,-55.3,77.3,98.6,-21.6,85.6,44.0,94.5,5.2,10.2,-49.0,10.5,6.5,61.5,17.4,19.9,-12.6,32.0,60.3,-46.9,56.5,27.8,103.2,5.4,5.8,-6.9,41.5,56.7,-26.8,57.6,26.0,121.5,96.5,139.6,-30.9,21.7,10.2,112.7,78.3,180.6,-56.6,143.5,164.5,-12.8,12.3,6.2,98.4,0.3,0.2,50.0,5.1,0.6,750.0,5.5,4.9,12.2,253.4,344.6,-26.5,232.6,317.1,-26.6,16.1,21.1,-23.7,4.7,6.4,-26.6
2025年2月,627.6,782.4,-19.8,66.3,61.6,7.6,41.6,33.0,26.1,2.3,2.2,4.5,11.8,20.2,-41.6,7.9,0.6,1216.7,0.7,4.9,-85.7,2.0,0.7,185.7,0.0,0.0,0.0,402.7,566.5,-28.9,2.0,5.7,-64.9,15.3,5.1,200.0,8.4,3.5,140.0,9.1,0.0,0.0,4.9,4.5,8.9,2.3,3.2,-28.1,0.6,0.0,0.0,0.2,0.0,0.0,0.9,16.8,-94.6,2.5,1.6,56.3,0.5,3.9,-87.2,-2.0,4.6,-143.5,4.0,9.3,-57.0,32.1,52.9,-39.3,62.5,25.0,150.0,2.5,2.8,-10.7,7.3,3.7,97.3,9.8,6.5,50.8,14.6,37.0,-60.5,15.8,18.6,-15.1,4.9,3.5,40.0,19.1,35.5,-46.2,22.5,17.0,32.4,52.4,74.5,-29.7,16.9,-2.1,-904.8,22.5,139.8,-83.9,61.6,87.8,-29.8,4.9,1.6,206.2,0.2,0.1,100.0,2.0,0.6,233.3,2.3,3.3,-30.3,158.6,154.3,2.8,149.4,136.3,9.6,7.6,14.0,-45.7,1.6,4.0,-60.0
2024年9月,7163.5,6727.5,6.5,914.1,819.5,11.5,690.9,660.8,4.6,18.0,22.4,-19.6,132.9,94.8,40.2,42.0,29.5,42.4,19.0,9.3,104.3,11.3,2.7,318.5,0.0,0.0,0.0,5257.6,5061.4,3.9,128.3,93.9,36.6,147.7,117.1,26.1,256.3,554.7,-53.8,45.1,36.6,23.2,26.5,28.5,-7.0,65.2,72.9,-10.6,58.6,57.8,1.4,2.5,3.8,-34.2,61.5,35.4,73.7,45.4,41.2,10.2,-11.1,17.0,-165.3,18.5,14.7,25.9,67.1,95.5,-29.7,474.0,581.1,-18.4,289.0,264.9,9.1,11.2,13.3,-15.8,108.9,86.6,25.8,169.4,137.1,23.6,237.9,336.9,-29.4,174.0,131.2,32.6,75.0,69.7,7.6,232.7,168.5,38.1,174.5,235.9,-26.0,664.0,639.6,3.8,52.5,48.1,9.1,625.1,406.8,53.7,913.4,631.0,44.8,108.5,110.8,-2.1,9.3,4.7,97.9,4.8,5.4,-11.1,21.8,20.7,5.3,991.9,846.6,17.2,837.1,696.9,20.1,106.4,110.0,-3.3,48.4,39.7,21.9
2024年8月,6432.1,5571.4,15.4,831.0,689.2,20.6,636.9,544.7,16.9,17.6,19.8,-11.1,108.0,85.0,27.1,39.3,28.6,37.4,17.9,8.5,110.6,11.2,2.6,330.8,0.0,0.0,0.0,4699.2,4186.4,12.2,115.1,94.1,22.3,139.4,109.4,27.4,235.4,156.3,50.6,40.4,34.7,16.4,22.6,23.5,-3.8,58.9,72.3,-18.5,58.6,57.5,1.9,1.8,4.2,-57.1,46.6,34.2,36.3,39.5,32.0,23.4,17.5,16.5,6.1,19.8,12.5,58.4,62.4,86.8,-28.1,372.9,550.6,-32.3,255.0,242.8,5.0,11.6,12.0,-3.3,97.2,57.0,70.5,152.8,122.5,24.7,278.0,311.4,-10.7,148.0,122.0,21.3,60.4,63.9,-5.5,213.3,144.7,47.4,142.3,211.4,-32.7,631.1,597.3,5.7,50.8,44.1,15.2,512.4,360.7,42.1,784.3,493.4,59.0,99.9,89.9,11.1,9.1,2.5,264.0,3.6,8.1,-55.6,18.1,17.7,2.3,902.0,695.8,29.6,763.2,573.5,33.1,93.1,88.0,5.8,45.7,34.2,33.6
2024年7月,5691.5,4881.4,16.6,776.5,634.2,22.4,614.1,520.8,17.9,14.7,17.2,-14.5,100.6,61.4,63.8,26.9,24.1,11.6,10.2,7.1,43.7,9.9,3.5,182.9,0.0,0.0,0.0,4076.3,3616.0,12.7,85.9,102.3,-16.0,128.8,99.1,30.0,225.7,117.7,91.8,35.3,30.5,15.7,18.5,21.6,-14.4,53.8,64.8,-17.0,1.7,8.2,-79.3,1.2,3.9,-69.2,42.1,31.8,32.4,39.6,28.4,39.4,15.7,13.8,13.8,15.0,8.6,74.4,44.1,81.4,-45.8,332.0,531.0,-37.5,217.7,225.9,-3.6,10.4,12.2,-14.8,83.1,56.9,46.0,139.8,81.4,71.7,261.4,260.2,0.5,138.3,113.0,22.4,31.6,50.4,-37.3,197.5,128.3,53.9,133.4,146.2,-8.8,638.1,583.7,9.3,48.2,40.1,20.2,498.4,287.1,73.6,527.2,386.6,36.4,90.3,77.8,16.1,8.9,2.6,242.3,-1.0,5.6,-117.9,13.9,15.0,-7.3,838.7,631.1,32.9,717.3,522.3,37.3,79.2,76.1,4.1,42.3,32.8,29.0
2024年6月,4916.1,4354.8,12.9,637.8,552.0,15.5,490.9,447.8,9.6,12.6,16.0,-21.3,94.1,54.5,72.7,25.2,23.5,7.2,9.0,6.7,34.3,6.2,3.4,82.4,0.0,0.0,0.0,3575.4,3249.0,10.0,69.6,107.3,-35.1,118.5,81.7,45.0,171.4,110.4,55.3,13.0,11.3,15.0,17.7,20.0,-11.5,49.4,60.5,-18.3,1.4,7.9,-82.3,1.3,3.8,-65.8,26.1,30.2,-13.6,20.6,27.7,-25.6,13.1,11.3,15.9,14.7,8.0,83.8,45.0,73.2,-38.5,309.6,489.2,-36.7,197.4,212.6,-7.1,14.0,11.3,23.9,59.7,54.6,9.3,123.9,76.1,62.8,242.2,235.3,2.9,109.2,106.3,2.7,23.3,30.2,-22.8,166.0,113.6,46.1,115.5,129.7,-10.9,570.0,529.6,7.6,44.6,36.4,22.5,444.5,251.3,76.9,491.9,334.4,47.1,82.8,65.9,25.6,7.9,1.6,393.7,-1.9,5.0,-138.0,12.9,12.6,2.4,702.9,553.7,26.9,602.4,461.4,30.6,66.2,65.5,1.1,34.4,26.9,27.9
2024年12月,10642.1,10198.4,4.4,1445.7,1142.6,26.5,1023.6,887.6,15.3,173.0,49.1,252.3,171.7,146.8,17.0,39.7,42.7,-7.0,20.1,10.5,91.4,17.5,5.8,201.7,0.1,0.0,0.0,7504.4,7627.0,-1.6,172.9,148.1,16.7,246.4,196.7,25.3,689.1,578.9,19.0,97.1,94.4,2.9,41.4,56.1,-26.2,90.9,86.2,5.5,65.4,58.4,12.0,3.9,6.2,-37.1,89.8,67.9,32.3,70.1,68.6,2.2,-0.5,49.3,-101.0,33.9,35.2,-3.7,126.4,190.6,-33.7,683.5,851.6,-19.7,480.0,408.8,17.4,45.3,23.9,89.5,154.6,137.8,12.2,237.5,188.5,26.0,256.2,387.6,-33.9,118.0,600.7,-80.4,49.1,79.1,-37.9,350.7,265.2,32.2,383.3,319.1,20.1,819.5,906.6,-9.6,72.6,79.3,-8.4,846.4,556.9,52.0,1048.7,992.3,5.7,157.9,124.7,26.6,10.0,5.7,75.4,6.8,9.7,-29.9,57.5,52.8,8.9,1692.0,1428.8,18.4,1424.9,1212.2,17.5,186.6,147.8,26.3,80.4,68.9,16.7
2024年11月,8580.4,8302.5,3.3,1058.5,987.6,7.2,799.3,778.2,2.7,28.6,23.1,23.8,141.6,134.3,5.4,43.1,38.8,11.1,20.5,10.0,105.0,25.5,3.3,672.7,0.0,0.0,0.0,6284.8,6233.0,0.8,130.4,105.7,23.4,180.5,130.9,37.9,674.2,552.2,22.1,50.2,46.5,8.0,28.0,38.0,-26.3,82.6,72.2,14.4,59.2,57.6,2.8,3.4,4.1,-17.1,60.6,42.4,42.9,47.5,48.0,-1.0,-6.8,24.2,-128.1,25.1,19.3,30.1,98.3,147.5,-33.4,539.9,672.7,-19.7,335.8,319.4,5.1,20.5,18.3,12.0,130.6,110.8,17.9,197.1,149.0,32.3,236.8,347.1,-31.8,224.3,524.4,-57.2,63.2,68.0,-7.1,271.6,194.0,40.0,253.4,268.3,-5.6,661.2,705.6,-6.3,57.9,51.7,12.0,681.9,458.4,48.8,984.6,881.9,11.6,122.9,118.0,4.2,9.6,4.9,95.9,7.8,4.8,62.5,52.5,47.1,11.5,1237.1,1081.9,14.3,1059.6,900.0,17.7,119.3,133.1,-10.4,58.2,48.8,19.3
