时间,工业亏损企业单位数_本月末,工业亏损企业单位数_上年同期,工业亏损企业单位数_增减,采矿业亏损企业单位数_本月末,采矿业亏损企业单位数_上年同期,采矿业亏损企业单位数_增减,煤炭开采和洗选业亏损企业单位数_本月末,煤炭开采和洗选业亏损企业单位数_上年同期,煤炭开采和洗选业亏损企业单位数_增减,石油和天然气开采业亏损企业单位数_本月末,石油和天然气开采业亏损企业单位数_上年同期,石油和天然气开采业亏损企业单位数_增减,黑色金属矿采选业亏损企业单位数_本月末,黑色金属矿采选业亏损企业单位数_上年同期,黑色金属矿采选业亏损企业单位数_增减,有色金属矿采选业亏损企业单位数_本月末,有色金属矿采选业亏损企业单位数_上年同期,有色金属矿采选业亏损企业单位数_增减,非金属矿采选业亏损企业单位数_本月末,非金属矿采选业亏损企业单位数_上年同期,非金属矿采选业亏损企业单位数_增减,开采专业及辅助性活动亏损企业单位数_本月末,开采专业及辅助性活动亏损企业单位数_上年同期,开采专业及辅助性活动亏损企业单位数_增减,其他采矿业亏损企业单位数_本月末,其他采矿业亏损企业单位数_上年同期,其他采矿业亏损企业单位数_增减,制造业亏损企业单位数_本月末,制造业亏损企业单位数_上年同期,制造业亏损企业单位数_增减,农副食品加工业亏损企业单位数_本月末,农副食品加工业亏损企业单位数_上年同期,农副食品加工业亏损企业单位数_增减,食品制造业亏损企业单位数_本月末,食品制造业亏损企业单位数_上年同期,食品制造业亏损企业单位数_增减,酒、饮料和精制茶制造业亏损企业单位数_本月末,酒、饮料和精制茶制造业亏损企业单位数_上年同期,酒、饮料和精制茶制造业亏损企业单位数_增减,烟草制品业亏损企业单位数_本月末,烟草制品业亏损企业单位数_上年同期,烟草制品业亏损企业单位数_增减,纺织业亏损企业单位数_本月末,纺织业亏损企业单位数_上年同期,纺织业亏损企业单位数_增减,纺织服装、服饰业亏损企业单位数_本月末,纺织服装、服饰业亏损企业单位数_上年同期,纺织服装、服饰业亏损企业单位数_增减,皮革、毛皮、羽毛及其制品和制鞋业亏损企业单位数_本月末,皮革、毛皮、羽毛及其制品和制鞋业亏损企业单位数_上年同期,皮革、毛皮、羽毛及其制品和制鞋业亏损企业单位数_增减,木材加工和木、竹、藤、棕、草制品业亏损企业单位数_本月末,木材加工和木、竹、藤、棕、草制品业亏损企业单位数_上年同期,木材加工和木、竹、藤、棕、草制品业亏损企业单位数_增减,家具制造业亏损企业单位数_本月末,家具制造业亏损企业单位数_上年同期,家具制造业亏损企业单位数_增减,造纸和纸制品业亏损企业单位数_本月末,造纸和纸制品业亏损企业单位数_上年同期,造纸和纸制品业亏损企业单位数_增减,印刷和记录媒介复制业亏损企业单位数_本月末,印刷和记录媒介复制业亏损企业单位数_上年同期,印刷和记录媒介复制业亏损企业单位数_增减,文教、工美、体育和娱乐用品制造业亏损企业单位数_本月末,文教、工美、体育和娱乐用品制造业亏损企业单位数_上年同期,文教、工美、体育和娱乐用品制造业亏损企业单位数_增减,石油、煤炭及其他燃料加工业亏损企业单位数_本月末,石油、煤炭及其他燃料加工业亏损企业单位数_上年同期,石油、煤炭及其他燃料加工业亏损企业单位数_增减,化学原料和化学制品制造业亏损企业单位数_本月末,化学原料和化学制品制造业亏损企业单位数_上年同期,化学原料和化学制品制造业亏损企业单位数_增减,医药制造业亏损企业单位数_本月末,医药制造业亏损企业单位数_上年同期,医药制造业亏损企业单位数_增减,化学纤维制造业亏损企业单位数_本月末,化学纤维制造业亏损企业单位数_上年同期,化学纤维制造业亏损企业单位数_增减,橡胶和塑料制品业亏损企业单位数_本月末,橡胶和塑料制品业亏损企业单位数_上年同期,橡胶和塑料制品业亏损企业单位数_增减,非金属矿物制品业亏损企业单位数_本月末,非金属矿物制品业亏损企业单位数_上年同期,非金属矿物制品业亏损企业单位数_增减,黑色金属冶炼和压延加工业亏损企业单位数_本月末,黑色金属冶炼和压延加工业亏损企业单位数_上年同期,黑色金属冶炼和压延加工业亏损企业单位数_增减,有色金属冶炼和压延加工业亏损企业单位数_本月末,有色金属冶炼和压延加工业亏损企业单位数_上年同期,有色金属冶炼和压延加工业亏损企业单位数_增减,金属制品业亏损企业单位数_本月末,金属制品业亏损企业单位数_上年同期,金属制品业亏损企业单位数_增减,通用设备制造业亏损企业单位数_本月末,通用设备制造业亏损企业单位数_上年同期,通用设备制造业亏损企业单位数_增减,专用设备制造业亏损企业单位数_本月末,专用设备制造业亏损企业单位数_上年同期,专用设备制造业亏损企业单位数_增减,汽车制造业亏损企业单位数_本月末,汽车制造业亏损企业单位数_上年同期,汽车制造业亏损企业单位数_增减,铁路、船舶、航空航天和其他运输设备制造业亏损企业单位数_本月末,铁路、船舶、航空航天和其他运输设备制造业亏损企业单位数_上年同期,铁路、船舶、航空航天和其他运输设备制造业亏损企业单位数_增减,电气机械和器材制造业亏损企业单位数_本月末,电气机械和器材制造业亏损企业单位数_上年同期,电气机械和器材制造业亏损企业单位数_增减,计算机、通信和其他电子设备制造业亏损企业单位数_本月末,计算机、通信和其他电子设备制造业亏损企业单位数_上年同期,计算机、通信和其他电子设备制造业亏损企业单位数_增减,仪器仪表制造业亏损企业单位数_本月末,仪器仪表制造业亏损企业单位数_上年同期,仪器仪表制造业亏损企业单位数_增减,其他制造业亏损企业单位数_本月末,其他制造业亏损企业单位数_上年同期,其他制造业亏损企业单位数_增减,废弃资源综合利用业亏损企业单位数_本月末,废弃资源综合利用业亏损企业单位数_上年同期,废弃资源综合利用业亏损企业单位数_增减,金属制品、机械和设备修理业亏损企业单位数_本月末,金属制品、机械和设备修理业亏损企业单位数_上年同期,金属制品、机械和设备修理业亏损企业单位数_增减,电力、热力、燃气及水生产和供应业亏损企业单位数_本月末,电力、热力、燃气及水生产和供应业亏损企业单位数_上年同期,电力、热力、燃气及水生产和供应业亏损企业单位数_增减,电力、热力生产和供应业亏损企业单位数_本月末,电力、热力生产和供应业亏损企业单位数_上年同期,电力、热力生产和供应业亏损企业单位数_增减,燃气生产和供应业亏损企业单位数_本月末,燃气生产和供应业亏损企业单位数_上年同期,燃气生产和供应业亏损企业单位数_增减,水的生产和供应业亏损企业单位数_本月末,水的生产和供应业亏损企业单位数_上年同期,水的生产和供应业亏损企业单位数_增减
2025年5月,158111.0,156069.0,1.3,5536.0,5168.0,7.1,2765.0,2385.0,15.9,34.0,35.0,-2.9,744.0,707.0,5.2,471.0,504.0,-6.5,1286.0,1299.0,-1.0,232.0,234.0,-0.9,4.0,4.0,0.0,146181.0,144572.0,1.1,7554.0,8172.0,-7.6,3217.0,3182.0,1.1,1542.0,1464.0,5.3,39.0,30.0,30.0,6044.0,5869.0,3.0,4158.0,4001.0,3.9,2075.0,1859.0,11.6,2331.0,2352.0,-0.9,2404.0,2222.0,8.2,2477.0,2383.0,3.9,2169.0,2029.0,6.9,3081.0,2934.0,5.0,995.0,1032.0,-3.6,7683.0,7922.0,-3.0,3262.0,3124.0,4.4,856.0,797.0,7.4,7393.0,7075.0,4.5,17081.0,16987.0,0.6,2306.0,2381.0,-3.1,3363.0,3181.0,5.7,10942.0,10717.0,2.1,10479.0,10379.0,1.0,9982.0,9662.0,3.3,5602.0,5945.0,-5.8,1860.0,2000.0,-7.0,11532.0,11018.0,4.7,10547.0,10676.0,-1.2,2709.0,2716.0,-0.3,596.0,553.0,7.8,1581.0,1611.0,-1.9,321.0,299.0,7.4,6394.0,6329.0,1.0,3804.0,3674.0,3.5,1310.0,1321.0,-0.8,1280.0,1334.0,-4.0
2025年4月,164467.0,165169.0,-0.4,5662.0,5423.0,4.4,2762.0,2435.0,13.4,36.0,38.0,-5.3,757.0,741.0,2.2,487.0,549.0,-11.3,1356.0,1393.0,-2.7,261.0,263.0,-0.8,3.0,4.0,-25.0,152156.0,153111.0,-0.6,7689.0,8354.0,-8.0,3313.0,3247.0,2.0,1616.0,1532.0,5.5,41.0,35.0,17.1,6283.0,6323.0,-0.6,4295.0,4200.0,2.3,2127.0,1985.0,7.2,2440.0,2431.0,0.4,2412.0,2310.0,4.4,2526.0,2449.0,3.1,2236.0,2159.0,3.6,3135.0,3107.0,0.9,1029.0,1030.0,-0.1,8064.0,8415.0,-4.2,3322.0,3221.0,3.1,868.0,857.0,1.3,7776.0,7632.0,1.9,17786.0,17805.0,-0.1,2360.0,2501.0,-5.6,3475.0,3387.0,2.6,11573.0,11518.0,0.5,11100.0,11347.0,-2.2,10381.0,10355.0,0.3,5840.0,6238.0,-6.4,1982.0,2129.0,-6.9,12127.0,11868.0,2.2,10967.0,11168.0,-1.8,2861.0,2933.0,-2.5,621.0,599.0,3.7,1587.0,1656.0,-4.2,324.0,320.0,1.3,6649.0,6635.0,0.2,3936.0,3830.0,2.8,1357.0,1398.0,-2.9,1356.0,1407.0,-3.6
2025年3月,184863.0,185602.0,-0.4,5940.0,5718.0,3.9,2821.0,2515.0,12.2,38.0,43.0,-11.6,797.0,771.0,3.4,515.0,588.0,-12.4,1491.0,1510.0,-1.3,272.0,286.0,-4.9,6.0,5.0,20.0,171828.0,172650.0,-0.5,8181.0,8706.0,-6.0,3548.0,3489.0,1.7,1710.0,1687.0,1.4,46.0,41.0,12.2,7137.0,7139.0,0.0,4643.0,4579.0,1.4,2322.0,2222.0,4.5,2641.0,2655.0,-0.5,2611.0,2579.0,1.2,2836.0,2808.0,1.0,2551.0,2449.0,4.2,3473.0,3460.0,0.4,1087.0,1076.0,1.0,9268.0,9717.0,-4.6,3610.0,3485.0,3.6,958.0,971.0,-1.3,9126.0,9039.0,1.0,19356.0,19186.0,0.9,2651.0,2750.0,-3.6,3893.0,3887.0,0.2,13288.0,13259.0,0.2,13305.0,13476.0,-1.3,11787.0,11746.0,0.3,6788.0,7158.0,-5.2,2334.0,2495.0,-6.5,14024.0,13839.0,1.3,12557.0,12607.0,-0.4,3314.0,3302.0,0.4,717.0,722.0,-0.7,1703.0,1764.0,-3.5,363.0,357.0,1.7,7095.0,7234.0,-1.9,4176.0,4211.0,-0.8,1451.0,1497.0,-3.1,1468.0,1526.0,-3.8
2025年2月,176555.0,175103.0,0.8,5554.0,5108.0,8.7,2603.0,2189.0,18.9,42.0,36.0,16.7,719.0,658.0,9.3,506.0,580.0,-12.8,1429.0,1407.0,1.6,250.0,233.0,7.3,5.0,5.0,0.0,163690.0,162478.0,0.7,7637.0,8122.0,-6.0,3382.0,3338.0,1.3,1736.0,1693.0,2.5,47.0,37.0,27.0,6804.0,6823.0,-0.3,4067.0,3992.0,1.9,2108.0,1999.0,5.5,2403.0,2393.0,0.4,2359.0,2224.0,6.1,2635.0,2613.0,0.8,2346.0,2279.0,2.9,3164.0,3180.0,-0.5,1015.0,1021.0,-0.6,9321.0,9595.0,-2.9,3535.0,3410.0,3.7,964.0,955.0,0.9,8471.0,8342.0,1.5,17999.0,17440.0,3.2,2593.0,2568.0,1.0,3809.0,3775.0,0.9,12208.0,11850.0,3.0,13091.0,13084.0,0.1,11551.0,11402.0,1.3,6423.0,6739.0,-4.7,2315.0,2492.0,-7.1,13612.0,12972.0,4.9,12070.0,12057.0,0.1,3314.0,3380.0,-2.0,642.0,645.0,-0.5,1730.0,1725.0,0.3,339.0,333.0,1.8,7311.0,7517.0,-2.7,4289.0,4373.0,-1.9,1587.0,1620.0,-2.0,1435.0,1524.0,-5.8
2024年12月,116428.0,106629.0,9.2,4518.0,3988.0,13.3,2175.0,1906.0,14.1,35.0,39.0,-10.3,714.0,595.0,20.0,399.0,388.0,2.8,1127.0,986.0,14.3,66.0,71.0,-7.0,2.0,3.0,-33.3,107294.0,97882.0,9.6,6486.0,5852.0,10.8,2400.0,2366.0,1.4,1290.0,1269.0,1.7,26.0,22.0,18.2,4523.0,4389.0,3.1,2774.0,2631.0,5.4,1432.0,1320.0,8.5,1925.0,1786.0,7.8,1717.0,1609.0,6.7,1897.0,1838.0,3.2,1465.0,1431.0,2.4,1930.0,1788.0,7.9,954.0,799.0,19.4,6173.0,5929.0,4.1,2682.0,2411.0,11.2,560.0,601.0,-6.8,5309.0,4864.0,9.1,13724.0,11438.0,20.0,1963.0,1804.0,8.8,2479.0,2472.0,0.3,7748.0,6933.0,11.8,6747.0,5903.0,14.3,6255.0,5447.0,14.8,4498.0,4516.0,-0.4,1262.0,1207.0,4.6,7761.0,6747.0,15.0,8043.0,7595.0,5.9,1383.0,1179.0,17.3,389.0,392.0,-0.8,1336.0,1203.0,11.1,163.0,141.0,15.6,4616.0,4759.0,-3.0,2734.0,2912.0,-6.1,944.0,881.0,7.2,938.0,966.0,-2.9
2024年11月,130072.0,119425.0,8.9,4793.0,4258.0,12.6,2265.0,1993.0,13.6,34.0,35.0,-2.9,723.0,632.0,14.4,420.0,409.0,2.7,1195.0,1053.0,13.5,152.0,133.0,14.3,4.0,3.0,33.3,120210.0,110033.0,9.2,7150.0,6405.0,11.6,2638.0,2582.0,2.2,1381.0,1338.0,3.2,30.0,21.0,42.9,4953.0,4847.0,2.2,3148.0,3015.0,4.4,1577.0,1453.0,8.5,2110.0,1933.0,9.2,1933.0,1804.0,7.2,2098.0,2056.0,2.0,1664.0,1657.0,0.4,2120.0,2060.0,2.9,1010.0,858.0,17.7,6760.0,6487.0,4.2,2870.0,2621.0,9.5,651.0,729.0,-10.7,5860.0,5388.0,8.8,15117.0,12524.0,20.7,2170.0,1976.0,9.8,2778.0,2737.0,1.5,8776.0,7847.0,11.8,7865.0,6967.0,12.9,7468.0,6592.0,13.3,4965.0,4960.0,0.1,1490.0,1440.0,3.5,8789.0,7745.0,13.5,8931.0,8476.0,5.4,1795.0,1562.0,14.9,432.0,448.0,-3.6,1447.0,1298.0,11.5,234.0,207.0,13.0,5069.0,5134.0,-1.3,2944.0,3064.0,-3.9,1093.0,992.0,10.2,1032.0,1078.0,-4.3
2024年10月,136140.0,126696.0,7.5,4899.0,4465.0,9.7,2315.0,2071.0,11.8,34.0,38.0,-10.5,734.0,662.0,10.9,428.0,416.0,2.9,1223.0,1118.0,9.4,161.0,157.0,2.5,4.0,3.0,33.3,125979.0,116778.0,7.9,7442.0,6730.0,10.6,2695.0,2674.0,0.8,1408.0,1356.0,3.8,33.0,22.0,50.0,5188.0,5118.0,1.4,3317.0,3204.0,3.5,1607.0,1553.0,3.5,2216.0,2067.0,7.2,2031.0,1925.0,5.5,2154.0,2148.0,0.3,1761.0,1764.0,-0.2,2261.0,2218.0,1.9,1033.0,894.0,15.5,7036.0,6745.0,4.3,2973.0,2717.0,9.4,670.0,773.0,-13.3,6123.0,5751.0,6.5,15702.0,13233.0,18.7,2259.0,2066.0,9.3,2878.0,2861.0,0.6,9307.0,8434.0,10.4,8483.0,7553.0,12.3,7987.0,7214.0,10.7,5182.0,5230.0,-0.9,1564.0,1553.0,0.7,9284.0,8277.0,12.2,9173.0,8903.0,3.0,2006.0,1724.0,16.4,465.0,489.0,-4.9,1481.0,1347.0,9.9,260.0,235.0,10.6,5262.0,5453.0,-3.5,3083.0,3268.0,-5.7,1118.0,1062.0,5.3,1061.0,1123.0,-5.5
2024年9月,140468.0,133012.0,5.6,5016.0,4687.0,7.0,2367.0,2183.0,8.4,33.0,38.0,-13.2,728.0,692.0,5.2,445.0,429.0,3.7,1258.0,1155.0,8.9,181.0,187.0,-3.2,4.0,3.0,33.3,129996.0,122630.0,6.0,7636.0,7016.0,8.8,2739.0,2769.0,-1.1,1422.0,1414.0,0.6,35.0,23.0,52.2,5355.0,5394.0,-0.7,3461.0,3476.0,-0.4,1657.0,1619.0,2.3,2295.0,2143.0,7.1,2082.0,1970.0,5.7,2211.0,2264.0,-2.3,1841.0,1875.0,-1.8,2364.0,2361.0,0.1,1036.0,938.0,10.4,7172.0,7052.0,1.7,3024.0,2773.0,9.1,710.0,828.0,-14.3,6379.0,6093.0,4.7,16170.0,13948.0,15.9,2326.0,2170.0,7.2,3005.0,3006.0,0.0,9638.0,8904.0,8.2,8816.0,8023.0,9.9,8286.0,7573.0,9.4,5290.0,5493.0,-3.7,1622.0,1609.0,0.8,9618.0,8717.0,10.3,9436.0,9187.0,2.7,2126.0,1852.0,14.8,486.0,513.0,-5.3,1494.0,1377.0,8.5,264.0,250.0,5.6,5456.0,5695.0,-4.2,3223.0,3433.0,-6.1,1131.0,1090.0,3.8,1102.0,1172.0,-6.0
2024年8月,140884.0,135536.0,3.9,4902.0,4621.0,6.1,2295.0,2146.0,6.9,29.0,36.0,-19.4,717.0,680.0,5.4,429.0,428.0,0.2,1250.0,1156.0,8.1,178.0,172.0,3.5,4.0,3.0,33.3,130602.0,125239.0,4.3,7710.0,7182.0,7.4,2804.0,2915.0,-3.8,1412.0,1421.0,-0.6,33.0,25.0,32.0,5351.0,5464.0,-2.1,3504.0,3495.0,0.3,1682.0,1702.0,-1.2,2249.0,2161.0,4.1,2118.0,2043.0,3.7,2222.0,2296.0,-3.2,1856.0,1880.0,-1.3,2387.0,2477.0,-3.6,1039.0,956.0,8.7,7188.0,7219.0,-0.4,3016.0,2785.0,8.3,704.0,840.0,-16.2,6355.0,6273.0,1.3,16158.0,14090.0,14.7,2274.0,2212.0,2.8,2935.0,3055.0,-3.9,9733.0,9053.0,7.5,8927.0,8300.0,7.6,8401.0,7792.0,7.8,5340.0,5598.0,-4.6,1656.0,1669.0,-0.8,9670.0,8913.0,8.5,9447.0,9343.0,1.1,2220.0,1938.0,14.6,490.0,514.0,-4.7,1469.0,1382.0,6.3,252.0,246.0,2.4,5380.0,5676.0,-5.2,3157.0,3378.0,-6.5,1130.0,1119.0,1.0,1093.0,1179.0,-7.3
2024年7月,144174.0,140531.0,2.6,4963.0,4734.0,4.8,2277.0,2213.0,2.9,31.0,35.0,-11.4,718.0,685.0,4.8,449.0,444.0,1.1,1296.0,1176.0,10.2,188.0,178.0,5.6,4.0,3.0,33.3,133741.0,129934.0,2.9,7847.0,7447.0,5.4,2894.0,3012.0,-3.9,1430.0,1443.0,-0.9,31.0,24.0,29.2,5473.0,5669.0,-3.5,3684.0,3718.0,-0.9,1757.0,1789.0,-1.8,2325.0,2262.0,2.8,2135.0,2117.0,0.9,2236.0,2368.0,-5.6,1902.0,1936.0,-1.8,2550.0,2708.0,-5.8,1047.0,997.0,5.0,7300.0,7457.0,-2.1,2990.0,2788.0,7.2,728.0,872.0,-16.5,6465.0,6494.0,-0.4,16582.0,14548.0,14.0,2273.0,2315.0,-1.8,2889.0,3157.0,-8.5,9895.0,9416.0,5.1,9277.0,8658.0,7.1,8633.0,8051.0,7.2,5444.0,5791.0,-6.0,1705.0,1733.0,-1.6,10020.0,9249.0,8.3,9629.0,9710.0,-0.8,2333.0,2003.0,16.5,522.0,533.0,-2.1,1488.0,1398.0,6.4,257.0,271.0,-5.2,5470.0,5863.0,-6.7,3191.0,3497.0,-8.8,1142.0,1148.0,-0.5,1137.0,1218.0,-6.7
