时间,办公楼施工面积_累计值,办公楼施工面积_累计增长,办公楼新开工施工面积_累计值,办公楼新开工施工面积_累计增长,办公楼竣工面积_累计值,办公楼竣工面积_累计增长
2025年6月,27121.85,-5.1,752.73,-21.0,733.67,0.2
2025年5月,26941.42,-5.3,615.48,-24.1,558.08,-6.7
2025年4月,26863.66,-5.6,483.5,-30.6,470.99,-9.5
2025年3月,26569.9601,-5.5,348.0764,-34.9,397.3986,-11.3
2025年2月,26443.6758,-4.1,216.8874,-31.4,279.7928,1.9
2024年9月,29316.927,-9.1,1453.5374,-25.0,945.1732,-35.3
2024年8月,29083.9216,-9.0,1278.723,-23.0,853.8413,-33.7
2024年7月,28977.1042,-8.7,1179.3355,-22.1,798.5933,-31.4
2024年6月,28594.8494,-9.3,963.9761,-28.7,732.5412,-28.1
2024年12月,29858.333,-10.1,1892.9291,-27.7,1940.2585,-35.2
2024年11月,29520.9605,-9.6,1723.6747,-25.6,1200.4738,-33.5
2024年10月,29370.6144,-9.5,1576.5958,-26.4,1030.3523,-34.6
