时间,交通工具居民消费价格指数(上月=100),交通工具用燃料居民消费价格指数(上月=100),交通工具使用和维修居民消费价格指数(上月=100),通信工具居民消费价格指数(上月=100),通信服务居民消费价格指数(上月=100),邮递服务居民消费价格指数(上月=100)
2025年6月,99.6,100.3,100.0,99.8,100.0,100.0
2025年5月,99.6,96.3,100.0,99.3,100.0,100.0
2025年4月,99.7,98.0,100.0,98.7,100.0,100.0
2025年3月,99.6,96.5,99.9,99.8,100.0,100.0
2025年2月,99.8,101.3,99.4,99.6,100.0,98.5
2025年1月,100.0,102.5,100.7,99.6,100.0,101.5
2024年9月,99.9,97.2,100.1,99.4,100.0,100.0
2024年8月,99.7,97.1,100.0,99.2,100.0,99.9
2024年7月,99.4,101.5,100.1,99.9,100.0,99.9
2024年6月,99.0,98.0,100.0,100.8,100.0,100.0
2024年12月,100.0,99.7,100.1,103.0,100.0,100.0
2024年11月,100.1,100.0,100.0,101.1,100.0,100.0
2024年10月,99.8,98.5,100.0,100.4,100.0,100.0
