时间,固定资产投资本年资金来源小计_累计增长,固定资产投资国家预算资金_累计增长,固定资产投资国内贷款_累计增长,固定资产投资债券_累计增长,固定资产投资利用外资_累计增长,固定资产投资自筹资金_累计增长,固定资产投资其他资金_累计增长
2025年5月,3.5,16.6,4.1,19.4,-42.7,3.8,-6.0
2025年4月,3.7,16.7,2.8,20.4,-45.6,3.9,-4.2
2025年3月,3.7,15.6,-0.9,6.5,-52.0,4.7,-2.9
2025年2月,3.5,18.9,-5.4,11.5,-15.5,5.4,-3.0
2024年12月,-2.3,8.5,2.8,23.3,-16.4,1.6,-20.8
2024年11月,-3.3,8.1,1.6,1.8,-18.4,1.4,-23.6
2024年10月,-3.7,6.3,2.5,7.7,-22.6,1.9,-25.5
2024年9月,-4.2,1.8,3.2,2.6,-25.6,2.4,-27.3
2024年8月,-4.4,2.4,3.2,-0.2,-17.2,2.4,-27.9
2024年7月,-4.7,3.1,3.9,4.0,-28.1,2.6,-29.2
2024年6月,-4.7,2.8,3.7,1.4,-41.9,3.9,-30.8
