时间,粮食类城市居民消费价格指数(上年同期=100),畜肉类城市居民消费价格指数(上年同期=100),蛋类城市居民消费价格指数(上年同期=100),水产品类城市居民消费价格指数(上年同期=100),鲜菜类城市居民消费价格指数(上年同期=100),鲜果类城市居民消费价格指数(上年同期=100)
2025年6月,98.6,99.6,97.6,100.9,94.9,102.8
2025年5月,98.6,100.3,98.6,100.3,94.1,102.2
2025年4月,98.6,100.1,99.1,99.7,94.5,101.3
2025年3月,98.6,100.0,99.0,99.1,94.3,100.0
2025年2月,98.6,100.1,99.3,98.7,94.6,99.5
2025年1月,98.5,102.2,100.9,101.3,102.6,100.6
2024年12月,99.8,99.3,95.9,101.2,105.0,96.4
2024年11月,99.9,99.1,95.5,101.2,105.5,96.4
2024年10月,100.0,98.9,95.1,101.1,105.0,96.1
2024年9月,100.1,98.5,94.8,101.0,103.3,95.2
2024年8月,100.3,97.9,94.6,100.9,100.9,93.9
2024年7月,100.3,97.1,94.3,100.7,98.0,92.6
2024年6月,100.4,96.1,93.3,100.6,97.2,92.1
