时间,非制造业商务活动指数,新订单指数,新出口订单指数,在手订单指数,存货指数,投入品价格指数,销售价格指数,从业人员指数,供应商配送时间指数,业务活动预期指数,建筑业商务活动指数,服务业商务活动指数
2025年6月,50.5,46.6,49.8,43.4,44.8,49.9,48.8,45.5,51.2,55.6,52.8,50.1
2025年5月,50.3,46.1,48.0,43.4,46.1,48.2,47.3,45.5,51.1,55.9,51.0,50.2
2025年4月,50.4,44.9,42.2,42.3,45.1,47.8,46.6,45.5,50.8,56.0,51.9,50.1
2025年3月,50.8,46.6,49.8,43.7,45.7,48.6,46.7,45.8,51.1,57.2,53.4,50.3
2025年2月,50.4,46.1,49.5,43.1,45.2,48.4,47.8,46.5,53.1,56.6,52.7,50.0
2025年1月,50.2,46.4,44.6,43.3,45.0,50.4,48.6,46.7,51.3,56.7,49.3,50.3
2024年9月,50.0,44.2,47.0,42.2,45.1,48.2,46.1,44.7,50.2,54.4,50.7,49.9
2024年8月,50.3,46.3,47.6,42.2,45.1,48.6,47.2,45.2,50.6,55.3,50.6,50.2
2024年7月,50.2,45.7,49.6,42.7,45.4,50.4,48.2,45.5,50.5,56.1,51.2,50.0
2024年6月,50.5,46.7,48.8,43.1,45.5,49.6,47.6,45.8,50.5,57.2,52.3,50.2
2024年12月,52.2,48.7,50.0,44.1,46.4,50.5,48.8,45.8,51.5,57.5,53.2,52.0
2024年11月,50.0,45.9,48.2,42.7,45.3,49.1,48.8,45.4,51.2,57.0,49.7,50.1
2024年10月,50.2,47.2,50.0,43.7,45.7,50.6,48.5,45.8,51.2,56.1,50.4,50.1
