时间,计算机制造工业生产者出厂价格指数(上年同月=100),通信设备制造工业生产者出厂价格指数(上年同月=100),广播电视设备制造工业生产者出厂价格指数(上年同月=100),雷达及配套设备制造工业生产者出厂价格指数(上年同月=100),视听设备制造工业生产者出厂价格指数(上年同月=100),智能消费设备制造工业生产者出厂价格指数(上年同月=100),电子器件制造工业生产者出厂价格指数(上年同月=100),电子元件及电子专用材料制造工业生产者出厂价格指数(上年同月=100),其他电子设备制造工业生产者出厂价格指数(上年同月=100)
2025年6月,99.3,95.8,96.6,96.5,99.3,97.8,99.1,97.2,98.7
2025年5月,99.3,96.4,96.1,96.3,99.0,98.8,99.0,97.3,96.8
2025年4月,99.1,96.1,97.0,99.9,98.0,98.2,99.0,96.9,96.7
2025年3月,99.1,96.6,95.7,99.9,98.1,98.4,98.3,97.0,97.6
2025年2月,99.3,98.5,96.1,100.1,97.1,97.9,98.4,97.2,96.3
2025年1月,99.2,98.6,97.6,100.0,96.8,97.7,98.4,96.7,96.3
2024年12月,99.7,98.5,97.1,100.0,96.6,98.1,97.9,96.2,98.0
2024年11月,98.8,98.1,95.5,99.8,96.3,97.2,97.3,95.4,98.6
2024年10月,98.1,97.7,98.1,99.5,96.4,96.6,97.2,94.6,97.1
2024年9月,98.9,98.0,97.7,99.5,97.4,96.1,96.9,94.3,97.8
2024年8月,99.6,98.1,96.1,98.9,98.4,96.5,97.5,94.5,97.6
2024年7月,99.2,97.6,96.4,99.1,99.3,96.6,97.5,94.1,99.8
2024年6月,99.8,98.0,96.8,103.5,99.7,97.4,98.2,94.3,99.5
