时间,化学药品原料药制造工业生产者出厂价格指数(上年同月=100),化学药品制剂制造工业生产者出厂价格指数(上年同月=100),中药饮片加工工业生产者出厂价格指数(上年同月=100),中成药生产工业生产者出厂价格指数(上年同月=100),兽用药品制造工业生产者出厂价格指数(上年同月=100),生物药品制品制造工业生产者出厂价格指数(上年同月=100),卫生材料及医药用品制造工业生产者出厂价格指数(上年同月=100),药用辅料及包装材料工业生产者出厂价格指数(上年同月=100)
2025年6月,102.9,96.7,93.4,99.6,100.2,95.2,99.1,102.5
2025年5月,102.6,96.3,95.1,99.5,99.0,95.0,99.6,101.1
2025年4月,102.7,96.6,98.6,99.3,100.2,95.3,99.2,100.7
2025年3月,102.6,97.0,99.9,99.6,99.4,95.7,98.5,100.0
2025年2月,102.6,97.3,101.2,100.1,98.7,95.5,99.6,100.4
2025年1月,102.2,96.8,101.7,100.1,98.5,96.3,99.6,99.5
2024年9月,97.1,97.6,103.3,100.5,101.3,97.7,99.7,98.5
2024年8月,95.1,99.3,103.9,100.3,100.1,98.4,98.8,98.1
2024年7月,94.5,98.9,105.4,100.3,95.6,98.7,97.3,97.8
2024年6月,95.9,98.9,107.0,100.2,95.2,98.5,96.5,97.4
2024年12月,101.7,98.3,101.8,100.6,99.3,96.6,99.5,98.8
2024年11月,100.3,97.7,102.0,100.7,100.2,97.2,98.3,98.4
2024年10月,99.5,97.9,102.3,100.2,99.8,97.4,97.9,98.7
