时间,工业企业销售费用_累计值,工业企业销售费用_上年同期累计值,工业企业销售费用_累计增长,采矿业销售费用_累计值,采矿业销售费用_上年同期累计值,采矿业销售费用_累计增长,煤炭开采和洗选业销售费用_累计值,煤炭开采和洗选业销售费用_上年同期累计值,煤炭开采和洗选业销售费用_累计增长,石油和天然气开采业销售费用_累计值,石油和天然气开采业销售费用_上年同期累计值,石油和天然气开采业销售费用_累计增长,黑色金属矿采选业销售费用_累计值,黑色金属矿采选业销售费用_上年同期累计值,黑色金属矿采选业销售费用_累计增长,有色金属矿采选业销售费用_累计值,有色金属矿采选业销售费用_上年同期累计值,有色金属矿采选业销售费用_累计增长,非金属矿采选业销售费用_累计值,非金属矿采选业销售费用_上年同期累计值,非金属矿采选业销售费用_累计增长,开采专业及辅助性活动销售费用_累计值,开采专业及辅助性活动销售费用_上年同期累计值,开采专业及辅助性活动销售费用_累计增长,其他采矿业销售费用_累计值,其他采矿业销售费用_上年同期累计值,其他采矿业销售费用_累计增长,制造业销售费用_累计值,制造业销售费用_上年同期累计值,制造业销售费用_累计增长,农副食品加工业销售费用_累计值,农副食品加工业销售费用_上年同期累计值,农副食品加工业销售费用_累计增长,食品制造业销售费用_累计值,食品制造业销售费用_上年同期累计值,食品制造业销售费用_累计增长,酒、饮料和精制茶制造业销售费用_累计值,酒、饮料和精制茶制造业销售费用_上年同期累计值,酒、饮料和精制茶制造业销售费用_累计增长,烟草制品业销售费用_累计值,烟草制品业销售费用_上年同期累计值,烟草制品业销售费用_累计增长,纺织业销售费用_累计值,纺织业销售费用_上年同期累计值,纺织业销售费用_累计增长,纺织服装、服饰业销售费用_累计值,纺织服装、服饰业销售费用_上年同期累计值,纺织服装、服饰业销售费用_累计增长,皮革、毛皮、羽毛及其制品和制鞋业销售费用_累计值,皮革、毛皮、羽毛及其制品和制鞋业销售费用_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业销售费用_累计增长,木材加工和木、竹、藤、棕、草制品业销售费用_累计值,木材加工和木、竹、藤、棕、草制品业销售费用_上年同期累计值,木材加工和木、竹、藤、棕、草制品业销售费用_累计增长,家具制造业销售费用_累计值,家具制造业销售费用_上年同期累计值,家具制造业销售费用_累计增长,造纸和纸制品业销售费用_累计值,造纸和纸制品业销售费用_上年同期累计值,造纸和纸制品业销售费用_累计增长,印刷和记录媒介复制业销售费用_累计值,印刷和记录媒介复制业销售费用_上年同期累计值,印刷和记录媒介复制业销售费用_累计增长,文教、工美、体育和娱乐用品制造业销售费用_累计值,文教、工美、体育和娱乐用品制造业销售费用_上年同期累计值,文教、工美、体育和娱乐用品制造业销售费用_累计增长,石油、煤炭及其他燃料加工业销售费用_累计值,石油、煤炭及其他燃料加工业销售费用_上年同期累计值,石油、煤炭及其他燃料加工业销售费用_累计增长,化学原料和化学制品制造业销售费用_累计值,化学原料和化学制品制造业销售费用_上年同期累计值,化学原料和化学制品制造业销售费用_累计增长,医药制造业销售费用_累计值,医药制造业销售费用_上年同期累计值,医药制造业销售费用_累计增长,化学纤维制造业销售费用_累计值,化学纤维制造业销售费用_上年同期累计值,化学纤维制造业销售费用_累计增长,橡胶和塑料制品业销售费用_累计值,橡胶和塑料制品业销售费用_上年同期累计值,橡胶和塑料制品业销售费用_累计增长,非金属矿物制品业销售费用_累计值,非金属矿物制品业销售费用_上年同期累计值,非金属矿物制品业销售费用_累计增长,黑色金属冶炼和压延加工业销售费用_累计值,黑色金属冶炼和压延加工业销售费用_上年同期累计值,黑色金属冶炼和压延加工业销售费用_累计增长,有色金属冶炼和压延加工业销售费用_累计值,有色金属冶炼和压延加工业销售费用_上年同期累计值,有色金属冶炼和压延加工业销售费用_累计增长,金属制品业销售费用_累计值,金属制品业销售费用_上年同期累计值,金属制品业销售费用_累计增长,通用设备制造业销售费用_累计值,通用设备制造业销售费用_上年同期累计值,通用设备制造业销售费用_累计增长,专用设备制造业销售费用_累计值,专用设备制造业销售费用_上年同期累计值,专用设备制造业销售费用_累计增长,汽车制造业销售费用_累计值,汽车制造业销售费用_上年同期累计值,汽车制造业销售费用_累计增长,铁路、船舶、航空航天和其他运输设备制造业销售费用_累计值,铁路、船舶、航空航天和其他运输设备制造业销售费用_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业销售费用_累计增长,电气机械和器材制造业销售费用_累计值,电气机械和器材制造业销售费用_上年同期累计值,电气机械和器材制造业销售费用_累计增长,计算机、通信和其他电子设备制造业销售费用_累计值,计算机、通信和其他电子设备制造业销售费用_上年同期累计值,计算机、通信和其他电子设备制造业销售费用_累计增长,仪器仪表制造业销售费用_累计值,仪器仪表制造业销售费用_上年同期累计值,仪器仪表制造业销售费用_累计增长,其他制造业销售费用_累计值,其他制造业销售费用_上年同期累计值,其他制造业销售费用_累计增长,废弃资源综合利用业销售费用_累计值,废弃资源综合利用业销售费用_上年同期累计值,废弃资源综合利用业销售费用_累计增长,金属制品、机械和设备修理业销售费用_累计值,金属制品、机械和设备修理业销售费用_上年同期累计值,金属制品、机械和设备修理业销售费用_累计增长,电力、热力、燃气及水生产和供应业销售费用_累计值,电力、热力、燃气及水生产和供应业销售费用_上年同期累计值,电力、热力、燃气及水生产和供应业销售费用_累计增长,电力、热力生产和供应业销售费用_累计值,电力、热力生产和供应业销售费用_上年同期累计值,电力、热力生产和供应业销售费用_累计增长,燃气生产和供应业销售费用_累计值,燃气生产和供应业销售费用_上年同期累计值,燃气生产和供应业销售费用_累计增长,水的生产和供应业销售费用_累计值,水的生产和供应业销售费用_上年同期累计值,水的生产和供应业销售费用_累计增长
2025年5月,12044.0,12321.7,-2.3,237.9,254.9,-6.7,140.5,157.4,-10.7,13.0,13.1,-0.8,18.0,17.7,1.7,8.2,6.8,20.6,55.6,56.9,-2.3,2.2,2.6,-15.4,0.4,0.4,0.0,11588.1,11841.8,-2.1,398.3,390.6,2.0,741.1,763.6,-2.9,486.8,481.8,1.0,57.9,55.7,3.9,165.4,164.7,0.4,178.1,180.3,-1.2,69.4,71.7,-3.2,54.1,58.1,-6.9,105.6,112.0,-5.7,153.8,147.8,4.1,72.3,72.4,-0.1,138.9,141.4,-1.8,106.0,109.2,-2.9,798.2,776.8,2.8,1548.2,1642.0,-5.7,31.7,30.9,2.6,331.8,331.2,0.2,603.3,637.7,-5.4,187.1,186.7,0.2,122.5,119.9,2.2,332.4,326.4,1.8,638.9,641.8,-0.5,659.8,661.5,-0.3,632.4,718.5,-12.0,109.0,113.9,-4.3,1323.3,1385.0,-4.5,1247.0,1230.7,1.3,224.3,220.9,1.5,30.0,27.8,7.9,31.8,32.1,-0.9,8.9,8.3,7.2,218.0,225.0,-3.1,32.6,36.3,-10.2,110.0,112.5,-2.2,75.4,76.1,-0.9
2025年4月,9591.4,9828.3,-2.4,190.5,204.0,-6.6,113.6,127.0,-10.6,10.5,10.5,0.0,14.3,13.9,2.9,6.6,5.4,22.2,43.5,44.9,-3.1,1.7,2.0,-15.0,0.3,0.3,0.0,9224.8,9442.9,-2.3,318.5,313.5,1.6,588.7,611.0,-3.6,404.5,397.0,1.9,46.8,45.3,3.3,133.0,130.5,1.9,143.2,143.7,-0.3,54.2,54.4,-0.4,43.0,46.3,-7.1,83.9,88.9,-5.6,120.8,116.0,4.1,58.1,57.8,0.5,111.0,111.6,-0.5,84.0,87.2,-3.7,635.5,614.3,3.5,1227.2,1327.0,-7.5,24.9,24.4,2.0,263.2,258.1,2.0,476.4,504.8,-5.6,147.2,146.4,0.5,98.0,95.6,2.5,265.2,257.8,2.9,507.8,507.8,0.0,523.2,523.3,0.0,504.1,581.4,-13.3,86.4,89.8,-3.8,1053.9,1097.7,-4.0,986.5,982.5,0.4,179.0,175.3,2.1,23.7,21.7,9.2,25.4,25.3,0.4,7.2,6.6,9.1,176.0,181.3,-2.9,26.5,28.7,-7.7,88.9,91.0,-2.3,60.6,61.6,-1.6
2025年3月,7181.2,7349.6,-2.3,142.1,154.3,-7.9,84.3,97.1,-13.2,8.0,7.8,2.6,10.9,10.5,3.8,5.5,4.0,37.5,32.0,33.2,-3.6,1.2,1.4,-14.3,0.3,0.2,50.0,6905.3,7058.6,-2.2,239.7,236.2,1.5,450.9,471.2,-4.3,321.6,312.0,3.1,35.1,34.1,2.9,100.4,96.3,4.3,108.9,107.7,1.1,40.2,40.1,0.2,32.4,34.4,-5.8,63.0,65.5,-3.8,91.2,86.4,5.6,43.7,43.5,0.5,85.6,85.2,0.5,61.6,66.3,-7.1,470.6,456.2,3.2,937.6,1014.3,-7.6,19.0,18.4,3.3,196.6,191.8,2.5,353.7,375.3,-5.8,108.9,108.0,0.8,72.7,70.5,3.1,196.9,191.2,3.0,373.9,372.2,0.5,387.5,388.2,-0.2,368.0,426.6,-13.7,63.9,65.5,-2.4,769.4,791.9,-2.8,736.3,740.5,-0.6,133.7,129.4,3.3,17.9,16.2,10.5,19.0,18.4,3.3,5.2,5.0,4.0,133.7,136.7,-2.2,20.1,21.4,-6.1,67.9,68.5,-0.9,45.7,46.7,-2.1
2025年2月,4530.2,4623.9,-2.0,92.3,98.3,-6.1,56.4,61.8,-8.7,5.4,5.2,3.8,6.6,6.7,-1.5,3.7,2.6,42.3,19.4,21.0,-7.6,0.7,0.9,-22.2,0.1,0.1,0.0,4349.9,4434.5,-1.9,159.0,152.8,4.1,299.4,287.6,4.1,208.9,208.4,0.2,24.3,22.8,6.6,63.7,61.5,3.6,70.9,68.4,3.7,25.8,24.9,3.6,20.1,22.1,-9.0,39.2,40.6,-3.4,57.0,54.8,4.0,28.1,28.3,-0.7,56.7,54.8,3.5,40.3,42.8,-5.8,292.0,282.3,3.4,573.6,637.6,-10.0,12.2,11.9,2.5,125.3,121.9,2.8,223.2,240.7,-7.3,68.2,67.6,0.9,46.1,45.3,1.8,124.6,121.4,2.6,234.7,236.3,-0.7,242.2,236.7,2.3,226.1,261.4,-13.5,37.7,40.0,-5.8,481.3,498.4,-3.4,458.5,456.1,0.5,83.7,82.5,1.5,11.5,10.1,13.9,12.1,11.3,7.1,3.2,3.1,3.2,88.0,91.1,-3.4,12.6,13.4,-6.0,44.8,45.6,-1.8,30.7,32.1,-4.4
2024年12月,31372.2,31761.9,-1.2,650.4,712.3,-8.7,393.0,439.0,-10.5,35.4,36.0,-1.7,44.1,49.4,-10.7,20.3,20.2,0.5,149.9,160.5,-6.6,6.5,6.0,8.3,1.1,1.1,0.0,30127.3,30467.1,-1.1,990.3,985.2,0.5,1839.9,1716.3,7.2,1262.5,1201.3,5.1,151.1,157.1,-3.8,425.3,404.8,5.1,495.3,485.3,2.1,192.9,188.0,2.6,146.5,147.7,-0.8,282.7,284.0,-0.5,389.0,374.7,3.8,189.1,184.4,2.5,337.0,331.3,1.7,263.0,290.7,-9.5,1943.1,1914.7,1.5,4064.2,4353.1,-6.6,79.3,76.6,3.5,836.4,810.5,3.2,1643.3,1794.0,-8.4,468.4,489.8,-4.4,308.5,306.8,0.6,857.1,842.2,1.8,1626.9,1636.3,-0.6,1721.7,1717.0,0.3,1709.9,1979.6,-13.6,283.8,294.5,-3.6,3580.7,3511.2,2.0,3271.2,3252.2,0.6,590.6,571.3,3.4,75.1,67.7,10.9,80.5,78.0,3.2,22.0,20.8,5.8,594.5,582.5,2.1,95.4,81.5,17.1,294.6,295.5,-0.3,204.5,205.5,-0.5
2024年11月,27898.5,28139.0,-0.9,576.2,643.8,-10.5,349.1,399.7,-12.7,30.4,30.5,-0.3,38.9,45.3,-14.1,17.2,17.9,-3.9,134.5,143.9,-6.5,5.1,4.9,4.1,1.0,1.6,-37.5,26814.2,26996.9,-0.7,883.4,886.5,-0.3,1675.8,1548.3,8.2,1106.7,1069.2,3.5,126.9,133.3,-4.8,378.5,361.3,4.8,430.3,426.0,1.0,173.1,166.0,4.3,130.2,131.1,-0.7,250.4,247.6,1.1,348.4,339.3,2.7,167.6,164.7,1.8,305.4,298.2,2.4,236.4,260.9,-9.4,1737.1,1738.3,-0.1,3659.7,3915.1,-6.5,70.4,69.9,0.7,740.5,721.4,2.6,1455.9,1596.0,-8.8,421.6,445.3,-5.3,273.7,275.6,-0.7,757.1,746.6,1.4,1440.9,1429.9,0.8,1505.2,1487.0,1.2,1613.4,1797.0,-10.2,250.5,250.5,0.0,3194.0,3097.5,3.1,2813.9,2756.4,2.1,510.0,492.2,3.6,65.5,59.3,10.5,72.1,69.4,3.9,19.1,17.1,11.7,508.1,498.2,2.0,82.8,70.4,17.6,251.4,252.3,-0.4,173.9,175.5,-0.9
2024年10月,25229.2,25330.0,-0.4,520.1,579.3,-10.2,313.4,360.4,-13.0,27.8,27.7,0.4,35.7,40.6,-12.1,15.4,15.9,-3.1,122.3,128.9,-5.1,4.6,4.3,7.0,0.9,1.4,-35.7,24250.2,24301.7,-0.2,797.6,797.5,0.0,1529.5,1408.8,8.6,1026.3,985.4,4.2,113.2,118.7,-4.6,346.6,328.0,5.7,384.3,382.9,0.4,155.6,146.6,6.1,116.8,116.7,0.1,226.4,222.0,2.0,312.3,300.3,4.0,151.4,147.9,2.4,279.8,270.8,3.3,212.7,237.6,-10.5,1572.1,1557.9,0.9,3319.8,3557.0,-6.7,62.9,62.4,0.8,669.7,649.3,3.1,1311.2,1434.1,-8.6,373.8,400.4,-6.6,251.8,251.5,0.1,681.6,671.5,1.5,1307.3,1290.0,1.3,1357.7,1343.1,1.1,1431.6,1581.7,-9.5,223.3,220.9,1.1,2879.2,2749.5,4.7,2555.6,2494.7,2.4,460.1,441.6,4.2,58.5,53.2,10.0,64.4,62.7,2.7,17.2,16.9,1.8,458.9,449.0,2.2,74.5,62.7,18.8,227.4,227.9,-0.2,156.9,158.4,-0.9
2024年9月,22730.2,22768.0,-0.2,468.3,516.5,-9.3,283.6,322.8,-12.1,25.1,24.8,1.2,32.3,36.1,-10.5,13.6,14.2,-4.2,108.7,113.5,-4.2,4.2,3.8,10.5,0.8,1.3,-38.5,21850.6,21849.1,0.0,715.0,713.3,0.2,1382.4,1261.0,9.6,945.0,908.5,4.0,101.6,106.6,-4.7,310.2,295.4,5.0,341.6,345.6,-1.2,136.6,130.6,4.6,104.2,103.3,0.9,203.3,198.1,2.6,276.3,266.8,3.6,136.0,131.6,3.3,256.9,245.0,4.9,190.8,212.0,-10.0,1413.2,1401.4,0.8,3024.5,3242.5,-6.7,56.4,55.9,0.9,599.2,581.1,3.1,1174.0,1282.1,-8.4,337.4,361.6,-6.7,225.5,224.6,0.4,609.8,599.1,1.8,1170.9,1153.9,1.5,1218.1,1213.7,0.4,1276.2,1408.7,-9.4,201.9,199.7,1.1,2598.9,2455.8,5.8,2307.4,2237.1,3.1,412.7,395.8,4.3,52.3,47.8,9.4,57.2,55.6,2.9,15.4,14.9,3.4,411.2,402.4,2.2,66.6,56.5,17.9,205.5,204.9,0.3,139.1,141.1,-1.4
2024年8月,19943.7,19943.5,0.0,414.4,450.3,-8.0,253.1,280.3,-9.7,22.3,22.0,1.4,28.9,31.5,-8.3,11.6,12.2,-4.9,94.2,99.7,-5.5,3.6,3.3,9.1,0.7,1.2,-41.7,19169.0,19138.3,0.2,627.9,627.0,0.1,1221.2,1109.9,10.0,822.2,788.0,4.3,88.6,93.9,-5.6,272.6,258.9,5.3,302.8,302.7,0.0,120.6,113.6,6.2,91.9,90.7,1.3,178.3,173.3,2.9,243.6,230.9,5.5,118.9,115.0,3.4,225.4,214.0,5.3,170.6,185.9,-8.2,1248.4,1234.5,1.1,2623.3,2882.3,-9.0,49.1,49.3,-0.4,525.8,507.9,3.5,1031.0,1119.3,-7.9,299.4,318.5,-6.0,199.0,197.3,0.9,535.2,523.7,2.2,1032.3,1012.6,1.9,1076.7,1065.7,1.0,1132.4,1237.0,-8.5,176.5,172.9,2.1,2263.1,2115.7,7.0,2019.5,1947.7,3.7,362.6,346.3,4.7,46.1,41.7,10.6,50.7,48.8,3.9,13.2,13.2,0.0,360.3,354.9,1.5,58.1,49.4,17.6,180.2,181.3,-0.6,122.0,124.2,-1.8
2024年7月,17493.4,17431.2,0.4,360.3,393.2,-8.4,220.0,245.8,-10.5,19.5,19.0,2.6,25.2,27.6,-8.7,10.0,10.6,-5.7,81.9,86.2,-5.0,3.2,2.9,10.3,0.6,1.0,-40.0,16817.7,16728.1,0.5,548.4,546.7,0.3,1067.9,969.5,10.1,720.8,687.5,4.8,78.0,81.9,-4.8,237.6,225.3,5.5,265.4,264.7,0.3,102.9,97.5,5.5,80.2,79.3,1.1,157.0,150.0,4.7,213.1,200.7,6.2,103.2,100.6,2.6,195.4,187.1,4.4,150.2,163.9,-8.4,1093.7,1081.4,1.1,2321.2,2567.9,-9.6,43.7,42.5,2.8,457.7,440.4,3.9,901.0,975.4,-7.6,262.7,279.1,-5.9,173.9,172.8,0.6,465.9,455.6,2.3,903.7,882.9,2.4,941.6,929.9,1.3,1012.5,1063.7,-4.8,155.4,149.2,4.2,1980.4,1831.0,8.2,1773.0,1711.4,3.6,315.3,300.6,4.9,39.8,36.3,9.6,44.7,42.1,6.2,11.5,11.3,1.8,315.4,309.9,1.8,51.4,43.2,19.0,158.0,158.5,-0.3,106.0,108.3,-2.1
