时间,农村居民消费价格指数(上年同月=100),食品烟酒类农村居民消费价格指数(上年同月=100),衣着类农村居民消费价格指数(上年同月=100),居住类农村居民消费价格指数(上年同月=100),生活用品及服务类农村居民消费价格指数(上年同月=100),交通通信类农村居民消费价格指数(上年同月=100),教育文化娱乐类农村居民消费价格指数(上年同月=100),医疗保健类农村居民消费价格指数(上年同月=100),其他用品及服务类农村居民消费价格指数(上年同月=100)
2025年6月,99.8,99.5,100.9,99.8,101.0,96.5,101.0,101.1,107.1
2025年5月,99.6,99.5,100.8,99.8,100.3,95.9,100.9,100.9,106.4
2025年4月,99.7,99.7,100.9,99.7,100.4,96.4,100.9,100.4,106.1
2025年3月,99.7,98.9,101.0,99.7,100.8,97.7,101.1,100.4,105.8
2025年2月,99.3,97.9,100.9,99.7,99.1,98.2,100.7,100.5,105.8
2025年1月,100.3,100.3,100.8,99.8,98.6,99.4,101.3,100.8,104.9
2024年9月,100.6,102.4,100.9,99.9,100.3,96.4,101.0,101.4,103.2
2024年8月,100.8,102.0,100.9,100.1,100.5,97.8,101.7,101.5,103.2
2024年7月,100.7,100.4,100.8,100.2,101.0,99.8,101.8,101.6,104.0
2024年6月,100.4,99.0,100.9,100.4,101.3,100.1,101.7,101.6,104.1
2024年12月,100.0,99.9,100.8,99.8,99.2,98.1,101.2,101.0,104.6
2024年11月,100.2,100.9,100.6,99.8,99.8,96.7,101.3,101.2,104.7
2024年10月,100.3,102.1,100.7,99.8,100.4,95.6,101.1,101.3,104.1
