时间,居民消费价格指数(上月=100),食品烟酒类居民消费价格指数(上月=100),衣着类居民消费价格指数(上月=100),居住类居民消费价格指数(上月=100),生活用品及服务类居民消费价格指数(上月=100),交通通信类居民消费价格指数(上月=100),教育文化娱乐类居民消费价格指数(上月=100),医疗保健类居民消费价格指数(上月=100),其他用品及服务类居民消费价格指数(上月=100),非食品居民消费价格指数(上月=100),消费品居民消费价格指数(上月=100),服务居民消费价格指数(上月=100),不包括食品和能源居民消费价格指数(上月=100)
2025年6月,99.9,99.7,99.9,100.0,100.2,100.0,99.9,100.1,100.5,100.0,99.9,100.0,100.0
2025年5月,99.8,99.8,100.6,100.0,99.2,98.8,100.1,100.1,100.7,99.8,99.7,100.0,100.0
2025年4月,100.1,100.2,99.9,100.0,100.0,99.7,100.4,100.2,102.4,100.1,100.0,100.3,100.2
2025年3月,99.6,99.1,100.7,100.0,101.3,98.6,99.2,100.0,100.4,99.8,99.6,99.6,100.0
2025年2月,99.8,99.8,99.9,100.0,99.9,99.6,99.5,100.0,100.7,99.9,100.0,99.5,99.8
2025年1月,100.7,100.9,99.6,100.0,100.7,101.7,101.5,100.0,101.6,100.6,100.6,100.9,100.5
2024年9月,100.0,100.5,100.8,99.9,100.0,98.7,99.7,100.0,100.0,99.8,100.2,99.7,99.9
2024年8月,100.4,102.2,99.8,100.0,99.3,98.9,99.9,100.0,99.4,99.7,100.7,99.9,99.8
2024年7月,100.5,100.7,99.6,100.0,100.4,100.9,101.3,100.0,100.9,100.4,100.4,100.6,100.3
2024年6月,99.8,99.6,99.8,100.1,99.6,99.4,99.8,100.1,99.8,99.8,99.6,100.0,99.9
2024年12月,100.0,99.7,100.2,100.1,100.3,100.3,100.0,99.9,100.0,100.1,99.9,100.1,100.2
2024年11月,99.4,98.3,100.6,100.0,99.4,99.9,99.3,100.0,99.9,99.9,99.3,99.7,99.9
2024年10月,99.7,99.2,100.0,100.0,100.1,99.3,100.2,100.0,101.1,100.0,99.6,100.0,100.0
