时间,木质家具制造工业生产者出厂价格指数(上年同月=100),竹、藤家具制造工业生产者出厂价格指数(上年同月=100),金属家具制造工业生产者出厂价格指数(上年同月=100),塑料家具制造工业生产者出厂价格指数(上年同月=100),其他家具制造工业生产者出厂价格指数(上年同月=100)
2025年6月,100.0,101.3,98.5,99.5,99.1
2025年5月,100.2,101.5,98.5,99.5,99.1
2025年4月,100.4,101.4,99.0,99.5,99.2
2025年3月,100.5,101.1,99.5,99.5,99.3
2025年2月,100.5,101.1,99.5,99.5,98.3
2025年1月,100.4,101.2,99.7,99.5,97.7
2024年12月,100.7,101.4,99.0,99.5,97.5
2024年11月,100.9,100.6,99.4,99.2,97.2
2024年10月,101.0,100.1,100.0,98.9,97.3
2024年9月,100.9,99.8,99.9,99.5,97.3
2024年8月,101.2,100.3,99.7,99.5,98.4
2024年7月,101.0,98.2,99.6,99.5,98.4
2024年6月,101.0,98.8,100.4,99.5,99.1
