时间,城市居民消费价格指数(上月=100),食品烟酒类城市居民消费价格指数(上月=100),衣着类城市居民消费价格指数(上月=100),居住类城市居民消费价格指数(上月=100),生活用品及服务类城市居民消费价格指数(上月=100),交通通信类城市居民消费价格指数(上月=100),教育文化娱乐类城市居民消费价格指数(上月=100),医疗保健类城市居民消费价格指数(上月=100),其他用品及服务类城市居民消费价格指数(上月=100)
2025年6月,99.9,99.7,99.9,100.1,100.2,99.9,99.9,100.1,100.4
2025年5月,99.8,99.9,100.6,100.0,99.2,98.8,100.1,100.0,100.8
2025年4月,100.2,100.2,99.9,100.0,100.0,99.8,100.5,100.2,102.5
2025年3月,99.6,99.2,100.7,100.0,101.1,98.5,99.0,100.0,100.3
2025年2月,99.8,99.8,100.0,100.0,99.8,99.5,99.4,100.0,100.8
2025年1月,100.8,101.0,99.6,100.0,100.7,101.8,101.8,99.9,101.6
2024年9月,99.9,100.5,100.8,99.9,100.0,98.7,99.5,100.0,100.0
2024年8月,100.3,102.1,99.8,100.0,99.3,98.8,99.8,100.0,99.5
2024年7月,100.6,100.7,99.7,100.1,100.4,101.0,101.5,100.0,101.0
2024年6月,99.8,99.6,99.7,100.1,99.6,99.4,99.8,100.1,99.7
2024年12月,100.0,99.7,100.2,100.1,100.3,100.3,100.1,99.9,100.0
2024年11月,99.4,98.4,100.6,100.0,99.4,99.8,99.1,100.0,99.8
2024年10月,99.7,99.2,100.0,100.0,100.1,99.3,100.3,100.0,101.2
