时间,商品住宅销售面积_累计值,商品住宅销售面积_累计增长,商品住宅现房销售面积_累计值,商品住宅现房销售面积_累计增长,商品住宅期房销售面积_累计值,商品住宅期房销售面积_累计增长
2025年5月,29745.37,-2.6,9602.4,17.2,20142.97,-9.9
2025年4月,23853.23,-2.1,7749.06,18.2,16104.18,-9.6
2025年3月,18481.2548,-2.0,6044.6784,19.2,12436.5764,-9.7
2025年2月,9206.9941,-3.4,2960.8305,17.4,6246.1636,-10.8
2024年12月,81449.6222,-14.1,21967.0071,23.4,59482.6151,-22.8
2024年11月,72223.7569,-16.0,19114.9497,22.2,53108.8072,-24.5
2024年10月,65367.916,-17.7,17349.8668,21.4,48018.0492,-26.2
2024年9月,58787.8566,-19.2,15615.8162,20.2,43172.0404,-27.8
2024年8月,50811.854,-20.4,13436.1619,21.0,37375.6921,-29.1
2024年7月,45400.6116,-21.1,12066.3229,22.5,33334.2887,-30.2
2024年6月,40114.1805,-21.9,10703.4665,23.3,29410.714,-31.1
