时间,水泥、石灰和石膏制造工业生产者出厂价格指数(上年同月=100),石膏、水泥制品及类似制品制造工业生产者出厂价格指数(上年同月=100),砖瓦、石材等建筑材料制造工业生产者出厂价格指数(上年同月=100),玻璃制造工业生产者出厂价格指数(上年同月=100),玻璃制品制造工业生产者出厂价格指数(上年同月=100),玻璃纤维和玻璃纤维增强塑料制品制造工业生产者出厂价格指数(上年同月=100),陶瓷制品制造工业生产者出厂价格指数(上年同月=100),耐火材料制品制造工业生产者出厂价格指数(上年同月=100),石墨及其他非金属矿物制品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,96.5,94.2,96.3,87.0,95.6,99.9,97.5,96.8,98.8
2025年5月,104.0,94.7,96.4,87.1,95.9,102.6,97.3,97.2,98.3
2025年4月,106.2,94.3,96.5,86.4,96.2,103.1,97.2,97.9,97.7
2025年3月,103.3,93.6,96.6,83.9,96.4,103.0,96.5,98.0,96.0
2025年2月,103.6,93.6,96.1,83.8,96.9,102.3,96.8,97.9,94.8
2025年1月,105.5,94.0,96.8,84.3,95.5,102.0,97.0,98.1,94.3
2024年9月,98.5,92.7,95.7,84.5,95.7,99.0,96.7,98.9,92.3
2024年8月,96.8,92.4,96.2,88.9,97.5,98.1,96.5,100.3,92.4
2024年7月,92.9,92.3,96.1,93.1,97.4,97.8,97.3,100.0,92.6
2024年6月,87.1,91.9,95.6,92.6,98.0,97.3,97.5,101.4,90.9
2024年12月,106.6,94.0,96.1,85.3,95.0,100.4,97.1,97.9,93.1
2024年11月,106.7,93.5,96.3,84.3,94.8,99.1,96.2,98.9,91.6
2024年10月,102.1,93.0,95.4,82.0,95.1,98.5,96.5,99.0,91.1
