时间,活猪（中等）集贸市场价格_当期值,活猪（中等）集贸市场价格_环比增长,活猪（中等）集贸市场价格_同比增长,仔猪（普通）集贸市场价格_当期值,仔猪（普通）集贸市场价格_环比增长,仔猪（普通）集贸市场价格_同比增长,猪肉（去骨统肉）集贸市场价格_当期值,猪肉（去骨统肉）集贸市场价格_环比增长,猪肉（去骨统肉）集贸市场价格_同比增长,活牛（中等）集贸市场价格_当期值,活牛（中等）集贸市场价格_环比增长,活牛（中等）集贸市场价格_同比增长,牛肉（去骨统肉）集贸市场价格_当期值,牛肉（去骨统肉）集贸市场价格_环比增长,牛肉（去骨统肉）集贸市场价格_同比增长,活羊（中等）集贸市场价格_当期值,活羊（中等）集贸市场价格_环比增长,活羊（中等）集贸市场价格_同比增长,羊肉（去骨统肉）集贸市场价格_当期值,羊肉（去骨统肉）集贸市场价格_环比增长,羊肉（去骨统肉）集贸市场价格_同比增长,活鸡（普通肉鸡）集贸市场价格_当期值,活鸡（普通肉鸡）集贸市场价格_环比增长,活鸡（普通肉鸡）集贸市场价格_同比增长,鸡蛋（普通鲜蛋）集贸市场价格_当期值,鸡蛋（普通鲜蛋）集贸市场价格_环比增长,鸡蛋（普通鲜蛋）集贸市场价格_同比增长
2025年6月,15.28505,-1.69342728,-14.56601178,36.32105647,-3.17901899,-10.59368279,24.67047276,-1.40993677,-11.38842993,27.81674286,-0.13379283,4.06201651,69.28735632,0.34005901,3.21066375,30.68557407,-0.35635531,-3.61496991,68.28837696,0.08393351,-3.94165382,21.22243719,-0.70814187,-2.24927398,9.00213942,-4.76114989,-10.56655613
2025年5月,15.54835,-2.34429957,-4.08142986,37.51362162,-1.75523534,0.52614903,25.02328526,-1.81912041,-0.35552483,27.85400952,0.83855397,2.23457849,69.05253695,0.94089174,-0.58299991,30.79531481,-0.22211276,-3.57996093,68.2311082,-0.22104672,-4.72915271,21.37379397,-0.39536938,-1.9893055,9.45217147,-3.79798761,-8.44179544
2025年4月,15.9216,-0.27528021,2.51753897,38.18383784,1.69691368,7.38126894,25.48692308,-0.79064488,4.83516732,27.62238095,3.83948496,-2.29531514,68.40888342,3.81385824,-5.74342556,30.8638674,-0.11196531,-5.85666763,68.38226496,-0.27715453,-6.21077511,21.45863484,-0.63951826,-1.13317389,9.82533654,0.34468367,1.10468604
2025年3月,15.96555,-2.96017493,3.02691639,37.5467027,2.67769331,11.941567,25.69004006,-3.08798299,4.91086802,26.6010381,3.57845326,-10.70458945,65.89571429,2.33524494,-12.87695714,30.89846296,-0.77344323,-8.75669101,68.57231624,-0.72059822,-7.9457436,21.59675,-0.57656622,-1.79801243,9.79158654,-3.67989936,-3.23682593
2025年2月,16.452575,-4.43795417,8.55245044,36.56753623,2.05717318,17.38329985,26.50862179,-4.71623908,7.71815789,25.68201905,-0.15203364,-17.00975357,64.39200328,-1.06254737,-17.11634668,31.13930783,-1.44268977,-10.80173832,69.07003367,-1.45747326,-8.93588971,21.72199167,-2.78740433,-1.84235187,10.16567308,-10.84606743,-2.90410611
2025年1月,17.21664167,0.22001584,12.43642193,35.83044199,2.19481536,23.5035629,27.82071314,1.15835151,13.8646966,25.72112381,-0.00816537,-18.50630146,65.0835468,0.59395086,-17.24664994,31.5951275,1.07671912,-10.26761281,70.0916,0.55126718,-8.03020428,22.3448325,3.10906703,0.99920783,11.40238325,0.80873186,2.51921199
2024年9月,19.28,-5.0246305419,15.1044776119,39.55,-7.2467166979,17.2546694337,30.62,-2.4530105129,17.3180076628,26.85,-0.0372300819,-19.9701937407,66.93,0.0597996711,-17.5129405965,31.48,0.1909611712,-11.0231769361,70.69,-0.211744777,-8.975019315,21.94,0.4118993135,-2.2281639929,11.74,1.2068965517,-7.5590551181
2024年8月,20.3,7.3506081438,19.5524146054,42.64,2.5493025493,20.5882352941,31.39,7.8323600137,20.7772220085,26.86,1.5885022693,-19.4361127774,66.89,0.6318639988,-16.9584109249,31.42,0.5118362124,-11.1676562058,70.84,0.2263723826,-8.9811126815,21.85,0.0916170408,-1.0864644636,11.6,6.5197428834,-5.2287581699
2024年7月,18.91,5.701509223,28.377460964,41.58,2.3633677991,22.8723404255,29.11,4.5617816092,27.5635407537,26.44,-1.0849233071,-19.2178429575,66.47,-0.9831669894,-17.0990271888,31.26,-1.7907634307,-11.2436115843,70.68,-0.5767337178,-9.1866889374,21.83,0.5527406725,0.5527406725,10.89,8.142999007,-2.2441651706
2024年6月,17.89,10.3639728563,21.9495569189,40.62,8.8716161887,13.5271101174,27.84,10.8721624851,21.5189873418,26.73,-1.9082568807,-20.1135684399,67.13,-3.3544486035,-17.8536465981,31.83,-0.2819548872,-10.9151973132,71.09,-0.7400167551,-9.5316874523,21.71,-0.4585052728,0.0,10.07,-2.4224806202,-7.868252516
