时间,邮政行业业务收入_当期值,邮政行业业务收入_累计值,邮政行业业务收入_同比增长,邮政行业业务收入_累计增长,快递业务收入_当期值,快递业务收入_累计值,快递业务收入_同比增长,快递业务收入_累计增长,电信业务收入_当期值,电信业务收入_累计值,电信业务收入_同比增长,电信业务收入_累计增长,同城快递业务收入_当期值,同城快递业务收入_累计值,同城快递业务收入_同比增长,同城快递业务收入_累计增长,异地快递业务收入_当期值,异地快递业务收入_累计值,异地快递业务收入_同比增长,异地快递业务收入_累计增长,国际及港澳台快递业务收入_当期值,国际及港澳台快递业务收入_累计值,国际及港澳台快递业务收入_同比增长,国际及港澳台快递业务收入_累计增长
2025年5月,1496.12465542,7187.29362372,7.5311613187,7.9751003779,1255.46841966,5924.60127266,8.2397240556,10.3042198966,1502.58,7488.04,2.69,1.37,66.06324772,304.08836889,6.5901016051,1.8964977632,624.19486203,2925.87974148,6.7983528034,7.7846492912,106.1456284,562.91714575,-5.6822301297,1.494862766
2025年4月,1447.21612418,5691.1689683,9.5188339648,8.0924145661,1212.75664378,4669.132853,10.8154830964,10.8728398152,1516.547,5985.46,1.98,1.04,60.80002136,238.02512117,3.5104474508,0.6661996635,598.41376941,2301.68487945,8.4468648129,8.0552713635,119.48972741,456.77151735,3.6093003296,3.3219133933
2025年3月,1525.23656993,4243.95284412,7.8293487143,7.6144542106,1245.95567145,3456.37620922,10.428999294,10.8929789385,1518.93,4468.91,0.31,0.72,65.50867221,177.22509981,0.708600444,-0.2738928877,607.62409774,1703.27111004,8.1666730763,7.918362501,125.72321907,337.28178994,7.1575113329,3.2204821284
2025年2月,1226.16853106,2718.71627419,24.9281478881,7.4942701249,990.86575097,2210.42053777,30.4226417501,11.1562343462,1467.79,2949.98,0.63,0.94,49.68722816,111.7164276,14.8127146013,-0.8411452461,490.59025384,1095.6470123,30.856371027,7.7811452015,91.33436965,211.55857087,-2.9212931569,1.0149343454
2025年1月,1492.54774313,1492.54774313,-3.5618899923,-3.5618899923,1219.5547868,1219.5547868,-0.755321182,-0.755321182,,,,,62.02919944,62.02919944,-10.6044318529,-10.6044318529,605.05675846,605.05675846,-5.70159686,-5.70159686,120.22420122,120.22420122,4.2254311707,4.2254311707
2024年9月,1428.37436619,12196.4973789,9.474152814,10.7433996743,1187.91766734,9966.86604713,10.2635905298,14.1461762038,1419.84,13151.59,1.74,2.63,66.30724694,552.64094864,6.1053514506,8.6822112838,591.37152033,5000.62274926,8.1314297607,11.3705225798,125.48058772,1037.8264509,2.770965746,7.0817121752
2024年8月,1370.1,10768.1,11.7,10.9,1141.2,8778.9,12.9,14.7,1377.4,11731.8,1.2,2.7,61.0,486.3,3.3,9.0,555.9,4409.3,8.8,11.8,123.7,912.3,3.1,7.7
2024年7月,1334.37847451,9398.01513012,11.7100097147,10.7954623408,1107.71970384,7637.76621363,14.0790710912,14.9725469741,1413.53,10354.34,2.57,2.95,60.81712332,425.33452422,7.6462647227,9.9121355253,556.61093955,3853.38744776,11.8555840139,12.2727977839,121.43743056,788.63120181,6.8712377981,8.4706631015
2024年6月,1407.20049712,8063.63665561,6.2948721153,10.6455642152,1158.89998592,6530.04650979,8.6238681291,15.1255013827,1553.61,8940.81,0.04,3.01,66.08872517,364.5174009,2.7129616078,10.2994978003,582.21579783,3296.77650821,5.6872419198,12.3435453201,112.56752672,667.19377125,-4.5617366107,8.7669419359
2024年12月,1620.4392792,16926.06630966,11.8512378725,10.6786758881,1378.89057811,14033.53592067,13.5862252314,13.7835172269,1416.14,17363.53,10.63,3.17,73.09450683,760.77724521,3.2540441631,7.0517338332,664.63987869,6934.5592819,10.8726906008,10.7841627073,166.15219826,1492.09639242,9.4868935744,6.6483735092
2024年11月,1659.19377296,15305.62703046,11.1521086198,10.5559718494,1429.90104853,12654.64534256,12.7793666274,13.8050562093,1412.85,15947.39,2.41,2.56,70.29846355,687.68273838,-0.5432720104,7.4718833605,653.1564917,6269.91940321,4.0505397032,10.7747866359,153.29383568,1325.94419416,-0.4388548002,6.3030260163
2024年10月,1449.9358786,13646.4332575,8.3485048075,10.483926615,1257.8782469,11224.74429403,12.3068018986,13.9370583043,1382.94,14534.54,2.03,2.57,64.74332619,617.38427483,6.6660503672,8.4672120565,616.14016225,5616.76291151,13.6260620744,11.6135654517,134.82390758,1172.65035848,8.5850711227,7.2524375628
