时间,铁矿石原矿产量_当期值,铁矿石原矿产量_累计值,铁矿石原矿产量_同比增长,铁矿石原矿产量_累计增长
2025年6月,8896.60468,50859.79914,-8.4,-9.1
2025年5月,8578.7,41432.0,-3.6,-10.1
2025年4月,8469.6,32859.6,-4.9,-12.2
2025年3月,8352.6844,24399.69405,-14.7,-14.6
2025年2月,,15835.3,,-12.6
2024年9月,8277.78676,78137.99863,-4.5,3.0
2024年8月,7363.73225,69649.58426,-16.0,4.1
2024年7月,7021.93195,62276.58992,-20.9,7.0
2024年6月,9661.65165,55410.10138,9.9,13.2
2024年12月,8485.55042,104193.49629,-5.8,1.2
2024年11月,8115.23459,95226.27759,-9.3,1.9
2024年10月,8644.81494,87154.42133,-4.1,2.8
