时间,居民消费价格指数(上年同月=100),食品烟酒类居民消费价格指数(上年同月=100),衣着类居民消费价格指数(上年同月=100),居住类居民消费价格指数(上年同月=100),生活用品及服务类居民消费价格指数(上年同月=100),交通通信类居民消费价格指数(上年同月=100),教育文化娱乐类居民消费价格指数(上年同月=100),医疗保健类居民消费价格指数(上年同月=100),其他用品及服务类居民消费价格指数(上年同月=100),非食品居民消费价格指数(上年同月=100),消费品居民消费价格指数(上年同月=100),服务居民消费价格指数(上年同月=100),不包括食品和能源居民消费价格指数(上年同月=100)
2025年6月,100.1,100.1,101.6,100.1,100.7,96.3,101.0,100.4,108.1,100.1,99.8,100.5,100.7
2025年5月,99.9,100.1,101.5,100.1,100.1,95.7,100.9,100.3,107.3,100.0,99.5,100.5,100.6
2025年4月,99.9,100.3,101.3,100.1,100.2,96.1,100.7,100.2,106.6,100.0,99.7,100.3,100.5
2025年3月,99.9,99.4,101.3,100.1,100.6,97.4,100.8,100.1,106.2,100.2,99.6,100.3,100.5
2025年2月,99.3,98.1,101.2,100.1,99.3,97.5,99.5,100.2,106.5,99.9,99.1,99.6,99.9
2025年1月,100.5,100.6,101.1,100.1,98.9,99.4,101.7,100.7,105.4,100.5,100.1,101.1,100.6
2024年9月,100.4,102.3,101.3,99.9,100.1,95.9,100.6,101.2,103.5,99.8,100.5,100.2,100.1
2024年8月,100.6,102.1,101.4,100.0,100.2,97.3,101.3,101.3,103.4,100.2,100.7,100.5,100.3
2024年7月,100.5,100.2,101.5,100.1,100.7,99.4,101.7,101.4,104.0,100.7,100.5,100.6,100.4
2024年6月,100.2,98.9,101.5,100.2,100.9,99.7,101.7,101.5,104.0,100.8,99.9,100.7,100.6
2024年12月,100.1,100.0,101.2,100.1,99.3,97.8,100.9,100.9,104.9,100.2,99.8,100.5,100.4
2024年11月,100.2,100.9,101.1,99.9,99.7,96.4,101.0,101.1,105.2,100.0,100.0,100.4,100.3
2024年10月,100.3,102.0,101.1,99.9,100.1,95.2,100.8,101.1,104.7,99.7,100.2,100.4,100.2
