时间,城市居民消费价格指数(上年同期=100),食品烟酒类城市居民消费价格指数(上年同期=100),衣着类城市居民消费价格指数(上年同期=100),居住类城市居民消费价格指数(上年同期=100),生活用品及服务类城市居民消费价格指数(上年同期=100),交通通信类城市居民消费价格指数(上年同期=100),教育文化娱乐类城市居民消费价格指数(上年同期=100),医疗保健类城市居民消费价格指数(上年同期=100),其他用品及服务类城市居民消费价格指数(上年同期=100)
2025年6月,100.0,99.9,101.4,100.2,100.0,97.0,100.7,100.2,106.8
2025年5月,100.0,99.8,101.4,100.2,99.8,97.1,100.7,100.2,106.5
2025年4月,100.0,99.7,101.3,100.2,99.8,97.5,100.6,100.2,106.3
2025年3月,99.9,99.4,101.3,100.2,99.6,98.0,100.6,100.3,106.2
2025年2月,99.9,99.4,101.2,100.2,99.2,98.3,100.5,100.4,106.1
2025年1月,100.6,100.6,101.2,100.2,99.0,99.4,101.8,100.6,105.6
2024年12月,100.2,99.9,101.6,100.1,100.4,98.0,101.5,101.2,103.8
2024年11月,100.2,99.9,101.6,100.1,100.5,98.0,101.6,101.3,103.7
2024年10月,100.2,99.8,101.6,100.1,100.6,98.2,101.6,101.3,103.6
2024年9月,100.2,99.5,101.7,100.1,100.6,98.5,101.7,101.3,103.5
2024年8月,100.2,99.2,101.7,100.1,100.7,98.9,101.9,101.3,103.4
2024年7月,100.2,98.8,101.7,100.2,100.8,99.2,102.0,101.4,103.4
2024年6月,100.1,98.6,101.7,100.2,100.8,99.1,102.1,101.4,103.3
