时间,文教办公用品制造工业生产者出厂价格指数(上年同月=100),乐器制造工业生产者出厂价格指数(上年同月=100),工艺美术及礼仪用品制造工业生产者出厂价格指数(上年同月=100),体育用品制造工业生产者出厂价格指数(上年同月=100),玩具制造工业生产者出厂价格指数(上年同月=100),游艺器材及娱乐用品制造工业生产者出厂价格指数(上年同月=100)
2025年6月,99.1,98.3,113.1,100.7,99.4,98.3
2025年5月,99.0,98.2,112.8,100.0,99.0,97.7
2025年4月,98.7,98.5,112.2,100.2,99.1,98.3
2025年3月,98.0,96.4,112.3,100.3,99.1,99.0
2025年2月,98.6,98.3,112.5,100.4,99.3,99.5
2025年1月,99.1,97.4,110.5,100.8,99.5,100.3
2024年9月,98.9,100.5,107.5,99.1,99.1,100.8
2024年8月,99.4,101.2,107.8,99.3,99.4,101.6
2024年7月,100.0,100.6,107.4,99.8,99.1,101.0
2024年6月,100.3,102.2,107.9,99.4,99.8,100.3
2024年12月,98.7,100.0,110.2,99.8,99.5,100.8
2024年11月,98.4,99.7,109.7,99.9,99.1,101.5
2024年10月,98.1,100.1,109.6,99.4,98.5,100.3
