时间,红富士苹果（中等）集贸市场价格_当期值,红富士苹果（中等）集贸市场价格_环比增长,红富士苹果（中等）集贸市场价格_同比增长,香蕉（中等）集贸市场价格_当期值,香蕉（中等）集贸市场价格_环比增长,香蕉（中等）集贸市场价格_同比增长,橙子（中等）集贸市场价格_当期值,橙子（中等）集贸市场价格_环比增长,橙子（中等）集贸市场价格_同比增长
2025年6月,12.49507246,3.9939287,11.06629822,7.49504026,-7.07788998,12.21372293,10.88257576,4.59124637,7.50833569
2025年5月,12.01519417,3.98264106,6.84412446,8.06593851,-1.22704553,21.40521407,10.40486287,2.68771792,4.11209428
2025年4月,11.555,3.76224014,1.56043652,8.16614078,7.84682537,27.59594964,10.13252907,2.02596617,2.13233003
2025年3月,11.1360356,0.67326941,-4.08481464,7.57198068,2.88760084,13.70784792,9.93132381,-0.49479283,-2.33135938
2025年2月,11.06156149,-0.94726882,-5.53951365,7.3594686,2.04697721,10.40239672,9.98070764,-2.10310474,-4.57256114
2025年1月,11.16734628,2.16120543,-3.31788103,7.2118438,3.56585392,9.53404432,10.19512172,-0.72919247,-3.99926722
2024年9月,11.59,0.0,-5.387755102,7.74,3.3377837116,9.3220338983,11.57,3.3035714286,-10.8628659476
2024年8月,11.59,0.9581881533,-6.2297734628,7.49,6.0906515581,5.3445850914,11.2,3.8961038961,-12.1568627451
2024年7月,11.48,2.0444444444,-7.4193548387,7.06,5.6886227545,-0.8426966292,10.78,5.7899901865,-14.1035856574
2024年6月,11.25,0.0,-7.1782178218,6.68,0.6024096386,-11.6402116402,10.19,2.002002002,-17.1544715447
2024年12月,10.93110269,-0.1046174,-4.82230061,6.96353434,-3.98807366,3.26960827,10.27000986,-5.5343461,-8.67681714
2024年11月,10.94,-2.2341376229,-5.2813852814,7.25,-6.2095730918,7.0901033973,10.87,-5.5603822763,-8.2700421941
2024年10月,11.19,-3.4512510785,-4.9277824979,7.73,-0.1291989664,12.1915820029,11.51,-0.5185825411,-9.6546310832
