时间,工业企业平均用工人数_累计值,工业企业平均用工人数_上年同期累计值,工业企业平均用工人数_累计增长,采矿业平均用工人数_累计值,采矿业平均用工人数_上年同期累计值,采矿业平均用工人数_累计增长,煤炭开采和洗选业平均用工人数_累计值,煤炭开采和洗选业平均用工人数_上年同期累计值,煤炭开采和洗选业平均用工人数_累计增长,石油和天然气开采业平均用工人数_累计值,石油和天然气开采业平均用工人数_上年同期累计值,石油和天然气开采业平均用工人数_累计增长,黑色金属矿采选业平均用工人数_累计值,黑色金属矿采选业平均用工人数_上年同期累计值,黑色金属矿采选业平均用工人数_累计增长,有色金属矿采选业平均用工人数_累计值,有色金属矿采选业平均用工人数_上年同期累计值,有色金属矿采选业平均用工人数_累计增长,非金属矿采选业平均用工人数_累计值,非金属矿采选业平均用工人数_上年同期累计值,非金属矿采选业平均用工人数_累计增长,开采专业及辅助性活动平均用工人数_累计值,开采专业及辅助性活动平均用工人数_上年同期累计值,开采专业及辅助性活动平均用工人数_累计增长,其他采矿业平均用工人数_累计值,其他采矿业平均用工人数_上年同期累计值,其他采矿业平均用工人数_累计增长,制造业平均用工人数_累计值,制造业平均用工人数_上年同期累计值,制造业平均用工人数_累计增长,农副食品加工业平均用工人数_累计值,农副食品加工业平均用工人数_上年同期累计值,农副食品加工业平均用工人数_累计增长,食品制造业平均用工人数_累计值,食品制造业平均用工人数_上年同期累计值,食品制造业平均用工人数_累计增长,酒、饮料和精制茶制造业平均用工人数_累计值,酒、饮料和精制茶制造业平均用工人数_上年同期累计值,酒、饮料和精制茶制造业平均用工人数_累计增长,烟草制品业平均用工人数_累计值,烟草制品业平均用工人数_上年同期累计值,烟草制品业平均用工人数_累计增长,纺织业平均用工人数_累计值,纺织业平均用工人数_上年同期累计值,纺织业平均用工人数_累计增长,纺织服装、服饰业平均用工人数_累计值,纺织服装、服饰业平均用工人数_上年同期累计值,纺织服装、服饰业平均用工人数_累计增长,皮革、毛皮、羽毛及其制品和制鞋业平均用工人数_累计值,皮革、毛皮、羽毛及其制品和制鞋业平均用工人数_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业平均用工人数_累计增长,木材加工和木、竹、藤、棕、草制品业平均用工人数_累计值,木材加工和木、竹、藤、棕、草制品业平均用工人数_上年同期累计值,木材加工和木、竹、藤、棕、草制品业平均用工人数_累计增长,家具制造业平均用工人数_累计值,家具制造业平均用工人数_上年同期累计值,家具制造业平均用工人数_累计增长,造纸和纸制品业平均用工人数_累计值,造纸和纸制品业平均用工人数_上年同期累计值,造纸和纸制品业平均用工人数_累计增长,印刷和记录媒介复制业平均用工人数_累计值,印刷和记录媒介复制业平均用工人数_上年同期累计值,印刷和记录媒介复制业平均用工人数_累计增长,文教、工美、体育和娱乐用品制造业平均用工人数_累计值,文教、工美、体育和娱乐用品制造业平均用工人数_上年同期累计值,文教、工美、体育和娱乐用品制造业平均用工人数_累计增长,石油、煤炭及其他燃料加工业平均用工人数_累计值,石油、煤炭及其他燃料加工业平均用工人数_上年同期累计值,石油、煤炭及其他燃料加工业平均用工人数_累计增长,化学原料和化学制品制造业平均用工人数_累计值,化学原料和化学制品制造业平均用工人数_上年同期累计值,化学原料和化学制品制造业平均用工人数_累计增长,医药制造业平均用工人数_累计值,医药制造业平均用工人数_上年同期累计值,医药制造业平均用工人数_累计增长,化学纤维制造业平均用工人数_累计值,化学纤维制造业平均用工人数_上年同期累计值,化学纤维制造业平均用工人数_累计增长,橡胶和塑料制品业平均用工人数_累计值,橡胶和塑料制品业平均用工人数_上年同期累计值,橡胶和塑料制品业平均用工人数_累计增长,非金属矿物制品业平均用工人数_累计值,非金属矿物制品业平均用工人数_上年同期累计值,非金属矿物制品业平均用工人数_累计增长,黑色金属冶炼和压延加工业平均用工人数_累计值,黑色金属冶炼和压延加工业平均用工人数_上年同期累计值,黑色金属冶炼和压延加工业平均用工人数_累计增长,有色金属冶炼和压延加工业平均用工人数_累计值,有色金属冶炼和压延加工业平均用工人数_上年同期累计值,有色金属冶炼和压延加工业平均用工人数_累计增长,金属制品业平均用工人数_累计值,金属制品业平均用工人数_上年同期累计值,金属制品业平均用工人数_累计增长,通用设备制造业平均用工人数_累计值,通用设备制造业平均用工人数_上年同期累计值,通用设备制造业平均用工人数_累计增长,专用设备制造业平均用工人数_累计值,专用设备制造业平均用工人数_上年同期累计值,专用设备制造业平均用工人数_累计增长,汽车制造业平均用工人数_累计值,汽车制造业平均用工人数_上年同期累计值,汽车制造业平均用工人数_累计增长,铁路、船舶、航空航天和其他运输设备制造业平均用工人数_累计值,铁路、船舶、航空航天和其他运输设备制造业平均用工人数_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业平均用工人数_累计增长,电气机械和器材制造业平均用工人数_累计值,电气机械和器材制造业平均用工人数_上年同期累计值,电气机械和器材制造业平均用工人数_累计增长,计算机、通信和其他电子设备制造业平均用工人数_累计值,计算机、通信和其他电子设备制造业平均用工人数_上年同期累计值,计算机、通信和其他电子设备制造业平均用工人数_累计增长,仪器仪表制造业平均用工人数_累计值,仪器仪表制造业平均用工人数_上年同期累计值,仪器仪表制造业平均用工人数_累计增长,其他制造业平均用工人数_累计值,其他制造业平均用工人数_上年同期累计值,其他制造业平均用工人数_累计增长,废弃资源综合利用业平均用工人数_累计值,废弃资源综合利用业平均用工人数_上年同期累计值,废弃资源综合利用业平均用工人数_累计增长,金属制品、机械和设备修理业平均用工人数_累计值,金属制品、机械和设备修理业平均用工人数_上年同期累计值,金属制品、机械和设备修理业平均用工人数_累计增长,电力、热力、燃气及水生产和供应业平均用工人数_累计值,电力、热力、燃气及水生产和供应业平均用工人数_上年同期累计值,电力、热力、燃气及水生产和供应业平均用工人数_累计增长,电力、热力生产和供应业平均用工人数_累计值,电力、热力生产和供应业平均用工人数_上年同期累计值,电力、热力生产和供应业平均用工人数_累计增长,燃气生产和供应业平均用工人数_累计值,燃气生产和供应业平均用工人数_上年同期累计值,燃气生产和供应业平均用工人数_累计增长,水的生产和供应业平均用工人数_累计值,水的生产和供应业平均用工人数_上年同期累计值,水的生产和供应业平均用工人数_累计增长
2025年5月,7319.2,7353.0,-0.5,393.4,400.6,-1.8,251.9,256.5,-1.8,49.4,50.2,-1.6,22.7,23.9,-5.0,23.7,23.6,0.4,23.1,24.1,-4.1,22.5,22.3,0.9,0.1,0.1,0.0,6590.5,6609.7,-0.3,236.7,241.1,-1.8,163.8,164.9,-0.7,93.7,95.4,-1.8,15.6,16.2,-3.7,245.5,247.3,-0.7,200.1,204.8,-2.3,135.2,138.4,-2.3,74.7,79.1,-5.6,87.2,91.9,-5.1,89.8,90.1,-0.3,75.3,76.7,-1.8,142.2,142.4,-0.1,68.6,72.1,-4.9,331.0,330.8,0.1,200.4,203.2,-1.4,43.2,43.5,-0.7,283.8,280.8,1.1,377.1,404.0,-6.7,174.6,179.5,-2.7,148.6,150.4,-1.2,357.4,359.9,-0.7,424.9,421.1,0.9,347.7,346.1,0.5,481.9,464.2,3.8,115.6,111.8,3.4,606.0,603.0,0.5,890.2,872.9,2.0,100.7,100.0,0.7,27.3,27.7,-1.4,24.2,24.2,0.0,27.4,26.4,3.8,335.4,342.6,-2.1,242.8,248.1,-2.1,37.4,38.1,-1.8,55.3,56.4,-2.0
2025年4月,7315.1,7331.5,-0.2,393.1,401.2,-2.0,251.5,257.1,-2.2,49.7,50.4,-1.4,22.8,23.8,-4.2,23.6,23.6,0.0,23.1,24.0,-3.8,22.5,22.2,1.4,0.1,0.1,0.0,6586.1,6585.9,0.0,237.1,241.7,-1.9,163.6,164.7,-0.7,93.7,95.4,-1.8,15.6,16.1,-3.1,244.7,246.1,-0.6,199.9,203.8,-1.9,135.4,137.5,-1.5,74.9,78.9,-5.1,87.5,92.2,-5.1,89.9,89.9,0.0,75.2,76.6,-1.8,141.2,140.5,0.5,68.8,71.9,-4.3,331.2,330.7,0.2,200.7,203.3,-1.3,43.2,43.1,0.2,283.0,279.1,1.4,377.1,403.6,-6.6,174.7,179.5,-2.7,148.9,148.4,0.3,357.1,357.9,-0.2,424.3,419.5,1.1,346.8,344.7,0.6,483.2,463.2,4.3,115.2,112.1,2.8,605.1,600.6,0.7,888.6,867.1,2.5,100.6,99.9,0.7,27.3,27.5,-0.7,24.0,24.1,-0.4,27.4,26.2,4.6,335.9,344.4,-2.5,243.4,249.8,-2.6,37.3,38.1,-2.1,55.2,56.5,-2.3
2025年3月,7289.2,7281.4,0.1,392.4,400.4,-2.0,251.2,256.3,-2.0,49.7,50.7,-2.0,22.6,23.8,-5.0,23.4,23.5,-0.4,23.0,23.9,-3.8,22.5,22.0,2.3,0.1,0.1,0.0,6558.4,6535.5,0.4,236.7,240.6,-1.6,163.5,164.5,-0.6,93.4,95.1,-1.8,15.6,16.1,-3.1,243.2,243.7,-0.2,200.0,202.6,-1.3,134.5,135.3,-0.6,74.7,78.5,-4.8,87.8,91.7,-4.3,89.1,89.3,-0.2,75.0,76.0,-1.3,140.4,138.6,1.3,68.5,71.5,-4.2,330.8,329.9,0.3,201.3,203.1,-0.9,43.0,42.9,0.2,281.0,275.3,2.1,376.1,400.8,-6.2,175.1,180.5,-3.0,148.5,146.9,1.1,354.3,353.7,0.2,422.5,417.4,1.2,345.7,343.6,0.6,481.7,460.4,4.6,113.1,110.4,2.4,602.6,594.2,1.4,881.4,856.6,2.9,100.3,99.3,1.0,27.3,27.0,1.1,23.8,23.7,0.4,27.5,26.4,4.2,338.3,345.6,-2.1,245.9,251.1,-2.1,37.3,38.0,-1.8,55.2,56.5,-2.3
2025年2月,7224.3,7215.9,0.1,392.0,399.2,-1.8,250.9,255.2,-1.7,49.9,50.8,-1.8,22.7,23.8,-4.6,23.2,23.5,-1.3,22.8,23.9,-4.6,22.5,21.9,2.7,0.1,0.1,0.0,6493.7,6473.6,0.3,234.9,238.6,-1.6,163.0,164.0,-0.6,92.9,94.4,-1.6,15.7,16.1,-2.5,241.0,241.8,-0.3,198.8,201.2,-1.2,133.3,133.4,-0.1,73.8,77.8,-5.1,87.2,90.9,-4.1,88.6,88.7,-0.1,74.5,75.5,-1.3,138.4,136.2,1.6,68.6,71.1,-3.5,329.7,329.1,0.2,201.3,203.7,-1.2,42.3,42.8,-1.2,277.2,272.0,1.9,373.1,396.5,-5.9,174.5,181.4,-3.8,147.5,145.9,1.1,351.5,350.0,0.4,419.4,415.5,0.9,342.2,340.4,0.5,476.6,456.6,4.4,111.6,109.0,2.4,592.7,583.3,1.6,866.4,843.2,2.8,99.8,98.5,1.3,27.1,26.4,2.7,23.5,23.4,0.4,26.7,26.1,2.3,338.5,343.1,-1.3,245.8,248.5,-1.1,37.5,38.0,-1.3,55.2,56.6,-2.5
2024年12月,7401.9,7533.0,-1.7,404.0,421.3,-4.1,256.8,267.6,-4.0,49.1,51.5,-4.7,23.8,25.7,-7.4,23.3,23.9,-2.5,24.6,26.3,-6.5,26.4,26.1,1.1,0.1,0.1,0.0,6656.7,6765.3,-1.6,243.5,251.1,-3.0,165.1,167.6,-1.5,96.4,99.1,-2.7,15.9,16.4,-3.0,248.9,253.6,-1.9,206.7,215.6,-4.1,141.0,144.1,-2.2,84.1,89.8,-6.3,90.8,94.3,-3.7,91.3,91.7,-0.4,77.1,78.7,-2.0,144.2,146.0,-1.2,70.2,74.8,-6.1,333.8,339.5,-1.7,204.4,208.0,-1.7,43.2,44.3,-2.5,279.7,281.5,-0.6,401.2,434.9,-7.7,182.9,190.2,-3.8,154.3,154.5,-0.1,359.7,366.8,-1.9,421.3,423.0,-0.4,343.6,346.8,-0.9,472.1,463.3,1.9,112.4,112.1,0.3,605.3,611.5,-1.0,889.9,888.9,0.1,100.3,100.0,0.3,27.5,27.7,-0.7,24.7,24.8,-0.4,25.1,24.9,0.8,341.2,346.4,-1.5,247.7,250.7,-1.2,38.1,38.6,-1.3,55.3,57.1,-3.2
2024年11月,7344.6,7473.8,-1.7,403.9,421.4,-4.2,256.7,267.4,-4.0,49.5,52.0,-4.8,23.7,25.9,-8.5,23.2,24.0,-3.3,24.2,25.9,-6.6,26.5,26.1,1.5,0.1,0.1,0.0,6600.7,6704.5,-1.5,239.4,246.3,-2.8,163.6,165.8,-1.3,95.8,98.2,-2.4,15.8,16.2,-2.5,246.6,252.2,-2.2,204.9,214.4,-4.4,139.5,141.6,-1.5,80.8,85.9,-5.9,90.4,93.8,-3.6,90.4,90.7,-0.3,76.5,78.2,-2.2,142.6,145.3,-1.9,70.3,75.1,-6.4,330.6,336.2,-1.7,202.9,206.7,-1.8,42.8,43.8,-2.3,277.7,279.8,-0.8,395.5,428.4,-7.7,179.8,189.3,-5.0,150.7,152.6,-1.2,355.5,361.6,-1.7,418.1,419.5,-0.3,342.3,344.5,-0.6,470.6,460.3,2.2,110.8,110.2,0.5,601.7,606.6,-0.8,889.4,885.3,0.5,99.9,99.5,0.4,27.2,27.5,-1.1,23.7,24.4,-2.9,25.0,24.9,0.4,340.1,347.9,-2.2,247.1,252.7,-2.2,38.0,38.4,-1.0,55.0,56.8,-3.2
2024年10月,7300.6,7433.1,-1.8,403.2,420.5,-4.1,256.0,266.8,-4.0,49.8,52.0,-4.2,23.8,25.5,-6.7,23.3,24.2,-3.7,23.8,25.6,-7.0,26.4,26.3,0.4,0.1,0.1,0.0,6557.8,6665.6,-1.6,237.2,243.7,-2.7,162.9,165.1,-1.3,95.4,97.9,-2.6,15.9,16.4,-3.0,245.7,252.0,-2.5,202.2,213.6,-5.3,137.7,141.0,-2.3,78.9,82.4,-4.2,90.0,93.2,-3.4,89.8,90.2,-0.4,76.3,78.3,-2.6,141.7,144.8,-2.1,70.2,74.3,-5.5,328.5,333.3,-1.4,202.3,206.0,-1.8,42.5,43.5,-2.3,276.6,279.1,-0.9,391.1,423.0,-7.5,176.6,186.7,-5.4,151.2,152.6,-0.9,354.3,360.1,-1.6,417.0,418.5,-0.4,341.7,343.4,-0.5,464.7,456.3,1.8,110.0,109.8,0.2,597.5,603.0,-0.9,884.8,881.8,0.3,99.4,99.2,0.2,27.1,27.3,-0.7,23.6,24.4,-3.3,24.9,24.6,1.2,339.6,347.1,-2.2,246.9,252.0,-2.0,37.9,38.3,-1.0,54.8,56.7,-3.4
2024年9月,7278.5,7404.1,-1.7,401.8,419.1,-4.1,254.9,266.1,-4.2,49.9,52.0,-4.0,23.8,25.5,-6.7,23.2,23.9,-2.9,23.5,25.1,-6.4,26.4,26.3,0.4,0.1,0.1,0.0,6538.6,6639.1,-1.5,236.3,241.8,-2.3,163.1,164.9,-1.1,95.6,97.6,-2.0,15.9,16.3,-2.5,244.5,251.4,-2.7,201.8,212.7,-5.1,136.6,140.4,-2.7,76.5,81.2,-5.8,89.9,93.0,-3.3,89.4,89.6,-0.2,76.3,78.4,-2.7,141.6,145.3,-2.5,70.4,73.5,-4.2,326.6,331.0,-1.3,202.4,205.8,-1.7,42.4,43.3,-2.1,276.4,278.4,-0.7,391.2,420.2,-6.9,177.6,186.5,-4.8,151.0,151.4,-0.3,353.6,358.9,-1.5,415.7,417.8,-0.5,341.5,343.3,-0.5,461.1,452.0,2.0,110.0,109.8,0.2,596.8,601.3,-0.7,879.9,878.6,0.1,99.1,99.2,-0.1,27.1,27.2,-0.4,23.5,24.3,-3.3,24.8,24.2,2.5,338.1,346.0,-2.3,245.5,251.2,-2.3,38.0,38.1,-0.3,54.7,56.6,-3.4
2024年8月,7259.5,7388.0,-1.7,401.2,418.9,-4.2,254.1,265.6,-4.3,50.0,52.1,-4.0,23.9,25.6,-6.6,23.1,24.0,-3.8,23.4,25.1,-6.8,26.5,26.3,0.8,0.1,0.1,0.0,6520.6,6622.9,-1.5,237.1,242.9,-2.4,162.4,163.9,-0.9,95.7,97.5,-1.8,16.0,16.4,-2.4,243.9,251.3,-2.9,200.5,212.6,-5.7,136.4,140.2,-2.7,76.2,80.4,-5.2,89.8,92.8,-3.2,89.1,89.7,-0.7,76.2,78.3,-2.7,141.6,145.4,-2.6,70.4,73.7,-4.5,325.8,330.2,-1.3,201.7,205.7,-1.9,42.5,43.3,-1.8,275.9,277.3,-0.5,392.3,418.9,-6.3,177.7,187.1,-5.0,148.8,150.8,-1.3,353.7,358.6,-1.4,415.0,417.0,-0.5,340.7,343.7,-0.9,457.7,448.2,2.1,109.5,109.7,-0.2,595.1,599.4,-0.7,874.7,873.3,0.2,99.0,98.9,0.1,27.0,27.1,-0.4,23.3,24.3,-4.1,24.8,24.3,2.1,337.7,346.2,-2.5,245.2,251.5,-2.5,37.7,38.0,-0.8,54.8,56.6,-3.2
2024年7月,7257.6,7374.8,-1.6,401.3,418.6,-4.1,254.0,265.4,-4.3,50.1,52.1,-3.8,23.9,25.4,-5.9,23.2,24.1,-3.7,23.3,25.0,-6.8,26.6,26.4,0.8,0.1,0.1,0.0,6518.2,6610.6,-1.4,237.3,242.6,-2.2,161.8,162.9,-0.7,95.8,97.4,-1.6,16.0,16.3,-1.8,244.1,251.5,-2.9,201.0,212.5,-5.4,136.2,140.2,-2.9,76.2,80.2,-5.0,89.9,92.6,-2.9,89.0,89.8,-0.9,76.6,78.2,-2.0,141.5,145.7,-2.9,70.7,73.8,-4.2,325.8,329.8,-1.2,201.2,205.6,-2.1,43.1,43.3,-0.5,276.1,277.3,-0.4,395.4,419.0,-5.6,178.2,187.2,-4.8,148.6,150.1,-1.0,354.0,358.6,-1.3,415.1,416.9,-0.4,340.6,343.6,-0.9,455.7,446.4,2.1,109.3,109.2,0.1,595.9,596.6,-0.1,869.2,869.2,0.0,98.7,98.6,0.1,27.1,27.2,-0.4,23.3,24.3,-4.1,24.8,24.2,2.5,338.1,345.5,-2.1,245.6,250.9,-2.1,37.7,37.9,-0.5,54.8,56.7,-3.4
