时间,城镇社会消费品零售总额_当期值,城镇社会消费品零售总额_累计值,城镇社会消费品零售总额_同比增长,城镇社会消费品零售总额_累计增长,乡村社会消费品零售总额_当期值,乡村社会消费品零售总额_累计值,乡村社会消费品零售总额_同比增长,乡村社会消费品零售总额_累计增长
2025年5月,36056.8,176490.3,6.5,5.1,5269.0,26680.7,5.4,4.9
2025年4月,32376.3,140433.5,5.2,4.7,4797.8,21411.7,4.7,4.8
2025年3月,35595.4,108057.2,6.0,4.5,5345.1,16613.9,5.3,4.9
2025年2月,,72461.8,,3.8,,11268.8,,4.6
2024年9月,35044.4,305869.4,3.1,3.2,6067.9,47694.6,3.9,4.4
2024年8月,33574.6,270825.0,1.8,3.2,5151.2,41626.7,3.9,4.4
2024年7月,32691.4,237250.4,2.4,3.4,5066.0,36475.5,4.6,4.5
2024年6月,35140.8,204558.7,1.7,3.6,5590.8,31409.8,3.8,4.5
2024年12月,38445.0,421165.5,3.7,3.4,6726.5,66729.3,3.8,4.3
2024年11月,37595.9,382720.4,2.9,3.3,6167.1,60002.9,3.2,4.3
2024年10月,39255.0,345124.4,4.7,3.4,6141.4,53835.9,4.9,4.4
