时间,农村居民消费价格指数(上月=100),食品烟酒类农村居民消费价格指数(上月=100),衣着类农村居民消费价格指数(上月=100),居住类农村居民消费价格指数(上月=100),生活用品及服务类农村居民消费价格指数(上月=100),交通通信类农村居民消费价格指数(上月=100),教育文化娱乐类农村居民消费价格指数(上月=100),医疗保健类农村居民消费价格指数(上月=100),其他用品及服务类农村居民消费价格指数(上月=100)
2025年6月,100.0,99.6,100.1,100.0,100.2,100.0,100.0,100.2,100.8
2025年5月,99.8,99.8,100.4,99.9,99.0,98.9,100.0,100.5,100.2
2025年4月,100.0,100.1,99.8,100.0,100.0,99.5,100.1,100.3,102.0
2025年3月,99.7,99.0,100.6,100.0,101.8,98.7,99.8,100.1,100.5
2025年2月,99.9,99.7,99.6,99.9,100.2,100.0,99.9,100.0,100.4
2025年1月,100.5,100.8,99.7,100.1,100.4,101.2,100.5,100.0,101.8
2024年12月,99.9,99.5,100.4,100.0,100.3,100.3,100.0,100.0,100.2
2024年11月,99.4,98.1,100.4,100.0,99.3,100.0,99.9,100.0,100.3
2024年10月,99.7,99.3,100.1,100.0,100.1,99.5,100.1,100.0,100.7
2024年9月,100.1,100.6,100.6,99.9,100.0,98.9,100.4,100.0,100.4
2024年8月,100.4,102.3,99.7,100.0,99.2,99.0,99.9,100.0,99.1
2024年7月,100.4,100.8,99.6,100.0,100.4,100.5,100.4,100.0,100.6
2024年6月,99.8,99.7,100.0,99.9,99.5,99.4,99.9,100.1,100.1
