时间,工业企业营业收入_累计值,工业企业营业收入_上年同期累计值,工业企业营业收入_累计增长,采矿业营业收入_累计值,采矿业营业收入_上年同期累计值,采矿业营业收入_累计增长,煤炭开采和洗选业营业收入_累计值,煤炭开采和洗选业营业收入_上年同期累计值,煤炭开采和洗选业营业收入_累计增长,石油和天然气开采业营业收入_累计值,石油和天然气开采业营业收入_上年同期累计值,石油和天然气开采业营业收入_累计增长,黑色金属矿采选业营业收入_累计值,黑色金属矿采选业营业收入_上年同期累计值,黑色金属矿采选业营业收入_累计增长,有色金属矿采选业营业收入_累计值,有色金属矿采选业营业收入_上年同期累计值,有色金属矿采选业营业收入_累计增长,非金属矿采选业营业收入_累计值,非金属矿采选业营业收入_上年同期累计值,非金属矿采选业营业收入_累计增长,开采专业及辅助性活动营业收入_累计值,开采专业及辅助性活动营业收入_上年同期累计值,开采专业及辅助性活动营业收入_累计增长,其他采矿业营业收入_累计值,其他采矿业营业收入_上年同期累计值,其他采矿业营业收入_累计增长,制造业营业收入_累计值,制造业营业收入_上年同期累计值,制造业营业收入_累计增长,农副食品加工业营业收入_累计值,农副食品加工业营业收入_上年同期累计值,农副食品加工业营业收入_累计增长,食品制造业营业收入_累计值,食品制造业营业收入_上年同期累计值,食品制造业营业收入_累计增长,酒、饮料和精制茶制造业营业收入_累计值,酒、饮料和精制茶制造业营业收入_上年同期累计值,酒、饮料和精制茶制造业营业收入_累计增长,烟草制品业营业收入_累计值,烟草制品业营业收入_上年同期累计值,烟草制品业营业收入_累计增长,纺织业营业收入_累计值,纺织业营业收入_上年同期累计值,纺织业营业收入_累计增长,纺织服装、服饰业营业收入_累计值,纺织服装、服饰业营业收入_上年同期累计值,纺织服装、服饰业营业收入_累计增长,皮革、毛皮、羽毛及其制品和制鞋业营业收入_累计值,皮革、毛皮、羽毛及其制品和制鞋业营业收入_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业营业收入_累计增长,木材加工和木、竹、藤、棕、草制品业营业收入_累计值,木材加工和木、竹、藤、棕、草制品业营业收入_上年同期累计值,木材加工和木、竹、藤、棕、草制品业营业收入_累计增长,家具制造业营业收入_累计值,家具制造业营业收入_上年同期累计值,家具制造业营业收入_累计增长,造纸和纸制品业营业收入_累计值,造纸和纸制品业营业收入_上年同期累计值,造纸和纸制品业营业收入_累计增长,印刷和记录媒介复制业营业收入_累计值,印刷和记录媒介复制业营业收入_上年同期累计值,印刷和记录媒介复制业营业收入_累计增长,文教、工美、体育和娱乐用品制造业营业收入_累计值,文教、工美、体育和娱乐用品制造业营业收入_上年同期累计值,文教、工美、体育和娱乐用品制造业营业收入_累计增长,石油、煤炭及其他燃料加工业营业收入_累计值,石油、煤炭及其他燃料加工业营业收入_上年同期累计值,石油、煤炭及其他燃料加工业营业收入_累计增长,化学原料和化学制品制造业营业收入_累计值,化学原料和化学制品制造业营业收入_上年同期累计值,化学原料和化学制品制造业营业收入_累计增长,医药制造业营业收入_累计值,医药制造业营业收入_上年同期累计值,医药制造业营业收入_累计增长,化学纤维制造业营业收入_累计值,化学纤维制造业营业收入_上年同期累计值,化学纤维制造业营业收入_累计增长,橡胶和塑料制品业营业收入_累计值,橡胶和塑料制品业营业收入_上年同期累计值,橡胶和塑料制品业营业收入_累计增长,非金属矿物制品业营业收入_累计值,非金属矿物制品业营业收入_上年同期累计值,非金属矿物制品业营业收入_累计增长,黑色金属冶炼和压延加工业营业收入_累计值,黑色金属冶炼和压延加工业营业收入_上年同期累计值,黑色金属冶炼和压延加工业营业收入_累计增长,有色金属冶炼和压延加工业营业收入_累计值,有色金属冶炼和压延加工业营业收入_上年同期累计值,有色金属冶炼和压延加工业营业收入_累计增长,金属制品业营业收入_累计值,金属制品业营业收入_上年同期累计值,金属制品业营业收入_累计增长,通用设备制造业营业收入_累计值,通用设备制造业营业收入_上年同期累计值,通用设备制造业营业收入_累计增长,专用设备制造业营业收入_累计值,专用设备制造业营业收入_上年同期累计值,专用设备制造业营业收入_累计增长,汽车制造业营业收入_累计值,汽车制造业营业收入_上年同期累计值,汽车制造业营业收入_累计增长,铁路、船舶、航空航天和其他运输设备制造业营业收入_累计值,铁路、船舶、航空航天和其他运输设备制造业营业收入_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业营业收入_累计增长,电气机械和器材制造业营业收入_累计值,电气机械和器材制造业营业收入_上年同期累计值,电气机械和器材制造业营业收入_累计增长,计算机、通信和其他电子设备制造业营业收入_累计值,计算机、通信和其他电子设备制造业营业收入_上年同期累计值,计算机、通信和其他电子设备制造业营业收入_累计增长,仪器仪表制造业营业收入_累计值,仪器仪表制造业营业收入_上年同期累计值,仪器仪表制造业营业收入_累计增长,其他制造业营业收入_累计值,其他制造业营业收入_上年同期累计值,其他制造业营业收入_累计增长,废弃资源综合利用业营业收入_累计值,废弃资源综合利用业营业收入_上年同期累计值,废弃资源综合利用业营业收入_累计增长,金属制品、机械和设备修理业营业收入_累计值,金属制品、机械和设备修理业营业收入_上年同期累计值,金属制品、机械和设备修理业营业收入_累计增长,电力、热力、燃气及水生产和供应业营业收入_累计值,电力、热力、燃气及水生产和供应业营业收入_上年同期累计值,电力、热力、燃气及水生产和供应业营业收入_累计增长,电力、热力生产和供应业营业收入_累计值,电力、热力生产和供应业营业收入_上年同期累计值,电力、热力生产和供应业营业收入_累计增长,燃气生产和供应业营业收入_累计值,燃气生产和供应业营业收入_上年同期累计值,燃气生产和供应业营业收入_累计增长,水的生产和供应业营业收入_累计值,水的生产和供应业营业收入_上年同期累计值,水的生产和供应业营业收入_累计增长
2025年5月,547596.2,532986.9,2.7,21164.0,24032.8,-11.9,10484.6,12976.8,-19.2,4854.3,5101.5,-4.8,1926.6,2294.7,-16.0,1622.6,1402.1,15.7,1425.8,1386.5,2.8,844.9,863.5,-2.2,5.1,7.8,-34.6,475390.8,457914.1,3.8,20879.4,20194.5,3.4,8944.9,8773.3,2.0,6647.3,6473.7,2.7,7310.0,7122.1,2.6,9303.0,9336.0,-0.4,4693.5,4663.5,0.6,3241.7,3250.3,-0.3,3469.9,3520.1,-1.4,2488.7,2590.2,-3.9,5638.6,5736.5,-1.7,2607.1,2581.8,1.0,5699.8,5395.3,5.6,22211.4,25005.4,-11.2,36957.4,36189.2,2.1,9947.9,10089.6,-1.4,4390.1,4727.1,-7.1,12374.1,11778.9,5.1,18916.8,20048.6,-5.6,31364.5,33715.1,-7.0,37607.9,32445.6,15.9,18556.6,17995.5,3.1,19673.7,18553.9,6.0,14703.2,14190.2,3.6,41283.3,38559.0,7.1,6377.1,5291.7,20.5,44477.2,40134.8,10.8,64942.5,59388.3,9.4,3971.7,3741.8,6.1,869.4,826.9,5.1,4849.0,4743.2,2.2,993.2,851.8,16.6,51041.4,51040.0,0.0,39568.5,39749.1,-0.5,9606.9,9441.8,1.7,1866.1,1849.2,0.9
2025年4月,434419.3,421045.8,3.2,16963.3,19063.4,-11.0,8440.9,10294.4,-18.0,3926.2,4056.3,-3.2,1548.0,1878.8,-17.6,1283.5,1088.0,18.0,1102.3,1070.9,2.9,658.6,668.5,-1.5,3.8,6.4,-40.6,375936.3,360489.8,4.3,16514.5,16016.0,3.1,7135.8,7030.0,1.5,5489.6,5295.8,3.7,6330.3,6186.3,2.3,7374.6,7275.1,1.4,3735.8,3678.3,1.6,2561.6,2544.3,0.7,2759.2,2790.8,-1.1,1973.5,2046.2,-3.6,4462.3,4536.2,-1.6,2075.4,2041.3,1.7,4513.9,4402.8,2.5,17824.4,19817.0,-10.1,29439.3,28541.5,3.1,7950.3,8118.1,-2.1,3451.2,3696.0,-6.6,9766.8,9216.8,6.0,14786.9,15698.8,-5.8,24836.6,26556.7,-6.5,29594.6,25072.4,18.0,14615.6,14074.2,3.8,15447.3,14504.5,6.5,11634.8,11192.5,4.0,32552.3,30447.9,6.9,4889.1,4080.3,19.8,34649.1,31185.7,11.1,51223.2,46544.8,10.1,3103.9,2903.5,6.9,685.3,644.4,6.3,3776.7,3687.9,2.4,782.3,663.7,17.9,41519.6,41492.6,0.1,32036.6,32167.8,-0.4,8012.9,7862.0,1.9,1470.1,1462.9,0.5
2025年3月,321395.9,310968.2,3.4,12659.0,14252.6,-11.2,6279.0,7756.6,-19.0,2992.3,3005.9,-0.5,1161.1,1484.0,-21.8,937.0,771.4,21.5,797.8,775.1,2.9,488.1,452.8,7.8,3.7,6.8,-45.6,276733.1,264626.6,4.6,12298.9,11993.5,2.5,5389.7,5364.1,0.5,4301.4,4218.9,2.0,5369.1,5219.5,2.9,5387.3,5255.1,2.5,2806.8,2717.1,3.3,1902.7,1886.2,0.9,2041.4,2075.0,-1.6,1459.8,1492.5,-2.2,3309.3,3357.5,-1.4,1524.3,1498.9,1.7,3266.9,3239.4,0.8,13307.4,14588.3,-8.8,21798.9,20967.0,4.0,5989.1,6123.4,-2.2,2547.3,2673.4,-4.7,7127.8,6682.6,6.7,10687.8,11414.5,-6.4,18286.4,19642.3,-6.9,21356.5,17869.3,19.5,10394.8,9992.5,4.0,11238.6,10491.0,7.1,8608.4,8248.2,4.4,24022.4,22301.0,7.7,3537.4,2927.6,20.8,24821.0,22433.4,10.6,37872.6,34232.7,10.6,2263.6,2115.9,7.0,501.9,464.1,8.1,2718.2,2635.1,3.2,595.4,506.8,17.5,32003.8,32089.0,-0.3,24621.6,24709.9,-0.4,6288.1,6291.2,0.0,1094.1,1087.8,0.6
2025年2月,200945.2,195527.4,2.8,8068.9,9025.9,-10.6,4044.7,5010.1,-19.3,1966.3,1949.5,0.9,706.1,835.5,-15.5,579.5,476.1,21.7,480.2,480.7,-0.1,290.1,269.7,7.6,2.0,4.3,-53.5,171755.3,165146.5,4.0,7911.1,7698.0,2.8,3530.0,3421.6,3.2,2819.6,2792.8,1.0,4350.0,4163.5,4.5,3339.0,3250.5,2.7,1829.0,1769.0,3.4,1220.4,1210.9,0.8,1267.5,1319.0,-3.9,912.2,937.7,-2.7,2090.5,2130.2,-1.9,972.4,977.6,-0.5,2101.7,2146.4,-2.1,8685.9,9482.6,-8.4,13529.0,12890.9,5.0,3694.3,3823.4,-3.4,1541.5,1629.5,-5.4,4451.4,4181.3,6.5,6616.4,7256.5,-8.8,11444.2,12506.8,-8.5,12855.1,10595.3,21.3,6395.6,6245.4,2.4,6790.9,6357.4,6.8,5048.0,4830.0,4.5,14808.4,13670.7,8.3,2093.7,1728.0,21.2,14647.0,13394.7,9.3,23230.6,21270.2,9.2,1338.0,1263.6,5.9,313.2,294.4,6.4,1562.4,1590.9,-1.8,366.4,318.0,15.2,21121.1,21355.0,-1.1,16187.0,16315.9,-0.8,4228.1,4332.9,-2.4,705.9,706.2,0.0
2024年9月,992035.2,971733.2,2.1,43563.6,45018.9,-3.2,23337.3,26033.5,-10.4,9157.3,8669.4,5.6,3819.6,3438.6,11.1,2686.5,2480.3,8.3,2651.6,2608.3,1.7,1897.8,1775.1,6.9,13.3,13.7,-2.9,855363.3,837743.0,2.1,37688.5,39364.0,-4.3,15923.5,15199.9,4.8,12092.3,11719.1,3.2,11405.6,11129.2,2.5,17354.3,16706.2,3.9,9000.0,8909.0,1.0,6183.3,5916.0,4.5,6341.9,6436.3,-1.5,4769.5,4651.2,2.5,10598.7,10147.8,4.4,4831.8,4705.8,2.7,9753.0,9481.2,2.9,43750.0,44196.0,-1.0,67253.9,64341.1,4.5,18447.0,18410.9,0.2,8459.5,7910.6,6.9,21774.3,20791.1,4.7,36642.8,41516.8,-11.7,58426.0,62164.1,-6.0,63355.0,55105.3,15.0,33777.4,33035.4,2.2,34937.0,34221.3,2.1,26996.4,26540.5,1.7,73592.5,71744.0,2.6,10777.8,9612.7,12.1,77318.9,78845.3,-1.9,114864.2,106878.9,7.5,7341.8,7099.0,3.4,1542.1,1425.6,8.2,8483.0,8095.0,4.8,1681.3,1443.4,16.5,93108.4,88971.3,4.6,74918.7,71861.7,4.3,14728.6,13671.9,7.7,3461.1,3437.7,0.7
2024年8月,871041.6,850424.8,2.4,38686.3,39820.2,-2.8,20703.3,23164.7,-10.6,8215.3,7625.3,7.7,3463.3,3017.0,14.8,2351.7,2166.9,8.5,2304.9,2283.6,0.9,1636.0,1550.8,5.5,11.7,12.0,-2.5,750055.4,731469.1,2.5,33052.2,34467.3,-4.1,13958.1,13268.1,5.2,10585.5,10285.4,2.9,10247.2,9980.7,2.7,15223.8,14629.5,4.1,7819.7,7731.9,1.1,5414.0,5165.9,4.8,5527.9,5625.9,-1.7,4191.8,4052.1,3.4,9340.3,8868.4,5.3,4227.7,4100.8,3.1,8500.7,8243.3,3.1,39167.3,38778.1,1.0,59374.8,56370.9,5.3,16037.2,16112.6,-0.5,7467.4,6889.5,8.4,19144.5,18152.7,5.5,32250.3,36606.0,-11.9,52334.6,54903.8,-4.7,55488.9,48323.9,14.8,29815.7,28875.4,3.3,30615.7,29963.5,2.2,23551.9,23047.6,2.2,64139.6,62141.6,3.2,9268.8,8221.1,12.7,67205.2,68628.4,-2.1,99410.4,92304.9,7.7,6363.5,6158.0,3.3,1352.1,1245.8,8.5,7527.1,7067.0,6.5,1451.6,1259.0,15.3,82299.9,79135.4,4.0,66311.1,63977.9,3.6,12968.1,12153.1,6.7,3020.6,3004.4,0.5
2024年7月,759330.4,738203.7,2.9,33980.8,34902.2,-2.6,18215.5,20457.5,-11.0,7209.8,6626.9,8.8,3078.4,2606.2,18.1,2045.7,1872.7,9.2,1991.9,1984.7,0.4,1429.1,1343.9,6.3,10.4,10.4,0.0,654360.2,635092.3,3.0,28614.7,29730.5,-3.8,12114.1,11523.9,5.1,9340.8,9042.4,3.3,9118.7,8939.9,2.0,13270.8,12668.0,4.8,6743.6,6658.0,1.3,4680.3,4460.6,4.9,4819.0,4883.6,-1.3,3643.9,3493.6,4.3,8149.0,7698.2,5.9,3669.5,3551.3,3.3,7404.5,7107.0,4.2,34604.4,34105.0,1.5,51850.6,48977.5,5.9,14144.0,14261.5,-0.8,6676.5,5902.0,13.1,16589.7,15681.1,5.8,28392.8,31880.0,-10.9,46263.7,47832.2,-3.3,48273.3,41839.3,15.4,25934.2,24972.1,3.9,26693.1,26056.3,2.4,20555.2,20257.7,1.5,55649.0,53631.1,3.8,8024.4,7095.3,13.1,58274.7,59347.2,-1.8,86238.1,79904.0,7.9,5527.3,5358.6,3.1,1170.6,1077.1,8.7,6668.6,6073.7,9.8,1261.1,1083.7,16.4,70989.5,68209.2,4.1,56837.2,54840.1,3.6,11525.9,10768.8,7.0,2626.4,2600.3,1.0
2024年6月,648642.7,630597.5,2.9,29117.9,30142.4,-3.4,15586.2,17824.1,-12.6,6157.2,5674.3,8.5,2675.2,2214.6,20.8,1739.5,1591.7,9.3,1690.0,1687.8,0.1,1260.4,1140.9,10.5,9.4,9.0,4.4,559557.1,543013.0,3.0,24423.8,25343.3,-3.6,10441.3,9945.1,5.0,8189.2,7829.3,4.6,8019.7,7842.0,2.3,11300.4,10813.0,4.5,5681.6,5624.5,1.0,3982.1,3769.2,5.6,4132.5,4159.2,-0.6,3101.8,2953.9,5.0,6992.1,6599.3,6.0,3118.2,3012.9,3.5,6401.3,6064.8,5.5,29609.3,29294.4,1.1,44340.1,42050.5,5.4,12352.7,12460.2,-0.9,5709.9,5002.0,14.2,14113.8,13290.5,6.2,24307.4,27267.2,-10.9,39727.7,40953.4,-3.0,40792.7,35736.0,14.2,22070.8,21275.0,3.7,22757.8,22286.7,2.1,17713.0,17555.3,0.9,47672.2,45338.7,5.1,6791.2,6045.4,12.3,49705.4,50707.5,-2.0,73651.9,68218.5,8.0,4698.9,4581.2,2.6,995.8,915.0,8.8,5703.1,5164.5,10.4,1059.4,914.6,15.8,59967.7,57442.1,4.4,47642.6,45729.0,4.2,10086.6,9499.5,6.2,2238.5,2213.7,1.1
2024年12月,1377661.8,1349803.0,2.1,59096.3,62351.1,-5.2,31603.3,35559.7,-11.1,12052.2,11775.2,2.4,4963.5,4838.8,2.6,3769.9,3461.7,8.9,3785.7,3751.7,0.9,2904.5,2945.8,-1.4,17.3,18.1,-4.4,1192042.5,1164406.2,2.4,52908.3,54563.2,-3.0,21863.6,20838.6,4.9,15880.6,15446.8,2.8,13730.5,13354.5,2.8,23988.0,23160.3,3.6,12699.2,12358.5,2.8,8533.2,8229.4,3.7,9074.7,9176.1,-1.1,6771.5,6746.0,0.4,14566.2,14021.5,3.9,6714.8,6559.6,2.4,13502.7,13019.4,3.7,57902.8,60108.0,-3.7,91986.4,88296.8,4.2,25298.5,25306.4,0.0,11666.5,11035.0,5.7,30338.6,28943.0,4.8,51075.9,57428.2,-11.1,81327.0,86733.2,-6.2,86019.1,74079.7,16.1,46809.6,45701.8,2.4,49236.3,48021.9,2.5,38457.1,37577.3,2.3,106470.1,102249.2,4.1,15437.2,13917.5,10.9,110352.7,110628.7,-0.2,161935.7,150915.2,7.3,10803.8,10360.0,4.3,2182.8,2013.7,8.4,12043.0,11531.8,4.4,2466.2,2085.1,18.3,126523.0,123045.6,2.8,101016.5,98400.2,2.7,20647.8,19769.8,4.4,4858.6,4875.7,-0.4
2024年11月,1234796.4,1212731.9,1.8,53434.8,56057.6,-4.7,28739.9,32192.6,-10.7,10964.3,10801.6,1.5,4558.2,4331.9,5.2,3368.6,3117.6,8.1,3369.0,3365.5,0.1,2418.7,2231.8,8.4,16.0,16.7,-4.2,1067869.1,1047653.8,1.9,47319.5,49270.8,-4.0,19654.8,18865.1,4.2,14250.2,13881.1,2.7,13201.7,12866.0,2.6,21540.8,20706.4,4.0,11378.2,11091.7,2.6,7752.2,7478.4,3.7,8065.0,8154.6,-1.1,6016.8,5966.1,0.8,13154.6,12660.5,3.9,6006.0,5892.5,1.9,12199.1,11759.5,3.7,53036.3,54794.5,-3.2,83125.0,80013.9,3.9,22633.7,22637.3,0.0,10544.6,9962.9,5.8,27242.8,26100.9,4.4,45758.6,51918.7,-11.9,73919.0,79313.8,-6.8,77716.8,67273.3,15.5,41872.3,41006.8,2.1,43626.5,42790.5,2.0,33569.8,32874.0,2.1,94561.0,91712.4,3.1,13463.4,12112.9,11.1,97731.0,98850.5,-1.1,144508.5,134834.5,7.2,9296.7,8972.8,3.6,1948.5,1802.3,8.1,10653.6,10289.3,3.5,2122.2,1799.8,17.9,113492.5,109020.5,4.1,91059.1,87573.4,4.0,18128.6,17153.6,5.7,4304.8,4293.4,0.3
