时间,粮食类城市居民消费价格指数(上年同月=100),畜肉类城市居民消费价格指数(上年同月=100),蛋类城市居民消费价格指数(上年同月=100),水产品类城市居民消费价格指数(上年同月=100),鲜菜类城市居民消费价格指数(上年同月=100),鲜果类城市居民消费价格指数(上年同月=100)
2025年6月,98.6,96.2,92.6,103.6,99.8,106.2
2025年5月,98.5,100.8,96.6,102.8,92.0,105.5
2025年4月,98.6,100.6,99.4,101.7,95.3,105.3
2025年3月,98.5,99.8,98.5,99.8,93.5,101.1
2025年2月,98.7,98.0,97.7,96.4,87.5,98.3
2025年1月,98.5,102.2,100.9,101.3,102.6,100.6
2024年9月,99.0,103.2,96.0,102.2,123.2,106.6
2024年8月,99.8,103.1,96.8,101.8,122.2,104.1
2024年7月,100.1,104.0,100.6,101.4,103.7,95.7
2024年6月,100.3,102.8,96.4,101.4,92.9,91.3
2024年12月,98.6,101.4,100.0,101.2,100.5,96.8
2024年11月,98.7,101.9,99.7,102.0,110.1,99.4
2024年10月,99.1,102.2,97.8,101.6,121.8,104.6
