时间,农、林、牧、渔业固定资产投资额_累计增长,农业固定资产投资额_累计增长,林业固定资产投资额_累计增长,畜牧业固定资产投资额_累计增长,渔业固定资产投资额_累计增长,农、林、牧、渔专业及辅助性活动固定资产投资额_累计增长,采矿业固定资产投资额_累计增长,煤炭开采和洗选业固定资产投资额_累计增长,石油和天然气开采业固定资产投资额_累计增长,黑色金属矿采选业固定资产投资额_累计增长,有色金属矿采选业固定资产投资额_累计增长,非金属矿采选业固定资产投资额_累计增长,制造业固定资产投资额_累计增长,农副食品加工业固定资产投资额_累计增长,食品制造业固定资产投资额_累计增长,酒、饮料和精制茶制造业固定资产投资额_累计增长,烟草制品业固定资产投资额_累计增长,纺织业固定资产投资额_累计增长,纺织服装、服饰业固定资产投资额_累计增长,皮革、毛皮、羽毛及其制品和制鞋业固定资产投资额_累计增长,木材加工及木、竹、藤、棕、草制品业固定资产投资额_累计增长,家具制造业固定资产投资额_累计增长,造纸及纸制品业固定资产投资额_累计增长,印刷和记录媒介复制业固定资产投资额_累计增长,文教、工美、体育和娱乐用品制造业固定资产投资额_累计增长,石油、煤炭及其他燃料加工业加工业固定资产投资额_累计增长,化学原料和化学制品制造业固定资产投资额_累计增长,医药制造业固定资产投资额_累计增长,化学纤维制造业固定资产投资额_累计增长,橡胶和塑料制品业固定资产投资额_累计增长,非金属矿物制品业固定资产投资额_累计增长,黑色金属冶炼和压延加工业固定资产投资额_累计增长,有色金属冶炼和压延加工业固定资产投资额_累计增长,金属制品业固定资产投资额_累计增长,通用设备制造业固定资产投资额_累计增长,专用设备制造业固定资产投资额_累计增长,汽车制造业固定资产投资额_累计增长,铁路、船舶、航空航天和其他运输设备制造业固定资产投资额_累计增长,电气机械和器材制造业固定资产投资额_累计增长,计算机、通信和其他电子设备制造业固定资产投资额_累计增长,仪器仪表制造业固定资产投资额_累计增长,废弃资源综合利用业固定资产投资额_累计增长,金属制品、机械和设备修理业固定资产投资额_累计增长,电力、热力、燃气及水的生产和供应业固定资产投资额_累计增长,电力、热力生产和供应业固定资产投资额_累计增长,燃气生产和供应业固定资产投资额_累计增长,水的生产和供应业固定资产投资额_累计增长,建筑业固定资产投资额_累计增长,批发和零售业固定资产投资额_累计增长,交通运输、仓储和邮政业固定资产投资额_累计增长,铁路运输业固定资产投资额_累计增长,道路运输业固定资产投资额_累计增长,水上运输业固定资产投资额_累计增长,航空运输业固定资产投资额_累计增长,管道运输业固定资产投资额_累计增长,装卸搬运和仓储业固定资产投资额_累计增长,住宿和餐饮业固定资产投资额_累计增长,信息传输、软件和信息技术服务业固定资产投资额_累计增长,电信、广播电视和卫星传输服务固定资产投资额_累计增长,金融业固定资产投资额_累计增长,房地产业固定资产投资额_累计增长,租赁和商务服务业固定资产投资额_累计增长,科学研究和技术服务业固定资产投资额_累计增长,水利、环境和公共设施管理业固定资产投资额_累计增长,水利管理业固定资产投资额_累计增长,生态保护和环境治理业固定资产投资额_累计增长,公共设施管理业固定资产投资额_累计增长,居民服务、修理和其他服务业固定资产投资额_累计增长,教育固定资产投资额_累计增长,卫生和社会工作固定资产投资额_累计增长,卫生固定资产投资额_累计增长,文化、体育和娱乐业固定资产投资额_累计增长,文化艺术业固定资产投资额_累计增长,公共管理、社会保障和社会组织固定资产投资额_累计增长
2025年5月,9.1,6.1,31.3,5.4,9.0,12.4,5.8,19.9,-8.8,8.4,44.0,-4.8,8.5,17.7,16.1,9.5,10.5,15.1,27.6,26.6,17.1,13.4,9.4,12.0,13.2,18.8,0.4,0.9,16.4,15.7,-3.6,-1.6,14.3,11.0,17.5,7.9,23.4,26.1,-8.6,7.0,-13.6,18.1,62.2,25.4,29.2,12.5,10.7,-19.8,19.3,4.0,2.3,-0.4,27.2,4.7,38.4,8.2,24.8,14.1,-12.9,3.7,-11.1,1.2,-8.8,7.2,26.6,0.5,3.8,15.6,-2.6,-2.8,-2.5,5.0,-2.0,5.0
2025年4月,13.4,12.5,41.8,5.3,9.8,14.5,6.3,14.7,-7.2,9.1,39.9,-0.3,8.8,18.4,16.6,9.8,11.0,14.7,27.1,26.6,17.5,12.7,7.6,13.0,11.5,18.0,1.3,2.6,17.6,14.7,-2.9,2.0,16.4,11.5,17.9,8.4,23.6,29.6,-7.5,9.0,-15.1,17.9,44.3,25.5,29.1,15.5,11.5,-0.3,17.4,3.9,1.6,-0.9,26.9,13.9,62.1,7.7,22.0,9.5,-12.7,10.1,-10.6,3.0,-7.9,8.6,30.7,0.3,4.9,20.1,1.0,-2.3,-2.0,6.6,1.5,41.2
2025年3月,15.8,16.7,47.1,3.8,12.9,15.3,5.6,11.8,-1.5,8.7,38.6,-7.3,9.1,18.6,18.0,8.2,32.2,13.5,22.9,23.7,15.2,8.9,11.9,14.8,13.4,25.8,2.1,4.4,15.8,17.9,-1.8,5.5,17.9,12.2,17.2,8.1,24.5,37.9,-7.4,10.5,-15.4,11.2,43.6,26.0,28.9,15.5,15.1,-12.6,18.1,3.8,0.5,-0.2,25.9,0.0,69.2,8.3,23.3,10.1,-17.2,20.2,-10.0,4.4,-4.7,9.8,36.8,4.1,4.9,15.4,2.3,0.8,1.7,6.4,-0.7,-21.3
2025年2月,14.0,14.4,27.6,0.1,14.0,22.9,4.7,22.6,-7.9,-0.3,31.5,2.9,9.0,17.4,21.0,16.5,-13.6,13.6,18.5,16.9,21.7,13.7,0.5,10.6,10.6,48.3,6.0,3.5,16.0,14.3,0.2,5.7,16.1,10.8,21.6,9.0,27.0,37.3,-8.6,9.6,-13.2,10.5,45.5,25.4,29.3,16.6,11.4,-32.6,11.6,2.7,0.2,-3.2,36.9,13.4,19.7,7.5,19.9,11.7,2.7,31.9,-9.1,8.2,2.6,8.5,39.1,8.5,2.6,8.8,1.4,-4.3,-3.2,7.6,2.1,-8.1
2024年9月,5.2,4.5,16.5,-8.5,12.3,18.4,13.2,5.5,-1.6,8.4,22.5,17.1,9.2,19.4,23.5,20.1,-10.6,14.6,16.3,12.0,3.3,8.6,19.4,16.6,11.5,10.6,10.1,7.4,4.7,14.6,3.2,5.2,24.8,16.4,14.9,12.0,5.8,31.8,-1.6,13.1,-1.5,10.5,-1.3,24.8,30.8,4.7,4.1,6.0,7.4,7.7,17.1,-2.4,5.9,17.9,-22.2,20.1,35.6,7.2,-9.1,-0.8,-9.9,5.8,15.3,2.8,37.1,2.5,-3.5,-0.9,2.7,-10.6,-11.2,2.0,-6.5,-9.2
2024年8月,5.2,4.4,18.1,-8.1,19.3,16.0,15.6,7.8,-0.8,15.2,19.0,27.1,9.1,19.6,26.1,21.1,-12.1,13.5,15.5,9.9,4.5,8.4,19.9,13.7,9.8,9.7,10.0,7.3,4.4,13.7,3.9,4.9,26.2,17.3,13.8,12.8,5.4,30.7,-0.3,14.2,0.6,9.9,-2.5,23.5,29.8,1.7,3.1,21.6,8.1,6.7,16.1,-2.8,4.4,20.3,-31.9,20.3,34.5,8.5,-6.9,-2.0,-9.8,6.5,16.3,1.2,32.6,2.2,-4.7,-1.2,3.0,-11.3,-12.0,2.2,-7.0,16.6
2024年7月,5.2,4.7,20.3,-8.1,19.6,14.3,19.3,10.5,-0.8,12.6,39.9,27.7,9.3,21.2,26.8,21.8,-12.2,13.1,14.5,9.7,4.9,9.5,21.6,14.0,11.5,9.8,9.9,8.5,6.2,15.7,4.9,6.8,23.7,18.1,13.8,13.3,5.0,30.1,1.4,14.5,2.8,11.2,-2.7,23.8,29.8,0.8,5.5,20.4,9.3,8.2,17.2,-2.0,4.1,25.5,-30.9,22.5,34.9,8.3,-7.6,0.0,-9.8,7.1,16.4,0.7,28.9,0.6,-4.7,-0.1,4.5,-11.4,-12.4,3.5,-5.7,12.5
2024年6月,4.8,4.7,22.3,-8.3,14.3,12.4,17.0,16.6,0.9,4.3,43.5,28.5,9.5,21.8,27.0,24.7,-13.2,14.3,14.0,8.8,5.4,10.3,21.9,7.9,10.4,8.3,8.4,7.1,6.4,15.6,5.0,5.4,19.8,16.0,14.0,12.6,6.5,28.2,3.5,15.3,4.5,10.0,2.3,24.2,29.9,0.6,7.5,25.2,11.3,6.6,18.5,-1.0,6.8,23.7,-37.3,13.8,36.3,15.7,-7.4,5.7,-9.5,9.3,15.5,0.7,27.4,1.4,-4.5,1.6,6.7,-10.6,-11.1,5.1,-6.0,-26.6
2024年12月,6.4,4.2,18.7,-7.7,11.0,23.3,10.5,9.4,-1.8,6.9,26.7,12.7,9.2,18.0,22.9,18.0,-20.9,15.6,18.0,17.1,7.8,9.0,18.5,16.8,13.7,14.8,8.6,6.9,4.7,14.3,1.6,1.8,24.2,16.6,15.5,11.6,7.5,34.9,-3.9,12.0,-0.2,7.5,5.8,23.9,29.7,5.4,2.0,-1.9,5.0,5.9,13.5,-1.1,9.8,20.7,-16.5,12.3,34.1,6.3,-7.3,-6.3,-10.8,6.3,11.8,4.2,41.7,5.8,-3.1,0.7,1.3,-9.4,-9.6,0.0,-7.5,-4.2
2024年11月,5.9,4.3,18.4,-9.0,16.4,21.5,10.3,8.9,-5.5,8.3,27.9,10.5,9.3,18.2,24.5,18.9,-14.6,16.2,18.2,15.0,7.2,9.7,19.6,16.6,13.7,10.0,9.6,6.0,6.0,15.5,2.3,2.8,25.3,16.3,14.9,11.7,7.2,30.6,-3.4,12.6,-1.6,9.7,7.6,23.7,29.6,4.5,2.2,-4.3,4.9,6.9,15.0,-1.9,7.2,18.2,-21.1,17.0,34.6,7.1,-7.8,-9.6,-10.6,5.6,11.4,4.0,40.9,4.2,-2.9,-3.1,1.0,-10.6,-11.0,1.0,-7.2,-2.9
2024年10月,5.6,4.5,18.8,-9.2,15.9,19.7,13.2,8.6,-3.6,12.6,26.4,13.4,9.3,18.8,23.5,19.9,-13.5,15.2,17.5,14.1,4.2,9.8,20.6,16.1,12.6,8.1,11.2,6.2,5.9,14.1,2.3,4.3,25.9,15.8,14.2,11.9,5.9,33.0,-2.8,13.2,-1.3,12.9,-3.0,24.1,29.8,5.7,3.5,-3.7,7.2,7.7,14.5,-2.1,8.6,19.2,-19.5,19.8,33.5,7.0,-9.7,-6.5,-10.3,5.7,12.9,3.1,37.9,3.0,-3.4,-3.3,1.6,-10.9,-11.5,1.0,-7.1,-3.4
