时间,国有及国有控股固定资产投资额_累计增长,新建固定资产投资额_累计增长,扩建固定资产投资额_累计增长,改建固定资产投资额_累计增长,建筑安装工程固定资产投资额_累计增长,设备工器具购置固定资产投资额_累计增长,其他费用固定资产投资额_累计增长
2025年6月,5.0,7.9,-4.7,2.7,0.1,17.3,1.3
2025年5月,5.9,8.8,-0.2,3.9,1.2,17.3,2.4
2025年4月,6.2,3.8,12.9,0.7,1.4,18.2,2.3
2025年3月,6.5,5.2,11.3,2.0,1.5,19.0,2.4
2025年2月,7.0,3.8,13.4,1.0,1.1,18.0,3.6
2024年9月,6.1,-1.4,39.3,-2.7,3.5,16.4,-3.3
2024年8月,6.0,-1.8,39.2,-2.2,3.4,16.8,-3.5
2024年7月,6.3,-1.2,39.3,-1.3,3.6,17.0,-3.1
2024年6月,6.8,-0.5,41.2,-2.0,3.8,17.3,-2.5
2024年12月,5.7,-1.5,33.6,-3.8,3.5,15.7,-4.2
2024年11月,6.1,-1.7,36.8,-3.6,3.5,15.8,-4.1
2024年10月,6.2,-1.6,37.3,-3.6,3.6,16.1,-3.9
