时间,全国港口货物吞吐量_当期值,全国港口货物吞吐量_累计值,全国港口货物吞吐量_同比增长,全国港口货物吞吐量_累计增长,外贸货物吞吐量_当期值,外贸货物吞吐量_累计值,外贸货物吞吐量_同比增长,外贸货物吞吐量_累计增长,沿海港口货物吞吐量_当期值,沿海港口货物吞吐量_累计值,沿海港口货物吞吐量_同比增长,沿海港口货物吞吐量_累计增长
2025年6月,155855.5976,890347.6242,4.7741139771,3.9814880313,47372.6501,273812.739,1.930212905,1.8372822535,99298.7098,570277.835,3.4007811265,2.4853397933
2025年5月,158993.4076,734492.0266,4.3920015324,3.8148366064,47677.3562,226440.0889,1.3179366015,1.8178620226,100747.5778,470979.1252,3.6550221872,2.29439822
2025年4月,153341.0302,575498.619,4.8494483218,3.6565062805,46253.685,178762.7327,3.4244707372,1.9520303308,96457.0678,370231.5474,2.8026681742,1.930305258
2025年3月,154690.3758,422157.5888,4.909243203,3.2298850988,45352.6388,132509.0477,0.5800938187,1.4478821433,98363.0356,273774.4796,1.6941401426,1.6264682047
2025年2月,,267420.8178,,2.2651963501,,87150.6779,,1.8986929835,,175365.0488,,1.5616906294
2024年9月,145674.4025,1297088.7164,1.2864163958,3.4340853495,44479.0357,405371.7976,4.9203878894,7.5744250327,91260.7699,836716.7538,0.528437827,3.4613140265
2024年8月,151451.6127,1151414.3139,1.997325103,3.7123115781,47048.4671,360892.7619,5.8864553956,7.9108509286,96226.6871,745455.9839,2.5543077859,3.8321644915
2024年7月,143706.8031,999962.7012,0.6107216463,3.9771004446,44971.5078,313844.2948,4.9984063401,8.2210195222,92781.0905,649229.2968,2.0393244222,4.0242790992
2024年6月,148800.0,856300.0,3.1,4.6,46500.0,268900.0,8.1,8.8,96000.0,556400.0,3.2,4.4
2024年12月,155371.1116,1759500.8396,6.2679316661,3.6630835088,44049.4815,539688.1929,3.1768377045,6.9337381235,95039.7532,1121779.3425,5.1239526392,3.5357098961
2024年11月,153492.8043,1604129.728,3.6933631079,3.4175531332,45025.608,495638.7114,6.4859207766,7.2809107734,94824.2259,1026739.5893,3.1023463873,3.3911181768
2024年10月,153485.5876,1450574.304,2.9625919562,3.3839923468,45241.3058,450613.1034,5.4857911126,7.3609995739,95135.9899,931852.7437,2.9962597736,3.413642665
