时间,常用有色金属冶炼工业生产者出厂价格指数(上年同月=100),贵金属冶炼工业生产者出厂价格指数(上年同月=100),稀有稀土金属冶炼工业生产者出厂价格指数(上年同月=100),有色金属合金制造工业生产者出厂价格指数(上年同月=100),有色金属压延加工工业生产者出厂价格指数(上年同月=100)
2025年6月,96.6,133.3,109.8,100.3,98.5
2025年5月,98.9,132.0,107.4,101.3,99.7
2025年4月,104.5,131.6,111.8,103.0,103.7
2025年3月,108.5,133.2,112.2,104.1,106.7
2025年2月,110.0,131.8,108.7,103.3,106.2
2025年1月,112.1,126.0,105.3,102.6,105.5
2024年12月,113.2,125.7,102.6,102.7,106.3
2024年11月,112.1,126.1,100.6,101.1,106.9
2024年10月,109.9,124.9,98.0,100.4,106.0
2024年9月,107.4,119.9,94.8,99.1,103.8
2024年8月,109.3,120.8,95.4,100.9,105.6
2024年7月,113.2,120.7,97.2,103.0,108.6
2024年6月,114.2,120.6,94.7,102.3,110.0
