时间,客运量_当期值,客运量_累计值,客运量_同比增长,客运量_累计增长,铁路客运量_当期值,铁路客运量_累计值,铁路客运量_同比增长,铁路客运量_累计增长,公路客运量_当期值,公路客运量_累计值,公路客运量_同比增长,公路客运量_累计增长,水运客运量_当期值,水运客运量_累计值,水运客运量_同比增长,水运客运量_累计增长,民航客运量_当期值,民航客运量_累计值,民航客运量_同比增长,民航客运量_累计增长
2025年5月,148068.4477,708845.8993,1.7671036963,1.5529869302,40636.5697,186250.4999,12.596125974,7.32454357,98490.7932,481320.2511,-2.4843497478,-0.731037178,2573.9347,10228.7869,2.1432,-1.6211,6367.1501,31046.3614,8.1581954766,6.3075009718
2025年4月,143412.4725,560777.4096,0.1609705923,1.4965939186,38165.7753,145613.9302,5.9705793553,5.9403618177,96984.5568,382829.4579,-2.3586452504,-0.2697170935,2169.1173,7654.8522,-3.3571784781,-2.8253241511,6093.0231,24679.1693,8.9,5.8
2025年3月,138044.6258,418110.7071,0.9194419551,1.9620819146,33696.5598,107448.1549,4.9087340466,5.929632642,96647.4949,286590.6711,-0.5198979298,0.4609261219,1755.9056,5485.7349,-0.878379927,-2.6134048563,5944.6655,18586.1462,3.509711164,4.8716522745
2024年12月,135440.1327,1708340.2734,2.7241564059,8.5121508538,29747.0673,431239.7314,2.6262355472,11.8796719649,98657.1741,1178108.0212,2.2105393429,6.9885960476,1338.1821,25971.235,4.5733355527,0.7779857393,5697.7092,73021.2858,12.6,17.9
2024年11月,136206.2102,1572900.8733,4.3209986441,9.0412463147,30423.1427,401492.6641,8.7551573378,12.6321146525,98510.8223,1079450.8471,2.5782227642,7.4478213083,1628.8138,24633.0529,-1.5997160142,0.5796787274,5643.4314,67324.3092,15.2,18.3
2024年10月,147419.5057,1436694.6631,4.1749336423,9.5110141553,37269.2544,371069.5214,5.9729930997,12.9622738305,101270.6029,980940.0248,3.1083860481,7.9625275339,2470.4951,23004.2391,-1.9678568214,0.7376561253,6409.1533,61680.8778,14.3,18.6
2024年9月,139538.5998,1289275.1574,3.8981899745,10.1561889313,34166.3001,333800.267,5.1306487615,13.8002749912,97642.7792,879669.4219,3.267612712,8.5508501867,1737.6545,20533.744,-8.6466378669,1.0732648691,5991.866,55271.7245,12.0176585056,19.135020134
2024年8月,158409.316,1149736.4496,6.1353950955,10.9673614792,47394.882,299633.9669,10.5815505338,14.8805251761,100064.5263,782026.6427,3.7978593005,9.2487143752,3657.2824,18796.0895,1.8017915453,2.0773316934,7292.6253,49279.7505,14.0,20.1
2024年7月,151884.4996,991327.1349,4.0981995488,11.7805546571,42669.7064,252239.0849,4.279728653,15.7258657432,99565.1478,681962.1164,4.0277722656,10.0970580903,2736.0193,15138.8071,-9.8311111715,2.144121423,6913.6261,41987.1265,10.8,21.2
2024年6月,142600.0,839400.0,6.8,13.3,36000.0,209600.0,10.2,18.4,98700.0,582400.0,5.5,11.2,2000.0,12400.0,-1.6,5.2,5900.0,35100.0,10.5,23.5
2025年2月,,276369.9013,,2.3326091378,,73751.5951,,6.4027161638,,186246.9962,,0.7200884847,,3729.8293,,-3.4093527022,,12641.4807,,5.5
