时间,工业企业利润总额_累计值,工业企业利润总额_上年同期累计值,工业企业利润总额_累计增长,采矿业利润总额_累计值,采矿业利润总额_上年同期累计值,采矿业利润总额_累计增长,煤炭开采和洗选业利润总额_累计值,煤炭开采和洗选业利润总额_上年同期累计值,煤炭开采和洗选业利润总额_累计增长,石油和天然气开采业利润总额_累计值,石油和天然气开采业利润总额_上年同期累计值,石油和天然气开采业利润总额_累计增长,黑色金属矿采选业利润总额_累计值,黑色金属矿采选业利润总额_上年同期累计值,黑色金属矿采选业利润总额_累计增长,有色金属矿采选业利润总额_累计值,有色金属矿采选业利润总额_上年同期累计值,有色金属矿采选业利润总额_累计增长,非金属矿采选业利润总额_累计值,非金属矿采选业利润总额_上年同期累计值,非金属矿采选业利润总额_累计增长,开采专业及辅助性活动利润总额_累计值,开采专业及辅助性活动利润总额_上年同期累计值,开采专业及辅助性活动利润总额_累计增长,其他采矿业利润总额_累计值,其他采矿业利润总额_上年同期累计值,其他采矿业利润总额_累计增长,制造业利润总额_累计值,制造业利润总额_上年同期累计值,制造业利润总额_累计增长,农副食品加工业利润总额_累计值,农副食品加工业利润总额_上年同期累计值,农副食品加工业利润总额_累计增长,食品制造业利润总额_累计值,食品制造业利润总额_上年同期累计值,食品制造业利润总额_累计增长,酒、饮料和精制茶制造业利润总额_累计值,酒、饮料和精制茶制造业利润总额_上年同期累计值,酒、饮料和精制茶制造业利润总额_累计增长,烟草制品业利润总额_累计值,烟草制品业利润总额_上年同期累计值,烟草制品业利润总额_累计增长,纺织业利润总额_累计值,纺织业利润总额_上年同期累计值,纺织业利润总额_累计增长,纺织服装、服饰业利润总额_累计值,纺织服装、服饰业利润总额_上年同期累计值,纺织服装、服饰业利润总额_累计增长,皮革、毛皮、羽毛及其制品和制鞋业利润总额_累计值,皮革、毛皮、羽毛及其制品和制鞋业利润总额_上年同期累计值,皮革、毛皮、羽毛及其制品和制鞋业利润总额_累计增长,木材加工和木、竹、藤、棕、草制品业利润总额_累计值,木材加工和木、竹、藤、棕、草制品业利润总额_上年同期累计值,木材加工和木、竹、藤、棕、草制品业利润总额_累计增长,家具制造业利润总额_累计值,家具制造业利润总额_上年同期累计值,家具制造业利润总额_累计增长,造纸和纸制品业利润总额_累计值,造纸和纸制品业利润总额_上年同期累计值,造纸和纸制品业利润总额_累计增长,印刷和记录媒介复制业利润总额_累计值,印刷和记录媒介复制业利润总额_上年同期累计值,印刷和记录媒介复制业利润总额_累计增长,文教、工美、体育和娱乐用品制造业利润总额_累计值,文教、工美、体育和娱乐用品制造业利润总额_上年同期累计值,文教、工美、体育和娱乐用品制造业利润总额_累计增长,石油、煤炭及其他燃料加工业利润总额_累计值,石油、煤炭及其他燃料加工业利润总额_上年同期累计值,石油、煤炭及其他燃料加工业利润总额_累计增长,化学原料和化学制品制造业利润总额_累计值,化学原料和化学制品制造业利润总额_上年同期累计值,化学原料和化学制品制造业利润总额_累计增长,医药制造业利润总额_累计值,医药制造业利润总额_上年同期累计值,医药制造业利润总额_累计增长,化学纤维制造业利润总额_累计值,化学纤维制造业利润总额_上年同期累计值,化学纤维制造业利润总额_累计增长,橡胶和塑料制品业利润总额_累计值,橡胶和塑料制品业利润总额_上年同期累计值,橡胶和塑料制品业利润总额_累计增长,非金属矿物制品业利润总额_累计值,非金属矿物制品业利润总额_上年同期累计值,非金属矿物制品业利润总额_累计增长,黑色金属冶炼和压延加工业利润总额_累计值,黑色金属冶炼和压延加工业利润总额_上年同期累计值,黑色金属冶炼和压延加工业利润总额_累计增长,有色金属冶炼和压延加工业利润总额_累计值,有色金属冶炼和压延加工业利润总额_上年同期累计值,有色金属冶炼和压延加工业利润总额_累计增长,金属制品业利润总额_累计值,金属制品业利润总额_上年同期累计值,金属制品业利润总额_累计增长,通用设备制造业利润总额_累计值,通用设备制造业利润总额_上年同期累计值,通用设备制造业利润总额_累计增长,专用设备制造业利润总额_累计值,专用设备制造业利润总额_上年同期累计值,专用设备制造业利润总额_累计增长,汽车制造业利润总额_累计值,汽车制造业利润总额_上年同期累计值,汽车制造业利润总额_累计增长,铁路、船舶、航空航天和其他运输设备制造业利润总额_累计值,铁路、船舶、航空航天和其他运输设备制造业利润总额_上年同期累计值,铁路、船舶、航空航天和其他运输设备制造业利润总额_累计增长,电气机械和器材制造业利润总额_累计值,电气机械和器材制造业利润总额_上年同期累计值,电气机械和器材制造业利润总额_累计增长,计算机、通信和其他电子设备制造业利润总额_累计值,计算机、通信和其他电子设备制造业利润总额_上年同期累计值,计算机、通信和其他电子设备制造业利润总额_累计增长,仪器仪表制造业利润总额_累计值,仪器仪表制造业利润总额_上年同期累计值,仪器仪表制造业利润总额_累计增长,其他制造业利润总额_累计值,其他制造业利润总额_上年同期累计值,其他制造业利润总额_累计增长,废弃资源综合利用业利润总额_累计值,废弃资源综合利用业利润总额_上年同期累计值,废弃资源综合利用业利润总额_累计增长,金属制品、机械和设备修理业利润总额_累计值,金属制品、机械和设备修理业利润总额_上年同期累计值,金属制品、机械和设备修理业利润总额_累计增长,电力、热力、燃气及水生产和供应业利润总额_累计值,电力、热力、燃气及水生产和供应业利润总额_上年同期累计值,电力、热力、燃气及水生产和供应业利润总额_累计增长,电力、热力生产和供应业利润总额_累计值,电力、热力生产和供应业利润总额_上年同期累计值,电力、热力生产和供应业利润总额_累计增长,燃气生产和供应业利润总额_累计值,燃气生产和供应业利润总额_上年同期累计值,燃气生产和供应业利润总额_累计增长,水的生产和供应业利润总额_累计值,水的生产和供应业利润总额_上年同期累计值,水的生产和供应业利润总额_累计增长
2025年5月,27204.3,27511.4,-1.1,3580.4,5039.3,-29.0,1263.8,2560.0,-50.6,1532.8,1710.0,-10.4,157.7,289.9,-45.6,474.8,335.0,41.7,135.7,135.2,0.4,14.2,8.7,63.2,1.2,0.4,200.0,20201.4,19171.9,5.4,511.6,370.1,38.2,723.9,727.9,-0.5,1164.9,1117.3,4.3,1040.5,1030.0,1.0,254.9,259.5,-1.8,151.9,176.5,-13.9,135.0,137.2,-1.6,98.1,107.6,-8.8,79.2,109.9,-27.9,141.3,182.4,-22.5,129.2,128.8,0.3,195.7,234.5,-16.5,-174.7,-104.2,67.7,1515.8,1590.6,-4.7,1353.2,1419.8,-4.7,84.9,97.5,-12.9,617.1,608.6,1.4,574.2,571.0,0.6,316.9,-91.4,-446.7,1217.5,1108.5,9.8,592.0,551.9,7.3,1270.7,1149.1,10.6,948.6,885.4,7.1,1781.4,2022.2,-11.9,530.9,340.3,56.0,2278.6,2041.5,11.6,2161.8,1931.4,11.9,340.1,315.3,7.9,48.6,47.8,1.7,56.0,38.9,44.0,61.8,66.0,-6.4,3422.5,3300.2,3.7,2925.0,2767.7,5.7,345.9,361.9,-4.4,151.7,170.6,-11.1
2025年4月,21170.2,20874.4,1.4,2875.0,3929.8,-26.8,1026.8,2010.4,-48.9,1261.9,1355.1,-6.9,116.9,214.0,-45.4,365.4,247.3,47.8,95.7,97.0,-1.3,7.3,5.5,32.7,0.9,0.4,125.0,15549.3,14313.7,8.6,408.9,280.8,45.6,590.5,584.1,1.1,983.3,950.2,3.5,929.8,918.0,1.3,194.0,187.1,3.7,120.9,138.5,-12.7,105.2,108.4,-3.0,76.0,82.7,-8.1,59.3,87.5,-32.2,113.0,148.0,-23.6,102.2,97.1,5.3,155.8,179.6,-13.3,-98.3,-35.7,,1150.0,1203.4,-4.4,1089.7,1126.6,-3.3,68.6,77.7,-11.7,457.7,441.9,3.6,398.3,404.9,-1.6,169.2,-195.8,,916.3,736.0,24.5,447.3,402.7,11.1,955.6,855.6,11.7,733.8,648.3,13.2,1325.5,1396.3,-5.1,392.1,246.3,59.2,1728.1,1497.2,15.4,1597.4,1431.0,11.6,255.8,209.6,22.0,33.6,35.7,-5.9,41.0,21.4,91.6,48.7,48.3,0.8,2745.8,2630.9,4.4,2359.4,2233.6,5.6,282.1,280.5,0.6,104.3,116.8,-10.7
2025年3月,15093.6,14974.2,0.8,2204.4,2959.6,-25.5,803.8,1535.7,-47.7,993.6,1025.7,-3.1,81.4,172.3,-52.8,260.0,160.2,62.3,58.9,64.1,-8.1,6.3,1.3,384.6,0.5,0.2,150.0,10826.4,10057.2,7.6,292.1,208.2,40.3,457.8,458.1,-0.1,820.0,801.2,2.3,810.7,798.3,1.6,121.4,113.3,7.1,84.8,94.3,-10.1,74.6,78.9,-5.4,53.9,61.2,-11.9,37.1,61.9,-40.1,88.8,106.9,-16.9,63.6,67.2,-5.4,103.4,117.6,-12.1,-25.5,-32.4,,787.6,790.7,-0.4,845.2,839.0,0.7,54.6,51.8,5.4,294.3,284.7,3.4,213.6,248.9,-14.2,75.1,-189.9,,657.7,492.2,33.6,279.6,260.7,7.2,616.2,562.8,9.5,503.5,440.8,14.2,946.5,1008.9,-6.2,251.6,157.5,59.7,1058.0,984.6,7.5,1026.8,994.9,3.2,150.7,130.7,15.3,21.6,21.8,-0.9,25.5,10.9,133.9,35.5,31.8,11.6,2062.8,1957.5,5.4,1777.4,1675.4,6.1,216.4,202.0,7.1,68.9,80.1,-14.0
2025年2月,9109.9,9136.9,-0.3,1410.3,1884.7,-25.2,506.6,961.2,-47.3,643.6,650.8,-1.1,56.1,129.3,-56.6,160.5,94.9,69.1,39.4,47.4,-16.9,4.0,0.9,344.4,0.1,0.2,-50.0,6395.1,6102.8,4.8,204.1,148.1,37.8,297.2,283.8,4.7,550.0,533.9,3.0,685.3,663.2,3.3,72.8,68.9,5.7,73.8,78.3,-5.7,49.6,54.8,-9.5,34.8,40.7,-14.5,34.1,48.5,-29.7,51.7,62.8,-17.7,36.8,42.3,-13.0,75.2,88.0,-14.5,-18.6,-28.1,,419.4,425.7,-1.5,531.2,546.1,-2.7,27.2,24.4,11.5,182.9,185.3,-1.3,112.7,181.3,-37.8,-15.5,-133.6,,366.3,304.1,20.5,190.9,189.1,1.0,340.6,321.4,6.0,228.7,216.0,5.9,619.6,554.6,11.7,152.2,80.6,88.8,583.6,597.7,-2.4,386.9,426.9,-9.4,75.9,59.9,26.7,14.3,14.8,-3.4,10.7,4.9,118.4,20.7,18.4,12.5,1304.5,1149.4,13.5,1123.2,989.7,13.5,134.0,109.7,22.2,47.3,50.0,-5.4
2024年9月,52281.6,54175.1,-3.5,8963.8,10036.0,-10.7,4595.1,5885.4,-21.9,2963.2,2937.4,0.9,455.5,356.6,27.7,695.1,585.2,18.8,272.8,267.4,2.0,-18.5,4.7,-493.6,0.6,-0.8,,37325.0,38792.5,-3.8,828.1,776.8,6.6,1252.2,1179.2,6.2,2306.1,2436.9,-5.4,1565.6,1539.5,1.7,516.8,463.7,11.5,381.3,391.6,-2.6,324.3,309.7,4.7,196.7,216.1,-9.0,240.6,216.7,11.0,325.0,219.0,48.4,219.3,228.4,-4.0,429.8,407.6,5.4,-321.4,378.1,-185.0,3017.1,3143.9,-4.0,2543.9,2554.1,-0.4,179.3,126.1,42.2,1145.7,1126.9,1.7,1078.8,2200.9,-51.0,-341.0,218.6,-256.0,2254.6,1478.8,52.5,1142.0,1164.7,-1.9,2345.5,2341.5,0.2,1909.0,2020.2,-5.5,3359.8,3402.0,-1.2,741.2,578.2,28.2,4153.1,4476.2,-7.2,4503.4,4203.4,7.1,714.4,720.7,-0.9,90.0,75.1,19.8,90.2,106.6,-15.4,133.7,91.4,46.3,5992.9,5346.7,12.1,4973.2,4368.9,13.8,655.8,644.9,1.7,363.8,332.8,9.3
2024年8月,46527.3,46303.2,0.5,8132.8,8958.3,-9.2,4167.2,5271.0,-20.9,2699.8,2599.4,3.9,420.5,320.9,31.0,609.8,520.9,17.1,246.9,242.1,2.0,-11.6,5.0,-332.0,0.3,-0.9,,32967.2,32614.8,1.1,739.0,625.0,18.2,1109.5,1023.3,8.4,1993.0,1791.6,11.2,1420.8,1400.8,1.4,450.1,392.4,14.7,339.0,345.1,-1.8,287.9,270.4,6.5,170.4,182.7,-6.7,203.0,189.6,7.1,285.4,153.3,86.2,219.0,193.1,13.4,378.8,341.0,11.1,-223.9,237.1,-194.4,2662.6,2647.2,0.6,2204.0,2211.2,-0.3,162.7,96.6,68.4,1024.8,958.5,6.9,962.5,1961.7,-50.9,-169.7,146.4,-215.9,1934.2,1177.7,64.2,1047.9,992.9,5.5,2085.6,2040.2,2.2,1630.6,1734.7,-6.0,3035.9,2948.1,3.0,646.3,480.5,34.5,3559.9,4008.1,-11.2,3927.5,3216.9,22.1,611.8,614.5,-0.4,81.7,63.9,27.9,73.4,89.1,-17.6,113.3,81.3,39.4,5427.3,4730.0,14.7,4532.8,3884.6,16.7,568.9,555.5,2.4,325.6,290.0,12.3
2024年7月,40991.7,39569.7,3.6,7179.2,7931.1,-9.5,3714.7,4746.1,-21.7,2383.7,2263.8,5.3,382.5,258.3,48.1,513.6,451.8,13.7,196.4,208.0,-5.6,-11.9,3.4,-450.0,0.3,-0.3,,29045.4,27669.6,5.0,620.0,500.3,23.9,961.6,881.9,9.0,1810.4,1579.8,14.6,1285.0,1273.3,0.9,385.6,325.7,18.4,290.6,290.8,-0.1,200.3,188.4,6.3,147.8,149.0,-0.8,177.9,158.3,12.4,265.2,127.7,107.7,186.8,159.5,17.1,326.5,281.1,16.2,-187.4,188.8,-199.3,2372.6,2263.8,4.8,1986.8,2002.8,-0.8,149.4,72.8,105.2,892.7,802.2,11.3,852.3,1665.7,-48.8,-27.6,47.5,-158.1,1721.7,960.0,79.3,883.1,821.6,7.5,1815.2,1740.5,4.3,1428.7,1471.7,-2.9,2730.6,2558.2,6.7,561.9,410.3,36.9,3074.0,3345.1,-8.1,3362.1,2688.1,25.1,533.3,526.0,1.4,74.7,55.5,34.6,65.2,62.5,4.3,98.4,70.5,39.6,4767.1,3969.0,20.1,3989.6,3237.2,23.2,502.0,493.8,1.7,275.5,237.9,15.8
2024年6月,35110.3,33922.2,3.5,6156.3,6899.9,-10.8,3168.6,4213.3,-24.8,2049.1,1905.4,7.5,341.3,220.0,55.1,430.3,385.4,11.7,159.5,171.8,-7.2,7.4,4.2,76.2,0.3,-0.1,,24985.1,23797.3,5.0,507.6,425.8,19.2,847.1,769.2,10.1,1597.4,1412.0,13.1,1133.1,1125.9,0.6,323.3,271.0,19.3,240.6,245.1,-1.8,171.7,159.2,7.9,126.3,123.1,2.6,137.8,132.7,3.8,227.9,111.2,104.9,154.2,132.8,16.1,281.8,234.7,20.1,-159.9,172.9,-192.5,2041.1,1994.7,2.3,1805.9,1792.6,0.7,126.5,55.5,127.9,744.1,669.1,11.2,726.5,1449.3,-49.9,-3.1,5.5,-156.4,1454.6,816.2,78.2,722.5,661.0,9.3,1521.3,1468.9,3.6,1242.2,1297.1,-4.2,2377.0,2147.1,10.7,470.2,345.7,36.0,2582.2,2807.3,-8.0,2942.0,2373.3,24.0,447.4,447.6,0.0,62.6,46.0,36.1,49.4,45.7,8.1,83.6,58.9,41.9,3968.8,3225.1,23.1,3304.5,2598.1,27.2,442.7,436.3,1.5,221.7,190.7,16.3
2024年12月,74310.5,76814.4,-3.3,11271.9,12521.0,-10.0,6046.4,7772.5,-22.2,3382.7,2963.3,14.2,541.6,557.7,-2.9,917.9,782.3,17.3,404.2,421.7,-4.1,-22.1,25.2,-187.7,1.1,-1.8,,55141.1,57396.1,-3.9,1363.6,1366.1,-0.2,1780.9,1676.0,6.3,3287.2,3069.1,7.1,1610.0,1528.4,5.3,868.7,839.8,3.4,623.8,614.4,1.5,460.9,453.5,1.6,364.9,416.2,-12.3,372.4,372.9,-0.1,519.7,493.9,5.2,343.6,383.5,-10.4,652.2,622.5,4.8,-463.0,466.0,-199.4,4250.1,4650.7,-8.6,3420.7,3458.5,-1.1,358.1,268.1,33.6,1704.3,1706.3,-0.1,1815.2,3304.5,-45.1,291.9,642.7,-54.6,3320.9,2883.1,15.2,1857.8,1897.2,-2.1,3447.3,3423.5,0.7,2900.2,2869.2,1.1,4622.6,5023.9,-8.0,1092.4,899.3,21.5,6200.6,6325.0,-2.0,6408.0,6195.4,3.4,1105.8,1068.4,3.5,130.8,107.7,21.4,228.2,204.6,11.5,201.2,165.6,21.5,7897.6,6897.3,14.5,6524.2,5538.5,17.8,890.8,901.4,-1.2,482.7,457.4,5.5
2024年11月,66674.8,69936.4,-4.7,10796.2,12442.8,-13.2,5640.5,7271.8,-22.4,3398.3,3554.1,-4.4,512.6,491.4,4.3,872.8,728.7,19.8,365.3,375.3,-2.7,5.8,22.5,-74.2,1.0,-1.0,,48524.9,50863.3,-4.6,1139.9,1134.4,0.5,1551.7,1476.2,5.1,2975.3,2721.5,9.3,1754.4,1718.2,2.1,691.8,661.2,4.6,549.5,528.7,3.9,410.6,392.2,4.7,294.7,334.5,-11.9,313.9,307.6,2.0,412.7,366.5,12.6,296.6,313.6,-5.4,574.5,536.8,7.0,-419.9,511.4,-182.1,3804.7,4196.2,-9.3,3050.7,3134.3,-2.7,265.8,198.9,33.6,1495.7,1509.1,-0.9,1539.1,2973.2,-48.2,78.6,481.2,-83.7,3013.1,2507.0,20.2,1572.5,1629.0,-3.5,2995.0,2997.5,-0.1,2481.5,2505.1,-0.9,4132.0,4457.2,-7.3,983.9,759.5,29.5,5495.3,5670.8,-3.1,5653.4,5496.2,2.9,942.2,940.4,0.2,115.7,97.4,18.8,172.5,163.5,5.5,187.4,144.2,30.0,7353.7,6630.3,10.9,6103.3,5377.6,13.5,783.6,816.2,-4.0,466.8,436.4,7.0
