时间,工业企业所有者权益合计_本月末,工业企业所有者权益合计_上年同期,工业企业所有者权益合计_增减,采矿业所有者权益合计_本月末,采矿业所有者权益合计_上年同期,采矿业所有者权益合计_增减,煤炭开采和洗选业所有者权益合计_本月末,煤炭开采和洗选业所有者权益合计_上年同期,煤炭开采和洗选业所有者权益合计_增减,石油和天然气开采业所有者权益合计_本月末,石油和天然气开采业所有者权益合计_上年同期,石油和天然气开采业所有者权益合计_增减,黑色金属矿采选业所有者权益合计_本月末,黑色金属矿采选业所有者权益合计_上年同期,黑色金属矿采选业所有者权益合计_增减,有色金属矿采选业所有者权益合计_本月末,有色金属矿采选业所有者权益合计_上年同期,有色金属矿采选业所有者权益合计_增减,非金属矿采选业所有者权益合计_本月末,非金属矿采选业所有者权益合计_上年同期,非金属矿采选业所有者权益合计_增减,开采专业及辅助性活动所有者权益合计_本月末,开采专业及辅助性活动所有者权益合计_上年同期,开采专业及辅助性活动所有者权益合计_增减,其他采矿业所有者权益合计_本月末,其他采矿业所有者权益合计_上年同期,其他采矿业所有者权益合计_增减,制造业所有者权益合计_本月末,制造业所有者权益合计_上年同期,制造业所有者权益合计_增减,农副食品加工业所有者权益合计_本月末,农副食品加工业所有者权益合计_上年同期,农副食品加工业所有者权益合计_增减,食品制造业所有者权益合计_本月末,食品制造业所有者权益合计_上年同期,食品制造业所有者权益合计_增减,酒、饮料和精制茶制造业所有者权益合计_本月末,酒、饮料和精制茶制造业所有者权益合计_上年同期,酒、饮料和精制茶制造业所有者权益合计_增减,烟草制品业所有者权益合计_本月末,烟草制品业所有者权益合计_上年同期,烟草制品业所有者权益合计_增减,纺织业所有者权益合计_本月末,纺织业所有者权益合计_上年同期,纺织业所有者权益合计_增减,纺织服装、服饰业所有者权益合计_本月末,纺织服装、服饰业所有者权益合计_上年同期,纺织服装、服饰业所有者权益合计_增减,皮革、毛皮、羽毛及其制品和制鞋业所有者权益合计_本月末,皮革、毛皮、羽毛及其制品和制鞋业所有者权益合计_上年同期,皮革、毛皮、羽毛及其制品和制鞋业所有者权益合计_增减,木材加工和木、竹、藤、棕、草制品业所有者权益合计_本月末,木材加工和木、竹、藤、棕、草制品业所有者权益合计_上年同期,木材加工和木、竹、藤、棕、草制品业所有者权益合计_增减,家具制造业所有者权益合计_本月末,家具制造业所有者权益合计_上年同期,家具制造业所有者权益合计_增减,造纸和纸制品业所有者权益合计_本月末,造纸和纸制品业所有者权益合计_上年同期,造纸和纸制品业所有者权益合计_增减,印刷和记录媒介复制业所有者权益合计_本月末,印刷和记录媒介复制业所有者权益合计_上年同期,印刷和记录媒介复制业所有者权益合计_增减,文教、工美、体育和娱乐用品制造业所有者权益合计_本月末,文教、工美、体育和娱乐用品制造业所有者权益合计_上年同期,文教、工美、体育和娱乐用品制造业所有者权益合计_增减,石油、煤炭及其他燃料加工业所有者权益合计_本月末,石油、煤炭及其他燃料加工业所有者权益合计_上年同期,石油、煤炭及其他燃料加工业所有者权益合计_增减,化学原料和化学制品制造业所有者权益合计_本月末,化学原料和化学制品制造业所有者权益合计_上年同期,化学原料和化学制品制造业所有者权益合计_增减,医药制造业所有者权益合计_本月末,医药制造业所有者权益合计_上年同期,医药制造业所有者权益合计_增减,化学纤维制造业所有者权益合计_本月末,化学纤维制造业所有者权益合计_上年同期,化学纤维制造业所有者权益合计_增减,橡胶和塑料制品业所有者权益合计_本月末,橡胶和塑料制品业所有者权益合计_上年同期,橡胶和塑料制品业所有者权益合计_增减,非金属矿物制品业所有者权益合计_本月末,非金属矿物制品业所有者权益合计_上年同期,非金属矿物制品业所有者权益合计_增减,黑色金属冶炼和压延加工业所有者权益合计_本月末,黑色金属冶炼和压延加工业所有者权益合计_上年同期,黑色金属冶炼和压延加工业所有者权益合计_增减,有色金属冶炼和压延加工业所有者权益合计_本月末,有色金属冶炼和压延加工业所有者权益合计_上年同期,有色金属冶炼和压延加工业所有者权益合计_增减,金属制品业所有者权益合计_本月末,金属制品业所有者权益合计_上年同期,金属制品业所有者权益合计_增减,通用设备制造业所有者权益合计_本月末,通用设备制造业所有者权益合计_上年同期,通用设备制造业所有者权益合计_增减,专用设备制造业所有者权益合计_本月末,专用设备制造业所有者权益合计_上年同期,专用设备制造业所有者权益合计_增减,汽车制造业所有者权益合计_本月末,汽车制造业所有者权益合计_上年同期,汽车制造业所有者权益合计_增减,铁路、船舶、航空航天和其他运输设备制造业所有者权益合计_本月末,铁路、船舶、航空航天和其他运输设备制造业所有者权益合计_上年同期,铁路、船舶、航空航天和其他运输设备制造业所有者权益合计_增减,电气机械和器材制造业所有者权益合计_本月末,电气机械和器材制造业所有者权益合计_上年同期,电气机械和器材制造业所有者权益合计_增减,计算机、通信和其他电子设备制造业所有者权益合计_本月末,计算机、通信和其他电子设备制造业所有者权益合计_上年同期,计算机、通信和其他电子设备制造业所有者权益合计_增减,仪器仪表制造业所有者权益合计_本月末,仪器仪表制造业所有者权益合计_上年同期,仪器仪表制造业所有者权益合计_增减,其他制造业所有者权益合计_本月末,其他制造业所有者权益合计_上年同期,其他制造业所有者权益合计_增减,废弃资源综合利用业所有者权益合计_本月末,废弃资源综合利用业所有者权益合计_上年同期,废弃资源综合利用业所有者权益合计_增减,金属制品、机械和设备修理业所有者权益合计_本月末,金属制品、机械和设备修理业所有者权益合计_上年同期,金属制品、机械和设备修理业所有者权益合计_增减,电力、热力、燃气及水生产和供应业所有者权益合计_本月末,电力、热力、燃气及水生产和供应业所有者权益合计_上年同期,电力、热力、燃气及水生产和供应业所有者权益合计_增减,电力、热力生产和供应业所有者权益合计_本月末,电力、热力生产和供应业所有者权益合计_上年同期,电力、热力生产和供应业所有者权益合计_增减,燃气生产和供应业所有者权益合计_本月末,燃气生产和供应业所有者权益合计_上年同期,燃气生产和供应业所有者权益合计_增减,水的生产和供应业所有者权益合计_本月末,水的生产和供应业所有者权益合计_上年同期,水的生产和供应业所有者权益合计_增减
2025年5月,770935.7,735783.1,4.8,62178.8,60269.0,3.2,31302.5,31095.7,0.7,14626.8,13874.3,5.4,5722.3,5599.6,2.2,3602.3,3169.5,13.7,5286.4,5013.6,5.4,1631.6,1512.5,7.9,7.0,3.9,79.5,580297.4,554610.8,4.6,13462.4,13100.6,2.8,11437.1,10896.0,5.0,13484.8,12849.7,4.9,9826.1,9469.9,3.8,9223.9,9133.2,1.0,4813.5,4688.6,2.7,2612.4,2572.7,1.5,2393.5,2340.5,2.3,2884.3,2883.5,0.0,7289.6,7091.5,2.8,3859.4,3896.2,-0.9,4189.5,3976.9,5.3,12691.2,13630.8,-6.9,52653.1,50148.7,5.0,31761.7,30744.3,3.3,4557.1,4464.9,2.1,16095.8,15204.5,5.9,35002.2,35083.5,-0.2,27041.3,26826.1,0.8,21907.8,20328.7,7.8,18271.2,17273.5,5.8,30856.3,28942.3,6.6,30432.4,28385.9,7.2,41116.1,39470.8,4.2,9563.8,8558.5,11.7,53406.7,49481.8,7.9,94396.2,89078.8,6.0,9220.8,8553.5,7.8,1038.9,983.7,5.6,2470.9,2324.4,6.3,2337.6,2226.5,5.0,128459.4,120903.2,6.2,104972.8,98914.4,6.1,8730.9,8413.5,3.8,14755.6,13575.3,8.7
2025年4月,767245.0,732902.6,4.7,61931.3,59655.3,3.8,31246.9,30821.5,1.4,14373.6,13574.4,5.9,5722.1,5615.4,1.9,3680.9,3150.4,16.8,5258.6,4960.9,6.0,1642.7,1529.1,7.4,6.2,3.6,72.2,577313.5,552888.1,4.4,13444.1,13064.7,2.9,11381.9,10885.9,4.6,13534.5,12842.4,5.4,9763.7,9365.9,4.2,9181.0,9076.4,1.2,4777.5,4697.4,1.7,2618.9,2564.5,2.1,2393.1,2335.0,2.5,2879.2,2888.2,-0.3,7260.1,7072.8,2.6,3868.5,3879.2,-0.3,4177.7,3975.4,5.1,12784.3,13628.2,-6.2,52542.2,50234.1,4.6,31693.2,30709.3,3.2,4612.3,4451.9,3.6,15946.2,15062.9,5.9,34887.8,35091.1,-0.6,26999.5,26726.6,1.0,21637.8,20276.6,6.7,18259.6,17201.9,6.1,30666.3,28785.9,6.5,30413.3,28390.6,7.1,41145.1,39666.2,3.7,9462.7,8526.4,11.0,52682.7,49268.6,6.9,93260.9,88166.2,5.8,9189.3,8589.1,7.0,1044.0,974.1,7.2,2471.4,2284.0,8.2,2334.9,2206.8,5.8,128000.3,120359.3,6.3,104583.1,98531.3,6.1,8692.0,8339.0,4.2,14725.2,13488.9,9.2
2025年3月,763496.9,729620.0,4.6,61366.1,59367.0,3.4,31047.6,30696.0,1.1,14112.8,13648.0,3.4,5719.4,5581.2,2.5,3607.7,3006.0,20.0,5208.8,4878.3,6.8,1631.2,1521.9,7.2,38.6,35.7,8.1,574594.4,550534.8,4.4,13410.0,13007.6,3.1,11336.0,10847.1,4.5,13406.9,12658.6,5.9,9566.5,9265.5,3.2,9121.5,9009.8,1.2,4789.2,4657.6,2.8,2602.9,2551.2,2.0,2371.8,2308.5,2.7,2883.7,2876.7,0.2,7264.0,7069.8,2.7,3856.6,3877.9,-0.5,4140.5,3941.8,5.0,12634.9,13518.7,-6.5,52289.8,50182.2,4.2,31615.5,30728.0,2.9,4592.9,4367.4,5.2,15821.9,14927.9,6.0,35002.2,35259.0,-0.7,26927.6,26834.8,0.3,21587.6,19936.4,8.3,18069.5,17111.9,5.6,30615.6,28831.6,6.2,30163.4,28100.1,7.3,41006.7,40088.5,2.3,9317.7,8409.8,10.8,52774.7,49061.3,7.6,92409.9,87075.2,6.1,9126.0,8545.8,6.8,1038.1,980.7,5.9,2491.4,2277.8,9.4,2359.4,2225.8,6.0,127536.6,119718.2,6.5,104296.4,98050.2,6.4,8626.4,8294.7,4.0,14613.7,13373.4,9.3
2025年2月,758940.9,726949.7,4.4,60961.2,59192.1,3.0,30947.9,30939.2,0.0,13831.0,13259.4,4.3,5749.2,5528.3,4.0,3548.4,2998.9,18.3,5224.0,4914.6,6.3,1622.1,1515.6,7.0,38.6,36.1,6.9,571431.7,549041.2,4.1,13382.1,12991.4,3.0,11328.9,10812.1,4.8,13175.3,12517.2,5.3,9457.5,9186.6,2.9,9118.3,9001.8,1.3,4801.6,4628.5,3.7,2590.6,2539.1,2.0,2361.1,2309.5,2.2,2904.6,2898.3,0.2,7267.6,7070.3,2.8,3834.1,3863.2,-0.8,4059.2,3919.1,3.6,12653.5,13473.8,-6.1,51998.1,50220.3,3.5,31440.7,30592.2,2.8,4522.0,4325.2,4.6,15750.2,14837.2,6.2,35071.3,35290.1,-0.6,26934.0,26980.5,-0.2,21574.2,19948.7,8.1,18102.9,17067.8,6.1,30470.6,29205.1,4.3,29899.1,27976.9,6.9,40651.0,39700.1,2.4,9215.8,8389.5,9.8,52031.2,48830.5,6.6,91879.7,86513.0,6.2,9103.8,8488.0,7.3,1030.4,966.1,6.7,2461.7,2283.7,7.8,2360.5,2215.6,6.5,126548.0,118716.4,6.6,103397.9,97173.7,6.4,8618.8,8248.2,4.5,14531.4,13294.4,9.3
2024年12月,758283.8,727949.1,4.2,60295.5,58647.4,2.8,31009.8,30545.9,1.5,13086.5,13076.0,0.1,5759.5,5455.6,5.6,3492.2,3134.3,11.4,5139.4,4805.4,7.0,1804.7,1625.8,11.0,3.4,4.5,-24.4,574629.1,553246.4,3.9,13864.9,13397.8,3.5,11144.7,10689.8,4.3,13438.6,12727.0,5.6,8926.8,8674.2,2.9,9472.5,9440.9,0.3,5074.5,5026.4,1.0,2688.7,2737.3,-1.8,2608.4,2668.5,-2.3,2965.4,2937.8,0.9,7315.1,7066.8,3.5,3995.3,3998.2,-0.1,4182.3,4130.5,1.3,12732.3,13396.1,-5.0,52748.1,50085.0,5.3,31138.0,30275.2,2.8,4607.1,4435.4,3.9,15776.7,15162.1,4.1,36167.4,36596.2,-1.2,26828.1,27186.6,-1.3,21775.4,20271.1,7.4,18206.4,17243.0,5.6,30541.5,28971.0,5.4,29885.0,28128.5,6.2,40943.6,39956.8,2.5,9142.1,8422.6,8.5,51697.8,49310.4,4.8,91841.9,86229.6,6.5,8988.4,8511.0,5.6,1040.9,976.5,6.6,2547.3,2385.2,6.8,2343.6,2209.1,6.1,123359.1,116055.1,6.3,101293.2,95063.4,6.6,8120.0,7882.2,3.0,13945.9,13109.5,6.4
2024年11月,753572.9,720700.9,4.6,62331.3,60551.8,2.9,31850.1,31691.6,0.5,14180.5,14251.7,-0.5,5764.0,5142.6,12.1,3487.8,3127.2,11.5,5176.8,4674.1,10.8,1868.0,1661.1,12.5,4.0,3.5,14.3,569188.8,548175.9,3.8,13531.6,13147.7,2.9,10987.3,10698.5,2.7,13785.8,12839.5,7.4,8940.8,9071.6,-1.4,9366.1,9282.0,0.9,4993.9,4920.3,1.5,2669.7,2676.7,-0.3,2499.4,2541.4,-1.7,2949.5,2891.3,2.0,7238.7,6996.7,3.5,3958.2,3938.6,0.5,4118.3,4065.9,1.3,12957.9,13529.9,-4.2,51179.6,49793.6,2.8,31175.6,30296.4,2.9,4520.9,4383.7,3.1,15684.3,15136.1,3.6,35965.3,36114.3,-0.4,26791.1,27017.2,-0.8,21588.6,19997.0,8.0,18000.1,16989.6,5.9,30217.2,28759.6,5.1,29551.3,27799.9,6.3,40626.7,39766.1,2.2,9132.6,8284.5,10.2,51262.8,48637.0,5.4,90772.2,84795.6,7.0,8879.1,8413.3,5.5,1041.8,964.3,8.0,2444.4,2241.4,9.1,2357.7,2186.3,7.8,122052.9,111973.3,9.0,100230.5,91091.5,10.0,8063.5,7904.4,2.0,13758.9,12977.3,6.0
2024年10月,747317.2,712469.3,4.9,61925.3,59972.2,3.3,31645.2,31349.7,0.9,14154.6,13999.7,1.1,5657.8,5072.8,11.5,3503.9,3154.3,11.1,5140.2,4664.8,10.2,1819.8,1727.8,5.3,3.8,3.1,22.6,564131.9,541818.4,4.1,13367.3,12879.9,3.8,10956.8,10538.9,4.0,13304.1,12771.0,4.2,8851.0,9082.0,-2.5,9374.6,9176.4,2.2,4916.5,4856.6,1.2,2657.6,2630.8,1.0,2435.1,2375.3,2.5,2899.1,2841.6,2.0,7189.6,6908.5,4.1,3922.2,3902.7,0.5,4062.8,4007.7,1.4,13044.6,13471.2,-3.2,51187.9,49711.6,3.0,30966.9,29958.7,3.4,4438.9,4358.4,1.8,15540.9,14983.6,3.7,35084.7,35241.3,-0.4,26405.2,26881.4,-1.8,21576.1,19632.1,9.9,17824.8,16749.8,6.4,29934.9,28265.3,5.9,29264.0,27572.2,6.1,40406.5,39203.5,3.1,8972.7,8152.4,10.1,50587.3,47670.9,6.1,90481.8,84363.1,7.3,8737.8,8270.4,5.7,1007.5,940.3,7.1,2373.7,2252.3,5.4,2358.9,2168.4,8.8,121260.0,110678.6,9.6,99622.9,90081.8,10.6,8044.9,7814.3,3.0,13592.2,12782.6,6.3
2024年9月,739996.0,706504.5,4.7,61787.2,59263.0,4.3,31599.1,31222.6,1.2,14317.3,13734.8,4.2,5678.8,5065.0,12.1,3368.0,3101.2,8.6,5017.1,4500.9,11.5,1803.1,1636.1,10.2,4.0,2.5,60.0,558760.9,536882.1,4.1,13208.5,12713.9,3.9,10864.0,10404.6,4.4,13204.6,12637.6,4.5,8784.6,9663.3,-9.1,9326.0,9055.6,3.0,4849.7,4775.6,1.6,2630.6,2601.6,1.1,2397.7,2317.4,3.5,2770.2,2810.8,-1.4,7144.2,6847.8,4.3,3902.8,3857.1,1.2,4034.2,3958.8,1.9,12999.5,13416.5,-3.1,50195.3,48782.9,2.9,30760.9,29682.8,3.6,4406.1,4299.5,2.5,15392.8,14716.5,4.6,34911.1,34778.3,0.4,26443.3,26879.3,-1.6,21378.0,19356.1,10.4,17595.9,16496.5,6.7,29505.7,27638.9,6.8,29031.2,27294.3,6.4,40085.6,39179.5,2.3,8875.7,8082.4,9.8,50064.1,47074.8,6.4,89655.1,84054.6,6.7,8683.5,8195.6,6.0,988.7,932.9,6.0,2356.1,2224.0,5.9,2315.2,2152.5,7.6,119448.0,110359.5,8.2,98021.0,90023.9,8.9,7997.8,7785.9,2.7,13429.2,12549.7,7.0
2024年8月,736023.6,699873.0,5.2,61284.1,58836.4,4.2,31477.1,30842.5,2.1,14055.0,13775.4,2.0,5663.3,5048.2,12.2,3302.1,3091.3,6.8,4965.7,4446.3,11.7,1817.1,1629.3,11.5,3.8,3.5,8.6,555632.3,531856.2,4.5,13448.6,12774.8,5.3,10782.0,10343.9,4.2,13002.7,12142.9,7.1,8699.8,9552.3,-8.9,9221.5,9051.6,1.9,4820.7,4767.1,1.1,2645.0,2606.1,1.5,2372.5,2289.1,3.6,2864.3,2820.9,1.5,7092.8,6840.7,3.7,3908.2,3832.5,2.0,4002.3,3911.2,2.3,13038.0,13317.9,-2.1,49977.5,48254.8,3.6,30595.3,29431.3,4.0,4388.8,4230.3,3.7,15354.1,14605.2,5.1,34745.3,34464.0,0.8,26725.6,26835.9,-0.4,21090.7,19100.6,10.4,17578.8,16271.2,8.0,29317.2,27414.1,6.9,28732.3,27145.3,5.8,39718.1,38845.1,2.2,8770.5,7810.7,12.3,49669.5,46626.3,6.5,88866.5,83151.4,6.9,8609.2,8118.6,6.0,986.9,905.1,9.0,2319.3,2230.5,4.0,2288.8,2165.2,5.7,119107.2,109180.3,9.1,97777.9,88908.2,10.0,8009.4,7778.9,3.0,13319.9,12493.3,6.6
2024年7月,732465.3,693250.6,5.7,60554.2,58358.9,3.8,31228.9,30630.3,2.0,13795.0,13495.5,2.2,5630.5,5057.6,11.3,3269.9,3070.7,6.5,4817.2,4469.8,7.8,1808.6,1631.2,10.9,4.2,3.9,7.7,553337.9,526538.3,5.1,13343.5,12708.0,5.0,10742.8,10241.1,4.9,12941.8,12076.3,7.2,8955.9,9510.0,-5.8,9215.2,8973.7,2.7,4791.9,4729.7,1.3,2567.2,2519.8,1.9,2362.0,2268.7,4.1,2846.2,2783.1,2.3,7083.4,6778.4,4.5,3906.8,3811.5,2.5,3965.8,3879.4,2.2,13194.0,13388.9,-1.5,49832.9,47990.0,3.8,30601.3,29268.6,4.6,4423.0,4213.0,5.0,15221.8,14406.8,5.7,34681.6,34181.1,1.5,26864.4,26752.5,0.4,21017.1,18835.2,11.6,17439.9,16102.7,8.3,29076.1,27165.5,7.0,28611.7,26807.5,6.7,39393.8,38475.8,2.4,8679.3,7636.5,13.7,49364.4,46020.7,7.3,88065.8,81734.0,7.7,8585.3,8042.8,6.7,987.2,900.4,9.6,2298.7,2183.2,5.3,2276.9,2153.6,5.7,118573.2,108353.3,9.4,97334.1,88188.9,10.4,7932.6,7757.0,2.3,13306.5,12407.4,7.2
