时间,货运量_当期值,货运量_累计值,货运量_同比增长,货运量_累计增长,铁路货运量_当期值,铁路货运量_累计值,铁路货运量_同比增长,铁路货运量_累计增长,公路货运量_当期值,公路货运量_累计值,公路货运量_同比增长,公路货运量_累计增长,水运货运量_当期值,水运货运量_累计值,水运货运量_同比增长,水运货运量_累计增长,民航货运量_当期值,民航货运量_累计值,民航货运量_同比增长,民航货运量_累计增长
2025年6月,494827.411,2802987.15445,2.8579474321,3.8692857508,43760.2406,255820.1622,2.2860842179,1.7987820652,365145.9486,2057052.3417,2.8672562986,4.0350629072,85832.7212,489636.2156,3.0981467901,4.2697321045,88.5006,478.43495,18.4,14.6
2025年5月,499136.031077,2308159.743446,1.8491951955,4.0886922049,43974.8287,212059.9216,0.6992011867,1.6987973663,368092.5483,1691906.3931,1.6957268909,4.290585339,86982.941,403803.4944,3.0898,4.5222,85.7130767,389.9343459,16.6407686552,13.7880446939
2025年4月,503278.94045,1809023.70553,4.335429209,4.724043148,42769.2299,168085.0929,4.9324505489,1.9635977873,374574.7162,1323813.8448,4.147232002,5.0357948688,85855.0705,316820.5534,4.8544765235,4.9224479857,79.92385,304.21443,16.8,13.0
2025年3月,503014.217295,1305744.765078,5.0127518796,4.8746023607,44525.6825,125315.863,2.3535919537,0.9884377041,372775.6957,949239.1286,4.895978506,5.3769872101,85631.188,230965.4829,6.8109750774,4.9477369814,81.6510952,224.2905775,15.2624225134,11.712353017
2025年2月,,802730.54778,,4.7882189657,,80790.1805,,0.2515155876,,576463.4329,,5.7041170607,,145334.2949,,3.8800389534,,142.63948,,9.8
2024年9月,495802.468664,4163106.093897,2.3151560352,3.34446744,42700.9839,380515.2955,3.3714379271,2.6554625126,369876.1081,3066137.4126,2.0510197898,3.0823234803,83145.3866,715804.4671,2.9502056037,4.8445503187,79.9900641,648.9186971,13.8847136414,24.3919433442
2024年8月,488060.76052,3667303.62453,1.727573617,3.4865424931,43285.1519,337814.3116,5.4015680211,2.5656660158,360840.2869,2696261.3045,0.9241586026,3.2254269656,83858.9699,632659.0805,3.3367562586,5.0987046802,76.35182,568.92793,20.1,26.0
2024年7月,480671.163871,3179242.863575,1.366068231,3.7619703346,43229.3267,294529.1597,4.1958015428,2.1617017476,358152.6965,2335421.0176,1.2643926727,3.5903837207,79213.9654,548800.1106,0.3166585472,5.3732436807,75.1752708,492.5756748,25.1,27.0
2024年6月,481100.0,2698600.0,2.8,4.2,42800.0,251300.0,7.5,1.8,355000.0,1977300.0,2.2,4.0,83300.0,469600.0,3.2,6.3,74.72,417.38,15.5,27.4
2024年12月,513968.50883,5687451.4511,8.6893827614,3.8848822727,45928.7929,517477.446,4.9937028412,2.7784660439,377354.9183,4188015.7956,9.9356421077,3.8255998728,90600.2105,981060.0334,5.689699231,4.7306162726,84.58713,898.1761,13.8,22.1
2024年11月,508734.012972,5173483.036016,4.2150622298,3.4855000033,45496.3995,471548.6531,6.3860024693,3.1623974022,374210.6008,3810660.8773,3.72427862,3.2571601137,88943.1476,890459.8229,5.200663519,4.6340086814,83.8650722,813.6827155,16.6,23.1
2024年10月,501642.929146,4664749.023043,3.9246788223,3.4065517734,45536.9581,426052.2536,4.3088156669,2.8296689506,370312.8639,3436450.2765,4.2467216905,3.2065473652,85712.2082,801516.6753,2.3455741524,4.5715038759,80.8989462,729.8176433,19.9,23.9
