时间,企业单位数_本月末,亏损企业_本月末,亏损企业_上年同期,亏损企业_增减,流动资产合计_本月末,流动资产合计_上年同期,流动资产合计_增减,应收账款_本月末,应收账款_上年同期,应收账款_增减,存货_本月末,存货_上年同期,存货_增减,产成品存货_本月末,产成品存货_上年同期,产成品存货_增减,资产总计_本月末,资产总计_上年同期,资产总计_增减,负债合计_本月末,负债合计_上年同期,负债合计_增减,销售费用_累计值,销售费用_上年同期累计值,销售费用_累计增长,管理费用_累计值,管理费用_上年同期累计值,管理费用_累计增长,财务费用_累计值,财务费用_上年同期累计值,财务费用_累计增长,投资收益_累计值,投资收益_上年同期累计值,投资收益_累计增长,营业利润_累计值,营业利润_上年同期累计值,营业利润_累计增长,利润总额_累计值,利润总额_上年同期累计值,利润总额_累计增长,亏损企业亏损总额_累计值,亏损企业亏损总额_上年同期累计值,亏损企业亏损总额_累计增长,营业收入_累计值,营业收入_上年同期累计值,营业收入_累计增长,营业成本_累计值,营业成本_上年同期累计值,营业成本_累计增长,所有者权益合计_本月末,所有者权益合计_上年同期,所有者权益合计_增减,平均用工人数_累计值,平均用工人数_上年同期累计值,平均用工人数_累计增长
2025年5月,519513.0,158111.0,156069.0,1.3,932974.2,887517.0,5.1,264024.6,242172.4,9.0,172251.7,167910.6,2.6,66498.8,64278.2,3.5,1823580.7,1735159.1,5.1,1052645.0,999376.0,5.3,12044.0,12321.7,-2.3,17351.1,17197.8,0.9,3921.0,4010.9,-2.2,2872.0,3289.0,-12.7,26594.5,26840.3,-0.9,27204.3,27511.4,-1.1,8300.5,8627.3,-3.8,547596.2,532986.9,2.7,468815.0,455026.7,3.0,770935.7,735783.1,4.8,7319.2,7353.0,-0.5
2025年4月,519208.0,164467.0,165169.0,-0.4,927698.6,878890.2,5.6,258579.8,235782.4,9.7,171340.7,166241.9,3.1,66144.1,63636.1,3.9,1813494.3,1723001.5,5.3,1046249.3,990098.9,5.7,9591.4,9828.3,-2.4,13953.7,13796.6,1.1,3002.7,3213.7,-6.6,1852.7,2178.5,-15.0,20623.4,20313.7,1.5,21170.2,20874.4,1.4,6859.5,7269.8,-5.6,434419.3,421045.8,3.2,371617.5,359361.8,3.4,767245.0,732902.6,4.7,7315.1,7331.5,-0.2
2025年3月,519074.0,184863.0,185602.0,-0.4,920376.9,871476.6,5.6,255869.0,232815.5,9.9,168863.4,163194.4,3.5,65474.3,62827.4,4.2,1803735.9,1712491.4,5.3,1040239.0,982871.4,5.8,7181.2,7349.6,-2.3,10570.7,10448.3,1.2,2429.5,2441.2,-0.5,1217.3,1609.9,-24.4,14714.2,14591.8,0.8,15093.6,14974.2,0.8,5507.3,5864.3,-6.1,321395.9,310968.2,3.4,274389.4,264953.9,3.6,763496.9,729620.0,4.6,7289.2,7281.4,0.1
2025年2月,518554.0,176555.0,175103.0,0.8,902428.2,860818.4,4.8,250737.1,229541.2,9.2,167344.6,161565.3,3.6,63697.1,61129.7,4.2,1782302.4,1698084.3,5.0,1023361.5,971134.6,5.4,4530.2,4623.9,-2.0,6779.6,6717.9,0.9,1641.8,1587.0,3.5,627.6,782.4,-19.8,8860.1,8854.1,0.1,9109.9,9136.9,-0.3,4339.2,4440.0,-2.3,200945.2,195527.4,2.8,171019.5,166189.1,2.9,758940.9,726949.7,4.4,7224.3,7215.9,0.1
2024年9月,505355.0,140468.0,133012.0,5.6,902128.2,869590.4,3.7,257198.1,238943.9,7.6,167138.9,162686.1,2.7,64656.4,61841.1,4.6,1750185.5,1671754.9,4.7,1010189.5,965250.4,4.7,22730.2,22768.0,-0.2,31404.2,30853.7,1.8,7730.2,7283.0,6.1,7163.5,6727.5,6.5,51268.1,52967.3,-3.2,52281.6,54175.1,-3.5,13798.6,12638.3,9.2,992035.2,971733.2,2.1,847018.3,827028.5,2.4,739996.0,706504.5,4.7,7278.5,7404.1,-1.7
2024年8月,503527.0,140884.0,135536.0,3.9,895796.6,861996.3,3.9,255022.6,235345.6,8.4,168301.5,163067.5,3.2,65259.1,62092.1,5.1,1737131.2,1656933.7,4.8,1001107.6,957060.7,4.6,19943.7,19943.5,0.0,27520.0,27011.8,1.9,6519.3,6452.5,1.0,6432.1,5571.4,15.4,45531.4,45167.7,0.8,46527.3,46303.2,0.5,12282.8,11825.8,3.9,871041.6,850424.8,2.4,743769.2,724602.0,2.6,736023.6,699873.0,5.2,7259.5,7388.0,-1.7
2024年7月,502932.0,144174.0,140531.0,2.6,888313.1,849718.1,4.5,250958.2,232112.8,8.1,167703.3,161721.1,3.7,64661.3,61469.0,5.2,1727606.4,1640286.9,5.3,995141.1,947036.3,5.1,17493.4,17431.2,0.4,24117.1,23605.1,2.2,5582.3,5713.2,-2.3,5691.5,4881.4,16.6,40048.8,38518.6,4.0,40991.7,39569.7,3.6,10799.3,10834.4,-0.3,759330.4,738203.7,2.9,647916.5,629225.0,3.0,732465.3,693250.6,5.7,7257.6,7374.8,-1.6
2024年6月,502363.0,149997.0,147333.0,1.8,884689.9,842227.1,5.0,247513.1,227927.8,8.6,165532.3,159943.0,3.5,63665.9,60825.6,4.7,1720462.0,1628363.5,5.7,990716.7,940037.1,5.4,15025.4,14947.5,0.5,20695.1,20205.6,2.4,4784.4,4654.0,2.8,4916.1,4354.8,12.9,34322.3,33005.5,4.0,35110.3,33922.2,3.5,9479.4,9592.8,-1.2,648642.7,630597.5,2.9,553075.6,537590.8,2.9,729745.3,688326.4,6.0,7254.1,7363.3,-1.5
2024年12月,511640.0,116428.0,106629.0,9.2,908946.1,870548.7,4.4,260566.1,239902.2,8.6,166692.7,161961.1,2.9,64367.2,62287.6,3.3,1785378.5,1707793.1,4.5,1027094.7,979844.0,4.8,31372.2,31761.9,-1.2,44639.5,43947.1,1.6,9549.8,9774.3,-2.3,10642.1,10198.4,4.4,73084.7,75377.5,-3.0,74310.5,76814.4,-3.3,18140.1,16216.2,11.9,1377661.8,1349803.0,2.1,1173148.2,1144678.9,2.5,758283.8,727949.1,4.2,7401.9,7533.0,-1.7
2024年11月,511642.0,130072.0,119425.0,8.9,925158.8,890086.1,3.9,269198.9,248012.3,8.5,170288.4,166280.0,2.4,65670.8,63602.6,3.3,1788685.4,1707711.9,4.7,1035112.5,987011.0,4.9,27898.5,28139.0,-0.9,38803.6,38190.7,1.6,8845.9,9037.3,-2.1,8580.4,8302.5,3.3,65446.5,68550.0,-4.5,66674.8,69936.4,-4.7,16134.6,14385.2,12.2,1234796.4,1212731.9,1.8,1053776.8,1030426.4,2.3,753572.9,720700.9,4.6,7344.6,7473.8,-1.7
