时间,全国城镇调查失业率,31个大城市城镇调查失业率,全国城镇本地户籍劳动力失业率,全国城镇外来户籍劳动力失业率,企业就业人员周平均工作时间,全国城镇不包含在校生的16—24岁劳动力失业率,全国城镇不包含在校生的25—29岁劳动力失业率,全国城镇不包含在校生的30—59岁劳动力失业率
2025年5月,5.0,5.0,5.0,5.0,48.5,14.9,7.0,3.9
2025年4月,5.1,5.1,5.2,4.8,48.3,15.8,7.1,4.0
2025年3月,5.2,5.2,5.3,4.9,48.5,16.5,7.2,4.1
2025年2月,5.4,5.2,5.6,5.0,47.1,16.9,7.3,4.3
2025年1月,5.2,5.1,5.4,4.7,49.1,16.1,6.9,4.0
2024年12月,5.1,5.0,5.3,4.6,49.0,15.7,6.6,3.9
2024年11月,5.0,5.0,5.2,4.6,48.9,16.1,6.7,3.8
2024年10月,5.0,5.0,5.1,4.8,48.6,17.1,6.8,3.8
2024年9月,5.1,5.1,5.2,4.8,48.8,17.6,6.7,3.9
2024年8月,5.3,5.4,5.4,4.9,48.7,18.8,6.9,3.9
2024年7月,5.2,5.3,5.2,5.1,48.7,17.1,6.5,3.9
2024年6月,5.0,4.9,5.0,4.8,48.6,13.2,6.4,4.0
