时间,私营工业企业单位数_本月末,私营工业企业亏损企业数_本月末,私营工业企业亏损企业数_上年同期,私营工业企业亏损企业数_增减,私营工业企业流动资产合计_本月末,私营工业企业流动资产合计_上年同期,私营工业企业流动资产合计_增减,私营工业企业应收账款_本月末,私营工业企业应收账款_上年同期,私营工业企业应收账款_增减,私营工业企业存货_本月末,私营工业企业存货_上年同期,私营工业企业存货_增减,私营工业企业产成品存货_本月末,私营工业企业产成品存货_上年同期,私营工业企业产成品存货_增减,私营工业企业资产总计_本月末,私营工业企业资产总计_上年同期,私营工业企业资产总计_增减,私营工业企业负债合计_本月末,私营工业企业负债合计_上年同期,私营工业企业负债合计_增减,私营工业企业所有者权益合计_本月末,私营工业企业所有者权益合计_上年同期,私营工业企业所有者权益合计_增减,私营工业企业营业收入_累计值,私营工业企业营业收入_上年同期累计值,私营工业企业营业收入_累计增长,私营工业企业营业成本_累计值,私营工业企业营业成本_上年同期累计值,私营工业企业营业成本_累计增长,私营工业企业销售费用_累计值,私营工业企业销售费用_上年同期累计值,私营工业企业销售费用_累计增长,私营工业企业管理费用_累计值,私营工业企业管理费用_上年同期累计值,私营工业企业管理费用_累计增长,私营工业企业财务费用_累计值,私营工业企业财务费用_上年同期累计值,私营工业企业财务费用_累计增长,私营工业企业投资收益_累计值,私营工业企业投资收益_上年同期累计值,私营工业企业投资收益_累计增长,私营工业企业营业利润_累计值,私营工业企业营业利润_上年同期累计值,私营工业企业营业利润_累计增长,私营工业企业利润总额_累计值,私营工业企业利润总额_上年同期累计值,私营工业企业利润总额_累计增长,私营工业企业亏损企业亏损总额_累计值,私营工业企业亏损企业亏损总额_上年同期累计值,私营工业企业亏损企业亏损总额_累计增长,私营工业企业平均用工人数_累计值,私营工业企业平均用工人数_上年同期累计值,私营工业企业平均用工人数_累计增长
2025年5月,387628.0,111406.0,109239.0,2.0,323017.5,305783.3,5.6,98023.0,91488.5,7.1,69274.3,66525.7,4.1,30707.9,29105.1,5.5,522312.1,495912.9,5.3,309129.9,294955.3,4.8,213182.2,200957.6,6.1,201856.9,195418.0,3.3,175268.6,169806.3,3.2,5206.1,5198.3,0.2,7507.9,7401.7,1.4,1195.7,1278.1,-6.4,577.3,775.4,-25.5,7204.8,6870.9,4.9,7592.5,7341.9,3.4,2641.9,2759.6,-4.3,3565.5,3577.4,-0.3
2025年4月,387498.0,116247.0,116114.0,0.1,320623.3,303194.6,5.7,95918.6,88982.9,7.8,68895.8,65808.5,4.7,30508.9,28659.1,6.5,519135.6,492651.4,5.4,307568.6,292514.1,5.1,211567.0,200137.3,5.7,159078.9,153527.3,3.6,138196.5,133492.9,3.5,4156.7,4141.4,0.4,6058.4,5956.8,1.7,908.2,1035.7,-12.3,384.0,573.4,-33.0,5380.3,5089.0,5.7,5706.8,5472.8,4.3,2255.8,2393.1,-5.7,3559.0,3561.8,-0.1
2025年3月,387683.0,132380.0,132106.0,0.2,319065.9,300400.1,6.2,94858.9,87812.1,8.0,68024.1,64604.6,5.3,30184.4,28286.0,6.7,516649.9,488613.9,5.7,306663.1,290283.9,5.6,209986.8,198330.0,5.9,116227.8,112245.8,3.5,101030.4,97602.0,3.5,3104.4,3095.8,0.3,4611.7,4525.6,1.9,749.4,795.2,-5.8,259.1,463.9,-44.1,3479.5,3439.6,1.2,3709.7,3719.0,-0.3,1899.2,1972.9,-3.7,3540.6,3530.1,0.3
2025年2月,387478.0,123129.0,121528.0,1.3,312994.0,296102.1,5.7,93817.8,86775.2,8.1,66709.3,63431.2,5.2,28884.3,27288.1,5.8,509596.9,483341.3,5.4,300707.0,285224.1,5.4,208889.9,198117.2,5.4,71884.6,70248.3,2.3,62456.6,60969.8,2.4,1960.5,1949.2,0.6,2957.8,2903.0,1.9,497.6,501.2,-0.7,118.3,247.5,-52.2,2057.3,2244.1,-8.3,2209.9,2428.7,-9.0,1541.1,1447.8,6.4,3503.8,3495.8,0.2
2024年12月,382571.0,80777.0,72128.0,12.0,319602.2,305140.3,4.7,100666.6,94162.9,6.9,67071.1,64971.6,3.2,29799.3,28712.6,3.8,518967.3,497583.1,4.3,306157.5,293463.8,4.3,212809.8,204119.3,4.3,512410.2,500264.6,2.4,439232.4,428511.9,2.5,13439.7,13449.5,-0.1,18988.2,18470.7,2.8,3117.1,3204.7,-2.7,1795.8,1431.7,25.4,22318.2,22061.2,1.2,23245.8,23134.4,0.5,4976.3,4629.0,7.5,3600.8,3674.8,-2.0
2024年11月,382603.0,90595.0,81204.0,11.6,320826.5,308124.6,4.1,100395.3,94146.3,6.6,68081.4,66199.1,2.8,30226.8,29122.3,3.8,515981.4,494953.2,4.2,305526.6,293793.9,4.0,210454.8,201159.3,4.6,456617.2,447243.2,2.1,393834.0,385117.5,2.3,11826.7,11800.2,0.2,16608.2,16192.5,2.6,2846.2,2923.8,-2.7,1561.6,1187.6,31.5,18812.1,18868.3,-0.3,19649.1,19854.0,-1.0,4816.4,4303.5,11.9,3556.2,3629.5,-2.0
2024年10月,380493.0,95343.0,86895.0,9.7,316166.0,303613.6,4.1,97808.3,91617.0,6.8,67456.6,65587.5,2.8,29969.8,28802.5,4.1,509045.5,487520.8,4.4,301453.9,289398.4,4.2,207591.6,198122.4,4.8,408798.2,400063.6,2.2,353519.8,345508.1,2.3,10672.8,10609.5,0.6,14983.2,14592.6,2.7,2636.5,2634.5,0.1,1283.0,1076.3,19.2,15711.4,15791.9,-0.5,16501.7,16726.4,-1.3,4614.6,4178.7,10.4,3529.9,3601.7,-2.0
2024年9月,378457.0,98889.0,92037.0,7.4,313036.3,299909.4,4.4,95424.8,89529.7,6.6,66779.2,64790.0,3.1,29657.2,28400.6,4.4,504372.0,482530.6,4.5,299002.7,286289.9,4.4,205369.3,196240.7,4.7,364408.8,355733.2,2.4,315548.6,307679.6,2.6,9586.0,9510.2,0.8,13411.5,13058.5,2.7,2441.2,2379.9,2.6,1209.0,1008.0,19.9,13504.7,13501.0,0.0,14227.2,14310.0,-0.6,4318.0,3930.3,9.9,3518.1,3583.4,-1.8
2024年8月,377340.0,99264.0,94001.0,5.6,311057.4,297261.5,4.6,95000.7,88015.7,7.9,66669.3,64357.4,3.6,29546.1,28138.5,5.0,501626.0,477601.7,5.0,297386.2,283498.7,4.9,204239.8,194103.0,5.2,319847.3,310927.6,2.9,277241.5,269253.4,3.0,8375.0,8315.6,0.7,11760.1,11426.5,2.9,2059.4,2078.2,-0.9,1146.1,845.2,35.6,11951.0,11580.8,3.2,12648.3,12327.2,2.6,3834.3,3631.0,5.6,3508.4,3573.3,-1.8
2024年7月,377175.0,102078.0,97741.0,4.4,309061.9,293515.5,5.3,94477.3,86916.7,8.7,66438.7,63864.3,4.0,29394.6,27855.5,5.5,500177.7,473926.1,5.5,296542.2,281097.6,5.5,203635.5,192828.5,5.6,280086.5,271012.9,3.3,242909.2,235020.2,3.4,7355.4,7283.8,1.0,10336.1,10022.5,3.1,1797.7,1845.4,-2.6,1064.2,700.1,52.0,10373.4,9584.5,8.2,11031.0,10276.2,7.3,3457.8,3384.9,2.2,3516.7,3574.0,-1.6
2024年6月,377383.0,107053.0,103442.0,3.5,309100.4,292164.9,5.8,94389.2,86216.0,9.5,66167.3,63386.9,4.4,29154.9,27685.2,5.3,499727.8,471609.5,6.0,297616.1,280637.7,6.0,202111.7,190971.8,5.8,239751.3,231812.4,3.4,207905.7,201115.9,3.4,6366.2,6297.9,1.1,8898.0,8622.6,3.2,1573.4,1539.9,2.2,856.8,622.2,37.7,8624.1,8013.8,7.6,9193.6,8609.1,6.8,3103.6,3054.0,1.6,3523.4,3575.4,-1.5
