时间,商品房销售额_累计值,商品房销售额_累计增长,商品房现房销售额_累计值,商品房现房销售额_累计增长,商品房期房销售额_累计值,商品房期房销售额_累计增长
2025年6月,44241.25,-5.5,13014.52,11.2,31226.74,-11.1
2025年5月,34090.84,-3.8,10014.54,10.5,24076.3,-8.8
2025年4月,27034.61,-3.2,8031.8,10.9,19002.81,-8.1
2025年3月,20798.0866,-2.1,6261.7412,13.1,14536.3454,-7.5
2025年2月,10259.3708,-2.6,3112.024,9.2,7147.3468,-7.0
2024年9月,68880.0604,-22.7,17204.5526,13.9,51675.5078,-30.1
2024年8月,59723.4689,-23.6,14805.1456,13.5,44918.3233,-31.0
2024年7月,53330.3926,-24.3,13298.2298,15.9,40032.1628,-32.1
2024年6月,47133.3292,-25.0,11790.5086,15.7,35342.8206,-32.9
2024年12月,96750.3299,-17.1,24266.2784,14.1,72484.0515,-24.0
2024年11月,85124.7683,-19.2,21076.9258,14.7,64047.8425,-26.3
2024年10月,76854.8957,-20.9,19122.2021,14.7,57732.6936,-28.3
